"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"FP2"	-0.324332	"White_fore"	1	"White"	"fore"
"A2"	-0.476954	"White_fore"	1	"White"	"fore"
"P8/T6"	2.719317	"White_fore"	1	"White"	"fore"
"TP7"	2.433076	"White_fore"	1	"White"	"fore"
"TP8"	1.165511	"White_fore"	1	"White"	"fore"
"P7/T5"	3.236593	"White_fore"	1	"White"	"fore"
"VEOG"	-2.126201	"White_fore"	1	"White"	"fore"
"HEOG"	-0.045732	"White_fore"	1	"White"	"fore"
"Nose"	0.55594	"White_fore"	1	"White"	"fore"
"FZ"	2.030436	"Black_eyes"	2	"Black"	"eyes"
"FC3"	1.463167	"Black_eyes"	2	"Black"	"eyes"
"FCZ"	3.16831	"Black_eyes"	2	"Black"	"eyes"
"FC4"	2.744496	"Black_eyes"	2	"Black"	"eyes"
"C3"	1.159373	"Black_eyes"	2	"Black"	"eyes"
"CZ"	2.974207	"Black_eyes"	2	"Black"	"eyes"
"C4"	2.680976	"Black_eyes"	2	"Black"	"eyes"
"CP3"	0.918563	"Black_eyes"	2	"Black"	"eyes"
"CPZ"	2.731391	"Black_eyes"	2	"Black"	"eyes"
"CP4"	2.557575	"Black_eyes"	2	"Black"	"eyes"
"P3"	0.287261	"Black_eyes"	2	"Black"	"eyes"
"PZ"	1.788717	"Black_eyes"	2	"Black"	"eyes"
"P4"	1.392209	"Black_eyes"	2	"Black"	"eyes"
"OZ"	0.190815	"Black_eyes"	2	"Black"	"eyes"
"FP1"	1.354503	"Black_eyes"	2	"Black"	"eyes"
"FP2"	0.934629	"Black_eyes"	2	"Black"	"eyes"
"A2"	-0.405602	"Black_eyes"	2	"Black"	"eyes"
"P8/T6"	-0.253192	"Black_eyes"	2	"Black"	"eyes"
"TP7"	-0.533364	"Black_eyes"	2	"Black"	"eyes"
"TP8"	0.197578	"Black_eyes"	2	"Black"	"eyes"
"P7/T5"	-1.099398	"Black_eyes"	2	"Black"	"eyes"
"VEOG"	-0.026257	"Black_eyes"	2	"Black"	"eyes"
"HEOG"	-0.019191	"Black_eyes"	2	"Black"	"eyes"
"Nose"	0.323265	"Black_eyes"	2	"Black"	"eyes"
"FZ"	0.329861	"Black_fore"	2	"Black"	"fore"
"FC3"	1.043533	"Black_fore"	2	"Black"	"fore"
"FCZ"	1.118249	"Black_fore"	2	"Black"	"fore"
"FC4"	0.835612	"Black_fore"	2	"Black"	"fore"
"C3"	1.274148	"Black_fore"	2	"Black"	"fore"
"CZ"	1.164132	"Black_fore"	2	"Black"	"fore"
"C4"	0.626867	"Black_fore"	2	"Black"	"fore"
"CP3"	1.288588	"Black_fore"	2	"Black"	"fore"
"CPZ"	1.234051	"Black_fore"	2	"Black"	"fore"
"CP4"	0.792527	"Black_fore"	2	"Black"	"fore"
"P3"	1.510267	"Black_fore"	2	"Black"	"fore"
"PZ"	1.107854	"Black_fore"	2	"Black"	"fore"
"P4"	0.57146	"Black_fore"	2	"Black"	"fore"
"OZ"	-1.275301	"Black_fore"	2	"Black"	"fore"
"FP1"	-0.000329	"Black_fore"	2	"Black"	"fore"
"FP2"	-0.303544	"Black_fore"	2	"Black"	"fore"
"A2"	0.805532	"Black_fore"	2	"Black"	"fore"
"P8/T6"	-0.802287	"Black_fore"	2	"Black"	"fore"
"TP7"	0.981681	"Black_fore"	2	"Black"	"fore"
"TP8"	-0.455046	"Black_fore"	2	"Black"	"fore"
"P7/T5"	0.518874	"Black_fore"	2	"Black"	"fore"
"VEOG"	-0.048353	"Black_fore"	2	"Black"	"fore"
"HEOG"	-0.022695	"Black_fore"	2	"Black"	"fore"
"Nose"	0.057689	"Black_fore"	2	"Black"	"fore"
"FZ"	0.39316	"White_eyes"	2	"White"	"eyes"
"FC3"	0.281709	"White_eyes"	2	"White"	"eyes"
"FCZ"	0.831271	"White_eyes"	2	"White"	"eyes"
"FC4"	0.413468	"White_eyes"	2	"White"	"eyes"
"C3"	0.643433	"White_eyes"	2	"White"	"eyes"
"CZ"	1.214082	"White_eyes"	2	"White"	"eyes"
"C4"	0.471617	"White_eyes"	2	"White"	"eyes"
"CP3"	0.749283	"White_eyes"	2	"White"	"eyes"
"CPZ"	1.199253	"White_eyes"	2	"White"	"eyes"
"CP4"	0.838917	"White_eyes"	2	"White"	"eyes"
"P3"	1.417212	"White_eyes"	2	"White"	"eyes"
"PZ"	1.578265	"White_eyes"	2	"White"	"eyes"
"P4"	0.828008	"White_eyes"	2	"White"	"eyes"
"OZ"	-0.261157	"White_eyes"	2	"White"	"eyes"
"FP1"	0.596777	"White_eyes"	2	"White"	"eyes"
"FP2"	-0.064796	"White_eyes"	2	"White"	"eyes"
"A2"	0.312147	"White_eyes"	2	"White"	"eyes"
"P8/T6"	-0.162879	"White_eyes"	2	"White"	"eyes"
"TP7"	0.576908	"White_eyes"	2	"White"	"eyes"
"TP8"	-0.559107	"White_eyes"	2	"White"	"eyes"
"P7/T5"	1.116121	"White_eyes"	2	"White"	"eyes"
"VEOG"	0.01836	"White_eyes"	2	"White"	"eyes"
"HEOG"	0.002898	"White_eyes"	2	"White"	"eyes"
"Nose"	-0.360945	"White_eyes"	2	"White"	"eyes"
"FZ"	0.720433	"White_fore"	2	"White"	"fore"
"FC3"	0.372236	"White_fore"	2	"White"	"fore"
"FCZ"	0.43825	"White_fore"	2	"White"	"fore"
"FC4"	-0.033357	"White_fore"	2	"White"	"fore"
"C3"	0.109219	"White_fore"	2	"White"	"fore"
"CZ"	0.504868	"White_fore"	2	"White"	"fore"
"C4"	0.358334	"White_fore"	2	"White"	"fore"
"CP3"	-0.172312	"White_fore"	2	"White"	"fore"
"CPZ"	-0.148368	"White_fore"	2	"White"	"fore"
"CP4"	0.079917	"White_fore"	2	"White"	"fore"
"P3"	0.134804	"White_fore"	2	"White"	"fore"
"PZ"	-0.036133	"White_fore"	2	"White"	"fore"
"P4"	0.004972	"White_fore"	2	"White"	"fore"
"OZ"	0.003838	"White_fore"	2	"White"	"fore"
"FP1"	2.011167	"White_fore"	2	"White"	"fore"
"FP2"	-0.566585	"White_fore"	2	"White"	"fore"
"A2"	-0.198669	"White_fore"	2	"White"	"fore"
"P8/T6"	-0.409431	"White_fore"	2	"White"	"fore"
"TP7"	0.139221	"White_fore"	2	"White"	"fore"
"TP8"	-0.397918	"White_fore"	2	"White"	"fore"
"P7/T5"	0.000893	"White_fore"	2	"White"	"fore"
"VEOG"	-0.037195	"White_fore"	2	"White"	"fore"
"HEOG"	-0.038281	"White_fore"	2	"White"	"fore"
"Nose"	0.257852	"White_fore"	2	"White"	"fore"
"FZ"	3.335746	"Black_eyes"	3	"Black"	"eyes"
"FC3"	4.120598	"Black_eyes"	3	"Black"	"eyes"
"FCZ"	4.718693	"Black_eyes"	3	"Black"	"eyes"
"FC4"	5.204623	"Black_eyes"	3	"Black"	"eyes"
"C3"	4.631568	"Black_eyes"	3	"Black"	"eyes"
"CZ"	5.459995	"Black_eyes"	3	"Black"	"eyes"
"C4"	5.890843	"Black_eyes"	3	"Black"	"eyes"
"CP3"	4.981344	"Black_eyes"	3	"Black"	"eyes"
"CPZ"	5.955505	"Black_eyes"	3	"Black"	"eyes"
"CP4"	6.329396	"Black_eyes"	3	"Black"	"eyes"
"P3"	5.226736	"Black_eyes"	3	"Black"	"eyes"
"PZ"	5.186187	"Black_eyes"	3	"Black"	"eyes"
"P4"	6.853973	"Black_eyes"	3	"Black"	"eyes"
"OZ"	0.999276	"Black_eyes"	3	"Black"	"eyes"
"FP1"	1.267555	"Black_eyes"	3	"Black"	"eyes"
"FP2"	1.410738	"Black_eyes"	3	"Black"	"eyes"
"A2"	-0.107787	"Black_eyes"	3	"Black"	"eyes"
"P8/T6"	4.011185	"Black_eyes"	3	"Black"	"eyes"
"TP7"	2.106989	"Black_eyes"	3	"Black"	"eyes"
"TP8"	3.887339	"Black_eyes"	3	"Black"	"eyes"
"P7/T5"	2.139557	"Black_eyes"	3	"Black"	"eyes"
"VEOG"	3.235889	"Black_eyes"	3	"Black"	"eyes"
"HEOG"	-0.72887	"Black_eyes"	3	"Black"	"eyes"
"Nose"	1.528681	"Black_eyes"	3	"Black"	"eyes"
"FZ"	3.16905	"Black_fore"	3	"Black"	"fore"
"FC3"	3.019939	"Black_fore"	3	"Black"	"fore"
"FCZ"	3.87956	"Black_fore"	3	"Black"	"fore"
"FC4"	4.259253	"Black_fore"	3	"Black"	"fore"
"C3"	3.16042	"Black_fore"	3	"Black"	"fore"
"CZ"	4.420321	"Black_fore"	3	"Black"	"fore"
"C4"	4.810071	"Black_fore"	3	"Black"	"fore"
"CP3"	3.485433	"Black_fore"	3	"Black"	"fore"
"CPZ"	4.364589	"Black_fore"	3	"Black"	"fore"
"CP4"	4.734577	"Black_fore"	3	"Black"	"fore"
"P3"	4.240192	"Black_fore"	3	"Black"	"fore"
"PZ"	3.765094	"Black_fore"	3	"Black"	"fore"
"P4"	4.663336	"Black_fore"	3	"Black"	"fore"
"OZ"	-2.495963	"Black_fore"	3	"Black"	"fore"
"FP1"	2.222955	"Black_fore"	3	"Black"	"fore"
"FP2"	2.136105	"Black_fore"	3	"Black"	"fore"
"A2"	0.327088	"Black_fore"	3	"Black"	"fore"
