"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	11	"PZ"	"Black_forehead"	1.10581323529412	"Black"	"forehead"
1	11	"C3"	"Black_forehead"	2.24700759803922	"Black"	"forehead"
1	11	"C4"	"Black_forehead"	2.03802132352941	"Black"	"forehead"
1	11	"CP3"	"Black_forehead"	6.2481762254902	"Black"	"forehead"
1	11	"CP4"	"Black_forehead"	1.7471681372549	"Black"	"forehead"
1	12	"CZ"	"Black_forehead"	7.16680539215686	"Black"	"forehead"
1	12	"CPZ"	"Black_forehead"	6.4082068627451	"Black"	"forehead"
1	12	"PZ"	"Black_forehead"	3.97484191176471	"Black"	"forehead"
1	12	"C3"	"Black_forehead"	6.91133284313725	"Black"	"forehead"
1	12	"C4"	"Black_forehead"	6.44111421568627	"Black"	"forehead"
1	12	"CP3"	"Black_forehead"	5.78494975490196	"Black"	"forehead"
1	12	"CP4"	"Black_forehead"	6.25434656862745	"Black"	"forehead"
1	13	"CZ"	"Black_forehead"	0.262055392156863	"Black"	"forehead"
1	13	"CPZ"	"Black_forehead"	3.5235443627451	"Black"	"forehead"
1	13	"PZ"	"Black_forehead"	5.54305392156863	"Black"	"forehead"
1	13	"C3"	"Black_forehead"	1.75662941176471	"Black"	"forehead"
1	13	"C4"	"Black_forehead"	-0.438538235294118	"Black"	"forehead"
1	13	"CP3"	"Black_forehead"	4.00116887254902	"Black"	"forehead"
1	13	"CP4"	"Black_forehead"	3.12285171568627	"Black"	"forehead"
1	1	"CZ"	"Black_eyes"	0.979516421568627	"Black"	"eyes"
1	1	"CPZ"	"Black_eyes"	2.1959943627451	"Black"	"eyes"
1	1	"PZ"	"Black_eyes"	3.60170612745098	"Black"	"eyes"
1	1	"C3"	"Black_eyes"	1.9791931372549	"Black"	"eyes"
1	1	"C4"	"Black_eyes"	4.94571617647059	"Black"	"eyes"
1	1	"CP3"	"Black_eyes"	3.73829264705882	"Black"	"eyes"
1	1	"CP4"	"Black_eyes"	6.68424460784314	"Black"	"eyes"
1	2	"CZ"	"Black_eyes"	4.28625980392157	"Black"	"eyes"
1	2	"CPZ"	"Black_eyes"	5.5047931372549	"Black"	"eyes"
1	2	"PZ"	"Black_eyes"	4.43477034313725	"Black"	"eyes"
1	2	"C3"	"Black_eyes"	7.07012867647059	"Black"	"eyes"
1	2	"C4"	"Black_eyes"	5.26454240196078	"Black"	"eyes"
1	2	"CP3"	"Black_eyes"	7.27952671568627	"Black"	"eyes"
1	2	"CP4"	"Black_eyes"	5.41058504901961	"Black"	"eyes"
1	3	"CZ"	"Black_eyes"	6.12599215686275	"Black"	"eyes"
1	3	"CPZ"	"Black_eyes"	6.2638068627451	"Black"	"eyes"
