Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	13.400172
1	FC3	12.944901
1	FCZ	15.384951
1	FC4	11.954284
1	C3	12.318146
1	CZ	14.473803
1	C4	10.293119
1	CP3	9.724521
1	CPZ	12.119892
1	CP4	8.053143
1	P3	8.037986
1	PZ	9.146735
1	P4	5.340033
1	Oz	-0.296472
1	FP1	7.460759
1	FP2	7.824202
1	A2	0.564728
1	P8/T6	-2.285728
1	TP7	2.559254
1	TP8	1.869912
1	P7/T5	2.339314
1	VEOG	15.608389
1	HEOG	-0.038895
1	Nose	5.327208
1	FZ	11.596249
1	FC3	11.046289
1	FCZ	13.194665
1	FC4	10.716353
1	C3	10.598646
1	CZ	11.723994
1	C4	8.816842
1	CP3	8.843339
1	CPZ	9.904890
1	CP4	6.796975
1	P3	7.342248
1	PZ	7.422757
1	P4	3.881926
1	Oz	-0.299057
1	FP1	7.646400
1	FP2	8.419952
1	A2	0.584100
1	P8/T6	-2.877393
1	TP7	2.878667
1	TP8	0.986290
1	P7/T5	2.542464
1	VEOG	7.696794
1	HEOG	-2.736247
1	Nose	5.218534
1	FZ	7.188249
1	FC3	7.076233
1	FCZ	8.310852
1	FC4	7.261033
1	C3	7.471529
1	CZ	8.212860
1	C4	5.863228
1	CP3	7.202140
1	CPZ	8.022912
1	CP4	5.322320
1	P3	7.394441
1	PZ	7.557583
1	P4	4.084905
1	Oz	-0.474737
1	FP1	4.724027
1	FP2	5.170228
1	A2	0.931190
1	P8/T6	-2.314260
1	TP7	1.928062
1	TP8	-0.064840
1	P7/T5	3.458653
1	VEOG	16.801266
1	HEOG	0.804528
1	Nose	2.420507
1	FZ	8.399450
1	FC3	8.022673
1	FCZ	9.234414
1	FC4	7.089696
1	C3	7.251707
1	CZ	8.291379
1	C4	5.675855
1	CP3	5.516501
1	CPZ	6.258859
1	CP4	3.833290
1	P3	4.583571
1	PZ	4.695485
1	P4	1.922077
1	Oz	-0.560896
1	FP1	5.434048
1	FP2	5.238116
1	A2	1.129004
1	P8/T6	-3.577345
1	TP7	0.809013
1	TP8	0.203475
1	P7/T5	1.093375
1	VEOG	14.540798
1	HEOG	-1.935550
1	Nose	4.012712
