Sweep Number	Channel	Mean(120.00->180.00ms)
1	FZ	7.397848
1	FC3	7.594427
1	FCZ	8.835339
1	FC4	6.712386
1	C3	8.066959
1	CZ	9.057212
1	C4	7.681049
1	CP3	7.184124
1	CPZ	8.853807
1	CP4	8.097332
1	P3	6.789747
1	PZ	6.398282
1	P4	7.051571
1	Oz	0.280397
1	FP1	5.011906
1	FP2	5.379507
1	A2	-0.544708
1	P8/T6	0.446550
1	TP7	2.205977
1	TP8	2.181107
1	P7/T5	-2.332392
1	VEOG	4.453070
1	HEOG	0.971892
1	Nose	4.921633
1	FZ	9.442037
1	FC3	7.394102
1	FCZ	9.346325
1	FC4	8.351330
1	C3	6.542891
1	CZ	7.911724
1	C4	7.376945
1	CP3	4.940552
1	CPZ	6.427864
1	CP4	7.742259
1	P3	3.271419
1	PZ	3.256636
1	P4	5.414526
1	Oz	-0.059240
1	FP1	7.533894
1	FP2	8.153809
1	A2	0.118858
1	P8/T6	-0.950915
1	TP7	2.991890
1	TP8	1.492222
1	P7/T5	-3.209967
1	VEOG	4.456920
1	HEOG	0.713740
1	Nose	5.244575
1	FZ	7.000527
1	FC3	8.480880
1	FCZ	9.601215
1	FC4	8.481595
1	C3	9.958756
1	CZ	11.245232
1	C4	10.217295
1	CP3	9.653440
1	CPZ	12.127335
1	CP4	11.340437
1	P3	9.440027
1	PZ	10.650285
1	P4	11.249690
1	Oz	-0.255237
1	FP1	3.432272
1	FP2	3.683767
1	A2	0.488681
1	P8/T6	2.726545
1	TP7	3.947149
1	TP8	3.790804
1	P7/T5	-0.357486
1	VEOG	3.087719
1	HEOG	-2.180521
1	Nose	1.344369
1	FZ	5.105107
1	FC3	5.021804
1	FCZ	6.389558
1	FC4	4.629245
1	C3	5.329442
1	CZ	5.663571
1	C4	5.058600
1	CP3	4.819374
1	CPZ	5.258333
1	CP4	6.021439
1	P3	3.253452
1	PZ	2.487972
1	P4	6.013562
1	Oz	0.300354
1	FP1	2.565934
1	FP2	2.246642
1	A2	-0.616355
1	P8/T6	2.175425
1	TP7	1.470965
1	TP8	2.571545
1	P7/T5	-2.021336
1	VEOG	-0.007553
1	HEOG	-0.939585
1	Nose	2.537986
