Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	3.345616
1	FC3	3.053325
1	FCZ	3.266650
1	FC4	4.245644
1	C3	2.805474
1	CZ	3.051456
1	C4	4.295847
1	CP3	2.026932
1	CPZ	2.004919
1	CP4	3.321786
1	P3	1.308612
1	PZ	0.829317
1	P4	2.411063
1	Oz	-0.042572
1	FP1	2.976800
1	FP2	2.967455
1	A2	0.084157
1	P8/T6	1.064500
1	TP7	2.409662
1	TP8	3.310001
1	P7/T5	-0.184356
1	VEOG	2.833613
1	HEOG	1.007807
1	Nose	2.869384
1	FZ	2.184071
1	FC3	2.746082
1	FCZ	3.023251
1	FC4	2.427427
1	C3	3.522187
1	CZ	3.178186
1	C4	3.095427
1	CP3	2.655967
1	CPZ	2.470817
1	CP4	2.466690
1	P3	2.106867
1	PZ	1.090157
1	P4	1.503477
1	Oz	-0.577833
1	FP1	1.882507
1	FP2	0.953689
1	A2	1.149369
1	P8/T6	-0.744092
1	TP7	0.839445
1	TP8	0.613127
1	P7/T5	-0.336699
1	VEOG	1.820226
1	HEOG	0.889661
1	Nose	0.847012
1	FZ	0.261180
1	FC3	0.368272
1	FCZ	0.986223
1	FC4	0.971915
1	C3	0.867685
1	CZ	0.975932
1	C4	1.603073
1	CP3	1.076090
1	CPZ	1.106742
1	CP4	2.082840
1	P3	1.738561
1	PZ	1.002843
1	P4	1.915819
1	Oz	-0.190355
1	FP1	0.520710
1	FP2	0.118813
1	A2	0.383351
1	P8/T6	0.898392
1	TP7	1.071852
1	TP8	1.819403
1	P7/T5	1.610558
1	VEOG	4.368196
1	HEOG	-0.156950
1	Nose	1.752099
1	FZ	0.954088
1	FC3	0.761430
1	FCZ	1.412844
1	FC4	1.421288
1	C3	0.714606
1	CZ	1.679321
1	C4	1.401600
1	CP3	0.513503
1	CPZ	0.404341
1	CP4	0.900290
1	P3	0.534661
1	PZ	-0.690695
1	P4	0.403534
1	Oz	0.771393
1	FP1	-0.650797
1	FP2	-1.102437
1	A2	-1.531874
1	P8/T6	0.006072
1	TP7	0.059966
1	TP8	1.369340
1	P7/T5	-0.612180
1	VEOG	4.615641
1	HEOG	2.341029
1	Nose	-1.298416
