Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	3.543212
1	FC3	4.250762
1	FCZ	3.750236
1	FC4	3.272857
1	C3	5.290643
1	CZ	4.465211
1	C4	3.842698
1	CP3	5.044703
1	CPZ	5.003910
1	CP4	4.206343
1	P3	4.956347
1	PZ	5.196303
1	P4	4.561036
1	Oz	0.053023
1	FP1	3.588940
1	FP2	3.615670
1	A2	-0.076040
1	P8/T6	1.733236
1	TP7	3.105491
1	TP8	2.446290
1	P7/T5	2.555305
1	VEOG	2.149031
1	HEOG	-1.653135
1	Nose	3.410830
1	FZ	1.615402
1	FC3	2.885747
1	FCZ	2.592259
1	FC4	1.471343
1	C3	4.868308
1	CZ	4.014296
1	C4	2.893292
1	CP3	5.765458
1	CPZ	5.635246
1	CP4	4.130839
1	P3	7.027859
1	PZ	6.215342
1	P4	5.256859
1	Oz	-0.218352
1	FP1	1.006592
1	FP2	1.480619
1	A2	0.445002
1	P8/T6	0.755843
1	TP7	3.702790
1	TP8	1.110043
1	P7/T5	4.468885
1	VEOG	3.451553
1	HEOG	-1.401489
1	Nose	1.067792
1	FZ	1.385556
1	FC3	2.190528
1	FCZ	1.986822
1	FC4	1.152160
1	C3	3.935033
1	CZ	3.053949
1	C4	2.102255
1	CP3	4.488989
1	CPZ	3.660984
1	CP4	2.908869
1	P3	5.105521
1	PZ	4.670593
1	P4	4.016693
1	Oz	-0.294375
1	FP1	1.091492
1	FP2	0.659049
1	A2	0.568424
1	P8/T6	0.783980
1	TP7	3.116791
1	TP8	0.813005
1	P7/T5	3.682553
1	VEOG	3.657034
1	HEOG	-1.485279
1	Nose	1.047644
1	FZ	2.247246
1	FC3	3.273277
1	FCZ	4.014074
1	FC4	3.071124
1	C3	5.377440
1	CZ	5.384807
1	C4	4.221863
1	CP3	6.082334
1	CPZ	6.694828
1	CP4	5.001938
1	P3	6.959380
1	PZ	7.244036
1	P4	5.971649
1	Oz	0.079973
1	FP1	1.517144
1	FP2	1.392568
1	A2	-0.185288
1	P8/T6	1.330214
1	TP7	3.426877
1	TP8	2.182628
1	P7/T5	4.222440
1	VEOG	1.881640
1	HEOG	-0.102785
1	Nose	1.738292
