Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	8.284661
1	FC3	8.676514
1	FCZ	10.934889
1	FC4	8.713232
1	C3	9.785222
1	CZ	12.509607
1	C4	10.045585
1	CP3	8.883108
1	CPZ	12.746108
1	CP4	10.158040
1	P3	8.429458
1	PZ	11.252133
1	P4	10.132373
1	Oz	0.103613
1	FP1	4.168877
1	FP2	4.377817
1	A2	-0.218097
1	P8/T6	4.810627
1	TP7	3.682658
1	TP8	3.904183
1	P7/T5	2.306279
1	VEOG	1.806032
1	HEOG	-0.780548
1	Nose	2.316068
1	FZ	10.665475
1	FC3	9.921931
1	FCZ	12.366382
1	FC4	8.119642
1	C3	9.818082
1	CZ	11.831246
1	C4	7.937136
1	CP3	7.781862
1	CPZ	11.154735
1	CP4	7.398063
1	P3	5.951109
1	PZ	8.473980
1	P4	6.390034
1	Oz	-1.104714
1	FP1	6.499101
1	FP2	5.403733
1	A2	2.183667
1	P8/T6	0.898962
1	TP7	4.323452
1	TP8	1.939013
1	P7/T5	1.552368
1	VEOG	2.257628
1	HEOG	-3.579290
1	Nose	4.824525
1	FZ	8.719061
1	FC3	8.506525
1	FCZ	10.543552
1	FC4	7.667244
1	C3	8.783913
1	CZ	11.046380
1	C4	7.833857
1	CP3	7.908577
1	CPZ	10.570498
1	CP4	7.395454
1	P3	6.586108
1	PZ	8.747905
1	P4	6.832375
1	Oz	-0.695677
1	FP1	4.701794
1	FP2	3.775269
1	A2	1.362035
1	P8/T6	3.103645
1	TP7	4.023719
1	TP8	2.835888
1	P7/T5	2.348288
1	VEOG	3.006960
1	HEOG	-1.838154
1	Nose	3.054734
1	FZ	5.872992
1	FC3	6.434759
1	FCZ	7.630456
1	FC4	5.878806
1	C3	7.175068
1	CZ	8.846612
1	C4	6.728513
1	CP3	6.304458
1	CPZ	9.172453
1	CP4	6.369342
1	P3	5.395858
1	PZ	7.610529
1	P4	5.629210
1	Oz	-0.956664
1	FP1	3.517901
1	FP2	3.353827
1	A2	1.886966
1	P8/T6	0.957374
1	TP7	2.485746
1	TP8	1.166539
1	P7/T5	1.812584
1	VEOG	-0.508688
1	HEOG	-2.015492
1	Nose	1.955134
