"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"
"Sub4_Black_eyes.avg"	1	"TP8"	"N170"	169	-6.03909	4	"Black"	"eyes"	"right"
"Sub4_Black_eyes.avg"	1	"P7/T5"	"N170"	171	-14.63657	4	"Black"	"eyes"	"left"
"Sub4_Black_fore.avg"	1	"P8/T6"	"N170"	171	-7.900642	4	"Black"	"fore"	"right"
"Sub4_Black_fore.avg"	1	"TP7"	"N170"	172	-9.107163	4	"Black"	"fore"	"left"
"Sub4_Black_fore.avg"	1	"TP8"	"N170"	171	-4.322546	4	"Black"	"fore"	"right"
"Sub4_Black_fore.avg"	1	"P7/T5"	"N170"	174	-12.037569	4	"Black"	"fore"	"left"
"Sub4_White_eyes.avg"	1	"P8/T6"	"N170"	167	-5.157637	4	"White"	"eyes"	"right"
"Sub4_White_eyes.avg"	1	"TP7"	"N170"	167	-7.144431	4	"White"	"eyes"	"left"
"Sub4_White_eyes.avg"	1	"TP8"	"N170"	167	-2.132747	4	"White"	"eyes"	"right"
"Sub4_White_eyes.avg"	1	"P7/T5"	"N170"	169	-10.607181	4	"White"	"eyes"	"left"
"Sub4_White_fore.avg"	1	"P8/T6"	"N170"	169	-4.612751	4	"White"	"fore"	"right"
"Sub4_White_fore.avg"	1	"TP7"	"N170"	171	-6.691622	4	"White"	"fore"	"left"
"Sub4_White_fore.avg"	1	"TP8"	"N170"	167	-2.321542	4	"White"	"fore"	"right"
"Sub4_White_fore.avg"	1	"P7/T5"	"N170"	173	-8.635004	4	"White"	"fore"	"left"
"Sub5_Black_eyes.avg"	1	"P8/T6"	"N170"	150	-4.713992	5	"Black"	"eyes"	"right"
"Sub5_Black_eyes.avg"	1	"TP7"	"N170"	150	-2.958744	5	"Black"	"eyes"	"left"
"Sub5_Black_eyes.avg"	1	"TP8"	"N170"	152	-2.419492	5	"Black"	"eyes"	"right"
"Sub5_Black_eyes.avg"	1	"P7/T5"	"N170"	147	-6.783506	5	"Black"	"eyes"	"left"
"Sub5_Black_fore.avg"	1	"P8/T6"	"N170"	156	-5.183305	5	"Black"	"fore"	"right"
"Sub5_Black_fore.avg"	1	"TP7"	"N170"	138	-3.538075	5	"Black"	"fore"	"left"
"Sub5_Black_fore.avg"	1	"TP8"	"N170"	159	-3.117627	5	"Black"	"fore"	"right"
"Sub5_Black_fore.avg"	1	"P7/T5"	"N170"	141	-7.958591	5	"Black"	"fore"	"left"
"Sub5_White_eyes.avg"	1	"P8/T6"	"N170"	151	-2.814929	5	"White"	"eyes"	"right"
"Sub5_White_eyes.avg"	1	"TP7"	"N170"	148	-0.753562	5	"White"	"eyes"	"left"
"Sub5_White_eyes.avg"	1	"TP8"	"N170"	151	-1.788616	5	"White"	"eyes"	"right"
"Sub5_White_eyes.avg"	1	"P7/T5"	"N170"	147	-3.484567	5	"White"	"eyes"	"left"
"Sub5_White_fore.avg"	1	"P8/T6"	"N170"	149	-6.672321	5	"White"	"fore"	"right"
"Sub5_White_fore.avg"	1	"TP7"	"N170"	149	-3.73085	5	"White"	"fore"	"left"
"Sub5_White_fore.avg"	1	"TP8"	"N170"	154	-4.041615	5	"White"	"fore"	"right"
"Sub5_White_fore.avg"	1	"P7/T5"	"N170"	145	-7.302162	5	"White"	"fore"	"left"
"Sub6_Black_eyes.avg"	1	"P8/T6"	"N170"	166	-14.903627	6	"Black"	"eyes"	"right"
"Sub6_Black_eyes.avg"	1	"TP7"	"N170"	175	-3.370439	6	"Black"	"eyes"	"left"
"Sub6_Black_eyes.avg"	1	"TP8"	"N170"	168	-10.010993	6	"Black"	"eyes"	"right"
"Sub6_Black_eyes.avg"	1	"P7/T5"	"N170"	179	-6.052127	6	"Black"	"eyes"	"left"
"Sub6_Black_fore.avg"	1	"P8/T6"	"N170"	172	-11.301082	6	"Black"	"fore"	"right"
"Sub6_Black_fore.avg"	1	"TP7"	"N170"	181	-2.373066	6	"Black"	"fore"	"left"
"Sub6_Black_fore.avg"	1	"TP8"	"N170"	176	-7.281689	6	"Black"	"fore"	"right"
"Sub6_Black_fore.avg"	1	"P7/T5"	"N170"	180	-4.215808	6	"Black"	"fore"	"left"
"Sub6_White_eyes.avg"	1	"P8/T6"	"N170"	170	-12.079037	6	"White"	"eyes"	"right"
"Sub6_White_eyes.avg"	1	"TP7"	"N170"	190	-4.006599	6	"White"	"eyes"	"left"
"Sub6_White_eyes.avg"	1	"TP8"	"N170"	173	-7.470165	6	"White"	"eyes"	"right"
"Sub6_White_eyes.avg"	1	"P7/T5"	"N170"	181	-6.474933	6	"White"	"eyes"	"left"
"Sub6_White_fore.avg"	1	"P8/T6"	"N170"	170	-9.22419	6	"White"	"fore"	"right"
"Sub6_White_fore.avg"	1	"TP7"	"N170"	214	-1.075325	6	"White"	"fore"	"left"
"Sub6_White_fore.avg"	1	"TP8"	"N170"	174	-5.037245	6	"White"	"fore"	"right"
"Sub6_White_fore.avg"	1	"P7/T5"	"N170"	179	-2.462366	6	"White"	"fore"	"left"
"Sub7_Black_eyes.avg"	1	"P8/T6"	"N170"	130	-1.039358	7	"Black"	"eyes"	"right"
"Sub7_Black_eyes.avg"	1	"TP7"	"N170"	214	-2.895355	7	"Black"	"eyes"	"left"
"Sub7_Black_eyes.avg"	1	"TP8"	"N170"	147	-0.881195	7	"Black"	"eyes"	"right"
"Sub7_Black_eyes.avg"	1	"P7/T5"	"N170"	161	-1.965743	7	"Black"	"eyes"	"left"
"Sub7_Black_fore.avg"	1	"P8/T6"	"N170"	134	-2.733503	7	"Black"	"fore"	"right"
"Sub7_Black_fore.avg"	1	"TP7"	"N170"	130	-1.326788	7	"Black"	"fore"	"left"
"Sub7_Black_fore.avg"	1	"TP8"	"N170"	134	-2.709525	7	"Black"	"fore"	"right"
"Sub7_Black_fore.avg"	1	"P7/T5"	"N170"	131	-1.76239	7	"Black"	"fore"	"left"
"Sub7_White_eyes.avg"	1	"P8/T6"	"N170"	214	-5.482992	7	"White"	"eyes"	"right"
"Sub7_White_eyes.avg"	1	"TP7"	"N170"	206	-4.354689	7	"White"	"eyes"	"left"
"Sub7_White_eyes.avg"	1	"TP8"	"N170"	214	-5.357107	7	"White"	"eyes"	"right"
"Sub7_White_eyes.avg"	1	"P7/T5"	"N170"	214	-4.727682	7	"White"	"eyes"	"left"
"Sub7_White_fore.avg"	1	"P8/T6"	"N170"	147	-2.448372	7	"White"	"fore"	"right"
"Sub7_White_fore.avg"	1	"TP7"	"N170"	155	-1.441292	7	"White"	"fore"	"left"
"Sub7_White_fore.avg"	1	"TP8"	"N170"	131	-1.222362	7	"White"	"fore"	"right"
"Sub7_White_fore.avg"	1	"P7/T5"	"N170"	155	-2.448372	7	"White"	"fore"	"left"
"Sub8_Black_eyes.avg"	1	"P8/T6"	"N170"	157	-7.444494	8	"Black"	"eyes"	"right"
"Sub8_Black_eyes.avg"	1	"TP7"	"N170"	172	-3.394452	8	"Black"	"eyes"	"left"
"Sub8_Black_eyes.avg"	1	"TP8"	"N170"	156	-5.142033	8	"Black"	"eyes"	"right"
"Sub8_Black_eyes.avg"	1	"P7/T5"	"N170"	165	-3.637336	8	"Black"	"eyes"	"left"
"Sub8_Black_fore.avg"	1	"P8/T6"	"N170"	164	-6.035183	8	"Black"	"fore"	"right"
"Sub8_Black_fore.avg"	1	"TP7"	"N170"	168	-4.055686	8	"Black"	"fore"	"left"
"Sub8_Black_fore.avg"	1	"TP8"	"N170"	165	-3.827634	8	"Black"	"fore"	"right"
"Sub8_Black_fore.avg"	1	"P7/T5"	"N170"	166	-3.57404	8	"Black"	"fore"	"left"
"Sub8_White_eyes.avg"	1	"P8/T6"	"N170"	161	-8.293152	8	"White"	"eyes"	"right"
"Sub8_White_eyes.avg"	1	"TP7"	"N170"	167	-5.771637	8	"White"	"eyes"	"left"
"Sub8_White_eyes.avg"	1	"TP8"	"N170"	161	-5.706787	8	"White"	"eyes"	"right"
"Sub8_White_eyes.avg"	1	"P7/T5"	"N170"	165	-5.067825	8	"White"	"eyes"	"left"
"Sub8_White_fore.avg"	1	"P8/T6"	"N170"	162	-5.799011	8	"White"	"fore"	"right"
"Sub8_White_fore.avg"	1	"TP7"	"N170"	163	-4.142677	8	"White"	"fore"	"left"
"Sub8_White_fore.avg"	1	"TP8"	"N170"	163	-3.565359	8	"White"	"fore"	"right"
