"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"FC3"	3.696232	"Black_fore"	54	"Black"	"fore"
"FCZ"	5.383049	"Black_fore"	54	"Black"	"fore"
"FC4"	4.585848	"Black_fore"	54	"Black"	"fore"
"C3"	3.957918	"Black_fore"	54	"Black"	"fore"
"CZ"	6.064825	"Black_fore"	54	"Black"	"fore"
"C4"	4.037619	"Black_fore"	54	"Black"	"fore"
"CP3"	4.235543	"Black_fore"	54	"Black"	"fore"
"CPZ"	6.551761	"Black_fore"	54	"Black"	"fore"
"CP4"	4.706776	"Black_fore"	54	"Black"	"fore"
"P3"	5.098212	"Black_fore"	54	"Black"	"fore"
"PZ"	7.076839	"Black_fore"	54	"Black"	"fore"
"P4"	5.38841	"Black_fore"	54	"Black"	"fore"
"Oz"	-0.277009	"Black_fore"	54	"Black"	"fore"
"FP1"	2.832852	"Black_fore"	54	"Black"	"fore"
"FP2"	1.906184	"Black_fore"	54	"Black"	"fore"
"A2"	0.532052	"Black_fore"	54	"Black"	"fore"
"P8/T6"	0.333464	"Black_fore"	54	"Black"	"fore"
"TP7"	0.19522	"Black_fore"	54	"Black"	"fore"
"TP8"	1.060262	"Black_fore"	54	"Black"	"fore"
"P7/T5"	1.230575	"Black_fore"	54	"Black"	"fore"
"VEOG"	7.837842	"Black_fore"	54	"Black"	"fore"
"HEOG"	0.823578	"Black_fore"	54	"Black"	"fore"
"Nose"	0.967609	"Black_fore"	54	"Black"	"fore"
"FZ"	4.171714	"White_eyes"	54	"White"	"eyes"
"FC3"	2.953074	"White_eyes"	54	"White"	"eyes"
"FCZ"	5.206362	"White_eyes"	54	"White"	"eyes"
"FC4"	4.537519	"White_eyes"	54	"White"	"eyes"
"C3"	2.846281	"White_eyes"	54	"White"	"eyes"
"CZ"	5.064629	"White_eyes"	54	"White"	"eyes"
"C4"	4.38478	"White_eyes"	54	"White"	"eyes"
"CP3"	2.982666	"White_eyes"	54	"White"	"eyes"
"CPZ"	5.115871	"White_eyes"	54	"White"	"eyes"
"CP4"	4.528226	"White_eyes"	54	"White"	"eyes"
"P3"	3.689045	"White_eyes"	54	"White"	"eyes"
"PZ"	5.539304	"White_eyes"	54	"White"	"eyes"
"P4"	4.855769	"White_eyes"	54	"White"	"eyes"
"Oz"	1.15037	"White_eyes"	54	"White"	"eyes"
"FP1"	5.393833	"White_eyes"	54	"White"	"eyes"
"FP2"	2.971556	"White_eyes"	54	"White"	"eyes"
"A2"	-2.281116	"White_eyes"	54	"White"	"eyes"
"P8/T6"	2.495532	"White_eyes"	54	"White"	"eyes"
"TP7"	-0.591435	"White_eyes"	54	"White"	"eyes"
"TP8"	2.039132	"White_eyes"	54	"White"	"eyes"
"P7/T5"	-0.998721	"White_eyes"	54	"White"	"eyes"
"VEOG"	16.594497	"White_eyes"	54	"White"	"eyes"
"HEOG"	-1.379011	"White_eyes"	54	"White"	"eyes"
"Nose"	1.023953	"White_eyes"	54	"White"	"eyes"
"FZ"	5.424809	"White_fore"	54	"White"	"fore"
"FC3"	4.300249	"White_fore"	54	"White"	"fore"
"FCZ"	6.208353	"White_fore"	54	"White"	"fore"
"FC4"	4.907452	"White_fore"	54	"White"	"fore"
"C3"	4.168771	"White_fore"	54	"White"	"fore"
"CZ"	6.200278	"White_fore"	54	"White"	"fore"
"C4"	4.536107	"White_fore"	54	"White"	"fore"
"CP3"	4.361322	"White_fore"	54	"White"	"fore"
"CPZ"	6.294968	"White_fore"	54	"White"	"fore"
"CP4"	4.771308	"White_fore"	54	"White"	"fore"
"P3"	5.111488	"White_fore"	54	"White"	"fore"
"PZ"	6.606137	"White_fore"	54	"White"	"fore"
"P4"	5.317797	"White_fore"	54	"White"	"fore"
"Oz"	0.326661	"White_fore"	54	"White"	"fore"
"FP1"	4.996041	"White_fore"	54	"White"	"fore"
"FP2"	6.003181	"White_fore"	54	"White"	"fore"
"A2"	-0.624969	"White_fore"	54	"White"	"fore"
"P8/T6"	1.21955	"White_fore"	54	"White"	"fore"
"TP7"	1.005345	"White_fore"	54	"White"	"fore"
"TP8"	1.469526	"White_fore"	54	"White"	"fore"
"P7/T5"	0.12083	"White_fore"	54	"White"	"fore"
"VEOG"	8.66486	"White_fore"	54	"White"	"fore"
"HEOG"	0.015971	"White_fore"	54	"White"	"fore"
"Nose"	3.802631	"White_fore"	54	"White"	"fore"
"FZ"	1.705386	"Black_eyes"	55	"Black"	"eyes"
"FC3"	1.482862	"Black_eyes"	55	"Black"	"eyes"
"FCZ"	1.828774	"Black_eyes"	55	"Black"	"eyes"
"FC4"	2.814044	"Black_eyes"	55	"Black"	"eyes"
"C3"	1.592637	"Black_eyes"	55	"Black"	"eyes"
"CZ"	2.275844	"Black_eyes"	55	"Black"	"eyes"
"C4"	2.660038	"Black_eyes"	55	"Black"	"eyes"
"CP3"	1.369235	"Black_eyes"	55	"Black"	"eyes"
"CPZ"	1.597937	"Black_eyes"	55	"Black"	"eyes"
