"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.8392	-0.5414	-0.2599	-0.0948	-0.1272	-0.2545	0.2518	-0.7364	-0.3709	-0.1922	-0.9665	-0.9123	-0.9854	-0.3032	-0.1895	0.0217	0.6335	-1.1316	-0.3871	-0.222	-0.3519
-0.9015	-0.6227	-0.3546	-0.2247	-0.2193	-0.3411	0.157	-0.9123	-0.4765	-0.2951	-1.1668	-1.1018	-1.1154	-0.2843	-0.1841	-0.111	0.582	-1.1722	-0.4413	-0.2491	-0.5279
-0.9286	-0.6687	-0.4007	-0.3195	-0.3086	-0.379	0.1002	-1.0666	-0.6037	-0.379	-1.3482	-1.2209	-1.2047	-0.2382	-0.1787	-0.2085	0.49	-1.2264	-0.5062	-0.2761	-0.6958
-0.9611	-0.7201	-0.4413	-0.4007	-0.4196	-0.4494	0.0135	-1.2426	-0.6795	-0.4656	-1.5214	-1.359	-1.2968	-0.2057	-0.203	-0.3438	0.4061	-1.2399	-0.5523	-0.314	-0.8555
-1.0206	-0.8013	-0.4981	-0.4954	-0.536	-0.5198	-0.0785	-1.3969	-0.7824	-0.5523	-1.6758	-1.4808	-1.3671	-0.1516	-0.2409	-0.5252	0.3086	-1.2399	-0.6091	-0.3574	-0.9963
-1.0477	-0.8961	-0.5848	-0.5739	-0.6497	-0.5956	-0.1381	-1.5512	-0.8907	-0.6389	-1.8382	-1.5945	-1.4375	-0.0948	-0.3086	-0.6849	0.2139	-1.2643	-0.6389	-0.4007	-1.1424
-1.045	-0.9475	-0.5956	-0.5929	-0.7797	-0.6416	-0.2003	-1.6731	-0.9746	-0.6795	-1.9546	-1.6568	-1.4673	-0.0596	-0.3682	-0.8176	0.1083	-1.2291	-0.6551	-0.425	-1.2372
-1.1018	-1.0558	-0.647	-0.6227	-0.9259	-0.7174	-0.2518	-1.8003	-1.0693	-0.7526	-2.0466	-1.738	-1.489	-0.0027	-0.4602	-0.9421	0.0054	-1.2128	-0.6876	-0.4386	-1.3319
-1.1181	-1.1479	-0.666	-0.5956	-1.0504	-0.777	-0.2653	-1.895	-1.1235	-0.758	-2.1549	-1.7949	-1.4944	0.0541	-0.5766	-1.0342	-0.1029	-1.1939	-0.7364	-0.4467	-1.4023
-1.1289	-1.2209	-0.7282	-0.5739	-1.1858	-0.8149	-0.2491	-1.9492	-1.1722	-0.7553	-2.2037	-1.8544	-1.4917	0.1164	-0.6768	-1.1208	-0.2193	-1.1154	-0.777	-0.444	-1.4673
-1.1208	-1.2832	-0.7337	-0.4765	-1.2995	-0.8338	-0.2355	-2.0196	-1.2182	-0.7282	-2.2443	-1.8517	-1.4484	0.1516	-0.7688	-1.2128	-0.3086	-1.0585	-0.8203	-0.398	-1.5133
-1.1424	-1.3184	-0.7553	-0.4088	-1.3807	-0.8392	-0.1922	-2.09	-1.2507	-0.7093	-2.2795	-1.8761	-1.3942	0.203	-0.8392	-1.2372	-0.4034	-0.9556	-0.8555	-0.3655	-1.5187
-1.1479	-1.3347	-0.7634	-0.3249	-1.4619	-0.8555	-0.1733	-2.0818	-1.2453	-0.6903	-2.2741	-1.868	-1.3455	0.2626	-0.9286	-1.2372	-0.509	-0.8771	-0.888	-0.3492	-1.4998
