"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.2308	0.4856	0.8242	1.0341	1.2409	1.8073	1.2529	1.7564	2.4997	2.0351	1.7714	2.4368	2.2629	0.1229	0.1619	-1.124	-0.2787	1.3278	0.8842	1.2618	0.7613	1.0101	-0.5095
0.2997	0.5455	0.9292	1.088	1.1929	1.8373	1.2469	1.6845	2.4458	1.9392	1.6725	2.3469	2.143	0.1559	0.2218	-1.091	-0.3267	1.3008	0.8812	1.2349	0.7074	1.0191	-0.4586
0.3627	0.5635	0.9741	1.079	1.1599	1.8373	1.1869	1.5676	2.3469	1.8193	1.5346	2.215	1.9872	0.1529	0.2728	-1.064	-0.3507	1.2289	0.8542	1.1839	0.6504	1.0251	-0.4136
0.3836	0.5815	1.0071	1.07	1.088	1.8133	1.1569	1.4507	2.236	1.6575	1.3817	2.0411	1.8523	0.1559	0.3207	-0.9741	-0.3387	1.1599	0.8093	1.121	0.5335	1.0011	-0.3896
0.3807	0.5695	1.0101	1.0191	1.0011	1.7324	1.0311	1.2828	2.0891	1.4986	1.2139	1.8673	1.6665	0.1259	0.3207	-0.9202	-0.2907	1.07	0.7463	1.043	0.4346	0.9771	-0.3537
0.3866	0.5425	0.9741	0.8842	0.8962	1.6365	0.9172	1.112	1.9093	1.2678	1.0191	1.6485	1.4387	0.0899	0.3597	-0.7793	-0.2098	0.9531	0.6744	0.9831	0.2698	0.9232	-0.2787
0.3777	0.5275	0.9411	0.8063	0.8033	1.5286	0.7673	0.9501	1.7294	1.073	0.7943	1.4207	1.2139	0.033	0.3717	-0.6684	-0.0809	0.8003	0.5635	0.8572	0.1169	0.8722	-0.2668
0.3447	0.4616	0.8662	0.6474	0.6534	1.3907	0.5935	0.7433	1.4777	0.8212	0.5695	1.145	0.9591	-0.0569	0.3747	-0.5425	0.0659	0.6594	0.4766	0.7343	-0.051	0.8063	-0.2608
0.3207	0.4496	0.8183	0.5005	0.5515	1.2738	0.4376	0.5755	1.2559	0.5995	0.3507	0.9232	0.7193	-0.1169	0.3747	-0.3807	0.2068	0.5215	0.3836	0.6174	-0.1888	0.7463	-0.2458
0.3057	0.4076	0.7643	0.3807	0.4496	1.142	0.2518	0.3986	1.0341	0.3627	0.1469	0.6714	0.4945	-0.1948	0.3836	-0.2068	0.3537	0.3866	0.3057	0.4945	-0.3117	0.6654	-0.2338
0.3087	0.3926	0.7223	0.2278	0.3627	1.0071	0.1169	0.2128	0.8063	0.1259	-0.042	0.4226	0.2368	-0.2608	0.4046	-0.036	0.4826	0.2308	0.2278	0.3866	-0.4496	0.6084	-0.2248
0.3147	0.3836	0.7014	0.1199	0.3027	0.9082	-0.006	0.0989	0.6114	-0.0599	-0.2188	0.1888	0.024	-0.2997	0.4436	0.1499	0.5605	0.0929	0.1678	0.2518	-0.5425	0.5545	-0.2458
0.3687	0.3866	0.6864	0.0659	0.2368	0.8272	-0.1169	0.009	0.4436	-0.2428	-0.3597	-0.003	-0.1768	-0.3057	0.5215	0.3237	0.5965	-0.006	0.1469	0.1589	-0.5905	0.4886	-0.2728
0.4106	0.3986	0.7133	0.009	0.1768	0.7463	-0.2248	-0.1169	0.2608	-0.4226	-0.5125	-0.2188	-0.3627	-0.3237	0.5665	0.4736	0.6234	-0.1259	0.1319	0.033	-0.6324	0.4256	-0.2937
0.4556	0.4196	0.7193	-0.033	0.1768	0.6774	-0.2728	-0.1648	0.0959	-0.5425	-0.6234	-0.3986	-0.5215	-0.2967	0.6474	0.6474	0.5875	-0.2128	0.1229	-0.0599	-0.6474	0.3387	-0.3207
0.5035	0.4196	0.7223	-0.054	0.1199	0.5965	-0.3687	-0.2548	-0.0689	-0.7014	-0.7433	-0.6024	-0.7104	-0.2937	0.6984	0.7283	0.5545	-0.3237	0.1289	-0.1828	-0.6774	0.2668	-0.3477
0.5635	0.4256	0.7463	-0.018	0.0929	0.5485	-0.3896	-0.3297	-0.2068	-0.8602	-0.8422	-0.7583	-0.8692	-0.2728	0.7733	0.7973	0.4975	-0.4286	0.1229	-0.2698	-0.6714	0.1559	-0.3657
0.5905	0.4466	0.7553	-0.048	0.051	0.4736	-0.4496	-0.3896	-0.3717	-0.9831	-0.9292	-0.9142	-1.0161	-0.2368	0.8093	0.8183	0.4406	-0.5155	0.1229	-0.3807	-0.6744	0.0659	-0.3896
0.6504	0.4496	0.7763	-0.021	0.03	0.4196	-0.4856	-0.4406	-0.5275	-1.076	-1.0011	-1.07	-1.1509	-0.2068	0.8422	0.8332	0.3747	-0.5935	0.1529	-0.4856	-0.6684	-0.048	-0.4016
0.7343	0.4676	0.8242	0.006	0.015	0.3507	-0.5095	-0.4916	-0.6744	-1.1689	-1.094	-1.2289	-1.2978	-0.1529	0.9052	0.8572	0.2967	-0.6714	0.1948	-0.5665	-0.6414	-0.1768	-0.4166
0.7823	0.4586	0.8272	0.012	-0.018	0.2907	-0.5575	-0.5275	-0.8212	-1.2618	-1.1869	-1.3697	-1.4387	-0.1469	0.8962	0.8572	0.2518	-0.7763	0.1648	-0.6924	-0.6384	-0.3147	-0.4196
0.8362	0.4556	0.8183	0.036	-0.0779	0.2278	-0.5905	-0.6054	-0.9921	-1.3937	-1.2738	-1.5376	-1.5736	-0.1079	0.8962	0.8033	0.2068	-0.8662	0.1738	-0.7943	-0.6624	-0.4346	-0.4016
0.8602	0.4286	0.8063	-0.018	-0.1049	0.1199	-0.6504	-0.6714	-1.1749	-1.4836	-1.3488	-1.7354	-1.7354	-0.1079	0.8752	0.7613	0.1858	-0.9801	0.1738	-0.8902	-0.6804	-0.5695	-0.3687
0.8602	0.3717	0.7643	-0.051	-0.2098	0.018	-0.7074	-0.8033	-1.3697	-1.6425	-1.5106	-1.9212	-1.9003	-0.1259	0.8332	0.7403	0.2188	-1.13	0.1019	-1.046	-0.7403	-0.6894	-0.3447
0.8602	0.3237	0.7253	-0.1169	-0.3027	-0.1379	-0.7793	-0.9112	-1.5826	-1.7624	-1.6365	-2.137	-2.0591	-0.1499	0.7733	0.6864	0.2907	-1.2589	0.048	-1.1539	-0.8033	-0.7913	-0.2847
0.8003	0.2248	0.6264	-0.1768	-0.4346	-0.2997	-0.8662	-1.055	-1.7984	-1.8853	-1.7774	-2.3529	-2.2539	-0.2158	0.6954	0.6294	0.4016	-1.4207	-0.0629	-1.2978	-0.9082	-0.8782	-0.2368
