"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-1.69	-0.79	-1.418	-0.8971	-0.4572	-0.9926	-0.7495	-0.2778	-0.8826	-0.8016	0.1071	-0.764	-0.7785	-1.1807	0.0955	-0.8334	-0.2981	-0.081	-0.2084	0.2055	0.2836	0.5064	0.5064
-1.6669	-0.7524	-1.3486	-0.8826	-0.4023	-0.9752	-0.7206	-0.217	-0.8479	-0.764	0.1765	-0.6859	-0.6888	-1.227	0.2113	-0.8334	-0.3357	-0.0203	-0.217	0.2286	0.3068	0.6106	0.4746
-1.6061	-0.7582	-1.3428	-0.9029	-0.3733	-0.9347	-0.709	-0.1563	-0.7727	-0.7293	0.217	-0.6077	-0.6193	-1.1662	0.3212	-0.8392	-0.3733	0.0145	-0.2547	0.2228	0.3386	0.6772	0.4688
-1.5569	-0.7032	-1.2733	-0.8537	-0.3212	-0.8855	-0.6656	-0.1158	-0.7293	-0.6627	0.2836	-0.518	-0.5325	-0.9666	0.3878	-0.8566	-0.4051	0.0463	-0.2778	0.2373	0.3444	0.7437	0.4254
-1.4962	-0.7003	-1.2531	-0.8421	-0.2952	-0.8566	-0.6453	-0.0723	-0.6772	-0.6511	0.3068	-0.4659	-0.4833	-0.6743	0.4688	-0.8971	-0.4196	0.0781	-0.2778	0.2084	0.3704	0.7756	0.3907
-1.4064	-0.6164	-1.1489	-0.8248	-0.246	-0.7958	-0.6222	-0.0087	-0.5904	-0.6077	0.382	-0.356	-0.4225	-0.1678	0.5122	-0.9029	-0.4486	0.1158	-0.2981	0.2026	0.3791	0.7987	0.3733
-1.2994	-0.6019	-1.1199	-0.8074	-0.217	-0.7669	-0.6048	0.0289	-0.5556	-0.5643	0.4254	-0.3096	-0.3502	0.4051	0.5296	-0.9058	-0.4428	0.1389	-0.3154	0.1794	0.4109	0.7756	0.3444
-1.1778	-0.5296	-1.0215	-0.7437	-0.1852	-0.6888	-0.5817	0.0868	-0.4717	-0.5209	0.4833	-0.2228	-0.2807	1.0187	0.5354	-0.9	-0.4572	0.1678	-0.3125	0.1389	0.4225	0.7408	0.3096
-1.0244	-0.4572	-0.9145	-0.6916	-0.11	-0.6193	-0.5296	0.1592	-0.3849	-0.4688	0.5527	-0.11	-0.2084	1.5772	0.5759	-0.8363	-0.4601	0.191	-0.2923	0.136	0.4543	0.6859	0.2865
-0.9116	-0.3502	-0.8306	-0.6396	-0.0579	-0.5672	-0.4978	0.2113	-0.3068	-0.4572	0.599	-0.0203	-0.136	2.0113	0.5441	-0.7698	-0.4428	0.2315	-0.2691	0.11	0.4717	0.6338	0.2807
-0.7814	-0.3183	-0.7553	-0.5846	-0.0289	-0.4949	-0.4572	0.2605	-0.2605	-0.3965	0.6569	0.0579	-0.0695	2.2457	0.5035	-0.683	-0.4138	0.2026	-0.2547	0.0579	0.4804	0.5701	0.2605
