"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.1643	0	0.3571	-0.1286	0.3893	0.45	0.1143	0.9999	0.8607	0.5178	0.4964	1.0107	0.6964	-0.1214	0.7178	-0.7	0.2678	0.5535	0.4714	0.3107	-0.375
0.125	-0.0571	0.3143	-0.1464	0.3643	0.4071	0.1214	1.0249	0.8535	0.5035	0.5785	1.0606	0.7285	-0.1214	0.7035	-0.6035	0.2643	0.5678	0.475	0.3428	-0.2643
0.1	-0.05	0.2857	-0.1393	0.3607	0.3571	0.1143	1.0428	0.8607	0.5	0.6428	1.0928	0.7964	-0.1143	0.7035	-0.4964	0.2393	0.6107	0.5035	0.4071	-0.1321
0.1036	-0.0321	0.2607	-0.0929	0.3428	0.3107	0.1357	1.0749	0.8749	0.5321	0.725	1.1606	0.8428	-0.0893	0.6857	-0.3821	0.2071	0.6535	0.4785	0.4393	-0.0143
0.0714	-0.0464	0.2214	-0.075	0.3357	0.2464	0.1571	1.0642	0.8571	0.5643	0.8071	1.1785	0.8999	-0.0857	0.6607	-0.3107	0.2214	0.6678	0.4357	0.4643	0.0393
0.1178	-0.0179	0.2214	-0.0214	0.3678	0.2536	0.2214	1.1035	0.8678	0.6107	0.8535	1.2249	0.9785	-0.0714	0.6607	-0.2036	0.1786	0.7178	0.4107	0.5285	0.1357
0.1357	0.0071	0.2	0.0214	0.4	0.2143	0.3071	1.1214	0.9107	0.6392	0.9178	1.2749	1.0749	-0.05	0.625	-0.1143	0.125	0.8071	0.375	0.6071	0.225
0.1286	0.0143	0.1714	0.0321	0.3821	0.2071	0.3571	1.1178	0.9035	0.7142	0.9678	1.2963	1.1499	-0.0464	0.6178	-0.0714	0.1143	0.8392	0.3357	0.6464	0.2964
0.0964	0.0143	0.1536	0.0679	0.3678	0.1821	0.3964	1.0892	0.8857	0.7464	0.9678	1.2999	1.2214	-0.0321	0.5857	0.0107	0.0964	0.8749	0.2714	0.6892	0.2964
0.125	0.0357	0.1214	0.075	0.3928	0.1571	0.4535	1.0999	0.8964	0.7821	1.0178	1.3392	1.3106	0.0036	0.5892	0.0929	0.0214	0.9392	0.2786	0.725	0.3928
0.1214	0.0893	0.0929	0.0893	0.4214	0.1393	0.5321	1.1035	0.9107	0.8392	1.0428	1.3713	1.3892	0.0214	0.6	0.1536	-0.0357	1.0107	0.2464	0.7964	0.4143
0.1321	0.1464	0.1	0.1286	0.4464	0.1536	0.5928	1.1071	0.9071	0.8999	1.0749	1.3642	1.4571	0.0679	0.6178	0.225	-0.1107	1.0535	0.2571	0.8499	0.4821
0.1571	0.2214	0.0964	0.1143	0.4714	0.1714	0.6428	1.1035	0.9178	0.9392	1.0928	1.3678	1.5178	0.0821	0.5928	0.3036	-0.1464	1.0964	0.2678	0.8749	0.5071
0.1714	0.2786	0.0964	0.1643	0.5071	0.1678	0.7	1.1142	0.9321	1.0321	1.1464	1.3928	1.5928	0.1107	0.5928	0.3535	-0.2036	1.1499	0.2857	0.9178	0.5571
