"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
1.1354	1.3461	1.2177	1.6192	1.5369	1.2967	1.7048	1.017	1.0597	1.0795	0.2995	0.5924	0.4838	0.0428	0.5397	1.3987	-0.1251	-0.3061	0.1613	0.4476	-0.0856	-6.1807	-0.6813
1.2045	1.4415	1.2835	1.6258	1.6258	1.3329	1.6752	1.1223	1.1256	1.0597	0.4015	0.6483	0.4772	0.0362	0.5266	1.4711	-0.0823	-0.3653	0.2534	0.3884	0.0296	-6.0458	-0.7833
1.2276	1.481	1.2967	1.583	1.6818	1.3592	1.6028	1.198	1.1058	0.9906	0.4706	0.6352	0.4278	-0.0099	0.5134	1.4777	-0.0099	-0.4542	0.3028	0.2797	0.1086	-5.9437	-0.8689
1.2473	1.5369	1.3164	1.5534	1.718	1.3263	1.5073	1.2572	1.0762	0.938	0.5496	0.6451	0.3982	-0.0428	0.4904	1.5007	0.0329	-0.5299	0.3587	0.204	0.181	-5.8088	-0.961
1.2638	1.5863	1.3395	1.4975	1.7805	1.3296	1.4283	1.3066	1.0663	0.882	0.6352	0.6121	0.3456	-0.0395	0.4838	1.4613	0.0461	-0.5957	0.418	0.1152	0.2567	-5.6936	-1.0433
1.2539	1.5699	1.2967	1.4547	1.7871	1.3	1.3395	1.3164	0.9939	0.8129	0.678	0.6286	0.2863	-0.0362	0.4147	1.4053	0.0625	-0.6385	0.4246	0.0263	0.3061	-5.5587	-1.0992
1.2243	1.5699	1.2737	1.3856	1.7904	1.2671	1.2638	1.3461	0.961	0.7273	0.7372	0.6089	0.2337	-0.0527	0.4081	1.3592	0.079	-0.7076	0.4575	-0.0494	0.3785	-5.4205	-1.1683
1.1716	1.5699	1.2111	1.3263	1.8068	1.2013	1.1716	1.4053	0.9544	0.6714	0.8228	0.6121	0.2106	-0.0428	0.4278	1.3066	0.0592	-0.7405	0.5002	-0.1152	0.441	-5.2691	-1.2045
1.1486	1.5468	1.1815	1.2671	1.7904	1.1651	1.119	1.4053	0.9051	0.6319	0.859	0.6187	0.181	-0.0263	0.418	1.2177	0.0428	-0.7997	0.5266	-0.1777	0.5167	-5.1144	-1.2407
1.0762	1.5501	1.1519	1.2013	1.7509	1.1091	1.0235	1.4415	0.8425	0.5562	0.8985	0.599	0.1152	-0.0197	0.4246	1.1223	0.0329	-0.8261	0.5529	-0.2468	0.5365	-4.9531	-1.2407
1.0729	1.5073	1.0828	1.1223	1.7476	1.0663	0.9314	1.4415	0.8261	0.52	0.9577	0.5891	0.1053	-0.0197	0.4311	0.9972	0.0296	-0.8623	0.5924	-0.3094	0.5792	-4.7754	-1.244
1.0005	1.4843	1.0235	1.0663	1.7278	1.0038	0.859	1.458	0.7734	0.4739	1.0005	0.5858	0.0757	-0.0329	0.4575	0.9643	0.0362	-0.8853	0.6056	-0.3554	0.6253	-4.6108	-1.2407
0.9643	1.4547	0.9972	1.0202	1.718	0.9775	0.78	1.481	0.7438	0.4443	1.04	0.6089	0.0658	-0.0395	0.4904	0.8261	0.0362	-0.8754	0.6385	-0.4015	0.6549	-4.4331	-1.2243
0.9248	1.4613	0.9906	0.9873	1.6916	0.9676	0.7767	1.4876	0.7273	0.4311	1.1058	0.6023	0.0691	-0.0362	0.5068	0.7405	0.0527	-0.882	0.6615	-0.418	0.7076	-4.2752	-1.1881
0.9083	1.4711	0.9643	0.9643	1.6883	0.9314	0.7208	1.4942	0.7109	0.418	1.1486	0.6319	0.079	-0.0395	0.5134	0.6648	0.0494	-0.8327	0.6944	-0.4311	0.7504	-4.1106	-1.1453
0.9248	1.4777	0.984	0.9413	1.7015	0.9347	0.7109	1.5205	0.7109	0.4509	1.2309	0.6681	0.1119	-0.0527	0.543	0.5595	0.0691	-0.8129	0.7372	-0.4246	0.8228	-3.9592	-1.1256
0.9182	1.4645	0.9939	0.9248	1.7015	0.9018	0.6878	1.5369	0.7142	0.4311	1.2671	0.6944	0.1316	-0.0625	0.5759	0.5101	0.102	-0.8096	0.7668	-0.4311	0.8919	-3.8276	-1.0795
0.9873	1.5139	1.0202	0.9413	1.741	0.9544	0.7208	1.6028	0.7602	0.4805	1.3428	0.757	0.1942	-0.0691	0.622	0.4673	0.1053	-0.724	0.8557	-0.3982	0.9643	-3.719	-1.0466
