"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
1.2987	0.5916	1.0869	2.1215	0.1926	0.8007	2.0389	0.055	1.0071	1.7115	0.3687	1.0511	1.4611	0.044	0.7512	1.5491	-0.0881	0.6549	-0.2091	0.9383	-0.3439
1.34	0.5723	1.1089	2.16	0.1348	0.853	2.0747	0.0468	1.0429	1.7748	0.3797	1.0869	1.5189	0.033	0.7677	1.5712	-0.0715	0.7127	-0.1789	0.8585	-0.2944
1.34	0.5173	1.1171	2.149	0.0633	0.8888	2.0774	0.0468	1.1006	1.8023	0.4072	1.1199	1.5794	0.0385	0.7292	1.5574	-0.0881	0.7539	-0.1376	0.8282	-0.2476
1.3153	0.454	1.1034	2.1325	0.0028	0.9025	2.0829	0	1.1337	1.8408	0.3797	1.1144	1.6014	0.0413	0.7182	1.5464	-0.0908	0.8172	-0.1403	0.7732	-0.2036
1.2877	0.3577	1.0566	2.0829	-0.1018	0.8915	2.0499	-0.0715	1.1199	1.8353	0.3467	1.1006	1.5739	0.0358	0.6604	1.4693	-0.0798	0.8365	-0.1211	0.7732	-0.1899
1.252	0.2752	1.0346	2.0389	-0.1981	0.8943	2.0252	-0.1183	1.1226	1.8271	0.3192	1.0896	1.5877	0.0413	0.6549	1.4033	-0.0825	0.8612	-0.1568	0.7759	-0.1926
1.2107	0.2091	0.9878	1.9591	-0.3192	0.875	1.9756	-0.2091	1.0896	1.7748	0.2724	1.0236	1.5244	0.0303	0.6081	1.3455	-0.0798	0.8337	-0.1623	0.7815	-0.2091
1.1337	0.1046	0.919	1.8766	-0.3962	0.8502	1.9096	-0.2834	1.0594	1.7197	0.2091	0.9796	1.4583	0.0303	0.5998	1.274	-0.0688	0.8062	-0.1761	0.798	-0.2174
1.0731	0.033	0.8723	1.7913	-0.4898	0.8062	1.8298	-0.3329	1.0291	1.651	0.1706	0.9438	1.3813	0.0358	0.5448	1.1887	-0.077	0.7842	-0.1981	0.8337	-0.2311
0.9851	-0.0715	0.8117	1.684	-0.5448	0.8062	1.739	-0.3797	0.9961	1.5601	0.1156	0.8695	1.2712	0.0385	0.487	1.1144	-0.0881	0.7347	-0.2559	0.853	-0.2586
0.9163	-0.1403	0.7319	1.5904	-0.6136	0.7704	1.6317	-0.432	0.919	1.4501	0.0715	0.7925	1.1639	0.0495	0.4568	1.0704	-0.0963	0.6851	-0.2752	0.8888	-0.2944
0.8117	-0.2394	0.6659	1.4611	-0.6686	0.7292	1.4914	-0.4898	0.8695	1.351	0.0303	0.7292	1.0841	0.0413	0.4045	0.9961	-0.0825	0.5888	-0.3164	0.9025	-0.3412
0.7237	-0.2862	0.5723	1.3263	-0.6686	0.6962	1.373	-0.5145	0.8392	1.23	-0.0193	0.6576	0.9493	0.0523	0.3522	0.952	-0.0991	0.5421	-0.3495	0.9025	-0.3687
0.6219	-0.3522	0.5145	1.2272	-0.6631	0.6549	1.2355	-0.5448	0.7732	1.1006	-0.0385	0.5806	0.8282	0.0468	0.2779	0.886	-0.1101	0.4595	-0.366	0.8943	-0.3742
0.5586	-0.3742	0.4733	1.1116	-0.6274	0.6549	1.1171	-0.5256	0.7429	0.9906	-0.0578	0.5448	0.7099	0.0633	0.2119	0.8365	-0.1238	0.4127	-0.3742	0.8915	-0.4072
0.454	-0.41	0.4017	0.9933	-0.6191	0.6274	0.9961	-0.5118	0.6989	0.8695	-0.0633	0.4788	0.5943	0.0715	0.1376	0.7484	-0.1376	0.355	-0.388	0.8998	-0.4072
0.3577	-0.4182	0.3329	0.8585	-0.5668	0.5971	0.8805	-0.476	0.6659	0.7567	-0.0853	0.4155	0.4733	0.0715	0.055	0.6576	-0.1486	0.2862	-0.3907	0.8585	-0.4265
0.2807	-0.4375	0.2807	0.7622	-0.5173	0.5668	0.7457	-0.443	0.6274	0.6439	-0.0881	0.388	0.3412	0.0825	-0.0578	0.5421	-0.1706	0.2201	-0.3962	0.8365	-0.4155
0.1899	-0.4072	0.2146	0.6274	-0.465	0.5311	0.6109	-0.4072	0.5751	0.509	-0.077	0.3412	0.2504	0.0936	-0.1458	0.432	-0.2091	0.1706	-0.377	0.8255	-0.4072
0.1018	-0.421	0.1816	0.5008	-0.377	0.5503	0.5035	-0.3495	0.5586	0.3962	-0.0605	0.3054	0.1431	0.1238	-0.2284	0.2531	-0.2366	0.1376	-0.3962	0.842	-0.4182
0	-0.41	0.1293	0.3935	-0.3384	0.5063	0.3742	-0.3192	0.498	0.2669	-0.0413	0.2504	0.033	0.1238	-0.3164	0.1156	-0.2614	0.0715	-0.3632	0.809	-0.366
-0.0633	-0.4155	0.0743	0.3109	-0.2724	0.4815	0.2834	-0.2642	0.454	0.1458	-0.0248	0.1954	-0.0881	0.1403	-0.3687	-0.0495	-0.2807	0.0248	-0.3412	0.82	-0.3522
-0.0963	-0.4072	0.033	0.2366	-0.2091	0.465	0.1844	-0.2146	0.443	0.0413	0.0165	0.1733	-0.1623	0.1596	-0.4513	-0.2009	-0.3137	-0.044	-0.3054	0.831	-0.3082
-0.1623	-0.399	0.011	0.1871	-0.1293	0.432	0.0963	-0.1293	0.4237	-0.0495	0.0633	0.1568	-0.2752	0.1706	-0.4843	-0.3247	-0.3412	-0.0715	-0.2586	0.853	-0.2504
-0.2311	-0.3742	-0.0165	0.1266	-0.0798	0.4292	0.0248	-0.066	0.4182	-0.1486	0.0798	0.1458	-0.3192	0.1733	-0.5283	-0.4403	-0.3467	-0.1321	-0.2339	0.82	-0.2091
-0.2779	-0.3357	-0.033	0.0853	0.0028	0.4485	-0.0165	-0.0055	0.4017	-0.1871	0.1238	0.1321	-0.4045	0.1954	-0.5751	-0.52	-0.377	-0.1568	-0.1981	0.82	-0.1623
