"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.5249	0.6927	0.5249	1.087	0.7913	0.8925	1.3321	0.9645	1.2335	1.8117	1.3028	1.4014	1.7424	0.0666	-0.2718	-0.365	-0.1012	1.3295	0.4529	0.1172	1.1216
0.5781	0.7407	0.5408	1.0497	0.7993	0.8845	1.3135	1.0097	1.2549	1.825	1.3348	1.428	1.7531	0.0559	-0.1945	-0.3916	-0.0746	1.3401	0.4582	0.0559	1.1376
0.5861	0.738	0.5835	0.9938	0.778	0.8632	1.2495	0.9938	1.2335	1.8117	1.3295	1.42	1.7264	0.0293	-0.1305	-0.4796	-0.0559	1.3001	0.4369	0.016	1.1083
0.5835	0.7114	0.5808	0.9112	0.7407	0.8259	1.1536	0.9778	1.1723	1.7451	1.3348	1.3934	1.6492	0.024	-0.0107	-0.4902	-0.0453	1.2788	0.4289	-0.024	1.1003
0.5861	0.6687	0.5861	0.8712	0.69	0.7726	1.1243	0.9565	1.1163	1.6865	1.3028	1.3827	1.6119	0.032	0.1039	-0.4955	-0.0506	1.2469	0.4103	-0.0693	1.0977
0.5568	0.5995	0.5408	0.7966	0.6181	0.6714	1.0497	0.8872	1.0284	1.5959	1.2362	1.3055	1.5373	0.0213	0.1838	-0.4769	-0.0426	1.1936	0.3783	-0.1226	1.0097
0.5435	0.5249	0.5115	0.738	0.5275	0.5995	0.9858	0.8339	0.9298	1.5159	1.2069	1.2309	1.4653	0.048	0.2691	-0.4822	-0.0666	1.1456	0.3677	-0.1412	0.9671
0.5195	0.4902	0.4822	0.6714	0.4423	0.5195	0.9378	0.7806	0.8552	1.4387	1.1323	1.1616	1.3747	0.048	0.3304	-0.4369	-0.0879	1.1003	0.3437	-0.1678	0.9085
0.4929	0.4103	0.413	0.6021	0.3384	0.4236	0.8659	0.7087	0.7593	1.3454	1.0417	1.079	1.2682	0.0639	0.389	-0.365	-0.1172	1.0524	0.3384	-0.2105	0.8552
0.4396	0.3277	0.3677	0.5355	0.2478	0.3357	0.8099	0.6421	0.6447	1.2096	0.9591	0.9858	1.1536	0.0533	0.4263	-0.317	-0.1119	0.9538	0.2957	-0.1865	0.778
