"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.836	-0.5261	-1.049	-1.6785	-0.6488	-1.4751	-2.3692	-0.6843	-1.9173	-2.2595	-0.8457	-1.8334	-1.7301	0.1065	-0.9296	-1.9528	-0.213	0.2485	0.7714	0.1097	0.4971	0.1743	-0.3131
-0.9361	-0.6617	-1.1814	-1.7237	-0.8199	-1.6075	-2.4176	-0.8489	-2.0561	-2.3402	-1.0103	-2.0142	-1.8269	0.1227	-0.9942	-1.9819	-0.2679	0.2001	0.6101	0.0904	0.3196	0.3228	-0.255
-1.062	-0.8263	-1.3073	-1.743	-1.0232	-1.7592	-2.4854	-1.0426	-2.2175	-2.4015	-1.1782	-2.1788	-1.9335	0.1356	-1.0523	-2.0012	-0.297	0.1485	0.439	0.071	0.1678	0.4067	-0.2034
-1.1136	-0.9554	-1.4202	-1.7785	-1.1556	-1.8592	-2.5145	-1.2007	-2.3628	-2.4661	-1.3202	-2.3176	-2.0109	0.1614	-1.0716	-2.0142	-0.3389	0.1356	0.297	0.0516	-0.0129	0.4745	-0.1711
-1.2395	-1.091	-1.559	-1.8173	-1.3234	-1.9851	-2.55	-1.3686	-2.4886	-2.55	-1.4913	-2.4822	-2.1013	0.1678	-1.1104	-2.0206	-0.3454	0.0936	0.1356	0.0129	-0.1582	0.5261	-0.1194
-1.3105	-1.2363	-1.63	-1.8302	-1.4783	-2.0755	-2.5823	-1.5461	-2.5952	-2.6016	-1.6688	-2.6242	-2.1788	0.1743	-1.1168	-1.9916	-0.3583	0.0549	-0.0646	0.0291	-0.3163	0.5358	-0.1065
-1.3783	-1.3686	-1.7592	-1.8528	-1.6268	-2.1885	-2.621	-1.6946	-2.7211	-2.663	-1.8399	-2.7824	-2.253	0.1711	-1.1233	-1.9722	-0.3551	0.0097	-0.2453	-0.0097	-0.4971	0.5003	-0.0839
-1.4622	-1.4751	-1.8625	-1.8947	-1.785	-2.2885	-2.6145	-1.8592	-2.8211	-2.6888	-1.9883	-2.9147	-2.3434	0.1711	-1.1297	-1.9464	-0.3518	-0.0258	-0.4099	-0.0355	-0.6649	0.4584	-0.0484
-1.53	-1.5881	-1.9302	-1.8786	-1.9367	-2.3531	-2.5952	-2.0174	-2.9147	-2.7114	-2.1336	-3.0277	-2.4015	0.1711	-1.1168	-1.9012	-0.3518	-0.0581	-0.539	-0.0549	-0.8295	0.3906	-0.0194
-1.559	-1.6914	-1.9819	-1.8786	-2.0368	-2.4112	-2.5855	-2.1271	-2.9599	-2.6855	-2.2692	-3.1181	-2.4628	0.1743	-1.1039	-1.8495	-0.3421	-0.0936	-0.7327	-0.0646	-0.9845	0.284	-0.0032
-1.5816	-1.7818	-2.0045	-1.8495	-2.1465	-2.4435	-2.5371	-2.2433	-3.0309	-2.7049	-2.3789	-3.2181	-2.4886	0.1775	-1.0975	-1.7495	-0.3518	-0.1259	-0.8618	-0.0807	-1.0975	0.1711	0.0161
-1.5784	-1.7947	-2.0238	-1.7979	-2.2207	-2.4661	-2.4628	-2.3563	-3.0503	-2.6694	-2.479	-3.2666	-2.5177	0.184	-1.0716	-1.6591	-0.3583	-0.1517	-0.978	-0.0775	-1.2427	0.0613	0.0452
-1.559	-1.8431	-2.0335	-1.7333	-2.2659	-2.4499	-2.3724	-2.4338	-3.0438	-2.65	-2.5274	-3.2956	-2.5112	0.1969	-1.02	-1.5397	-0.3873	-0.1937	-1.0555	-0.113	-1.3299	-0.071	0.0807
-1.5171	-1.8431	-1.9851	-1.6591	-2.3014	-2.4402	-2.2788	-2.4822	-3.0374	-2.5726	-2.5919	-3.3117	-2.4951	0.2098	-0.9813	-1.4202	-0.4035	-0.213	-1.1491	-0.1162	-1.4138	-0.1937	0.1291
-1.4622	-1.8302	-1.9206	-1.559	-2.3014	-2.3724	-2.1788	-2.4983	-2.9728	-2.4886	-2.6145	-3.2827	-2.4564	0.2356	-0.8812	-1.2976	-0.4648	-0.2163	-1.1975	-0.113	-1.4977	-0.297	0.1808
-1.3815	-1.7914	-1.8334	-1.4461	-2.2724	-2.3014	-2.0497	-2.5338	-2.9373	-2.4015	-2.65	-3.2536	-2.4305	0.2615	-0.8425	-1.1717	-0.5068	-0.2711	-1.2459	-0.1356	-1.5623	-0.397	0.213
-1.2847	-1.7495	-1.7592	-1.3589	-2.253	-2.2143	-1.9109	-2.5145	-2.8889	-2.324	-2.6404	-3.2472	-2.3789	0.2711	-0.7908	-1.1071	-0.552	-0.2937	-1.2718	-0.1582	-1.5978	-0.4519	0.2582
-1.1652	-1.6914	-1.6494	-1.2363	-2.1852	-2.1207	-1.7592	-2.4854	-2.7759	-2.2014	-2.621	-3.1568	-2.2918	0.3034	-0.7295	-1.049	-0.6197	-0.3131	-1.2879	-0.1808	-1.6042	-0.4874	0.2776
-1.1007	-1.63	-1.5784	-1.1782	-2.1465	-2.0432	-1.6623	-2.4757	-2.7178	-2.1239	-2.6178	-3.1181	-2.2627	0.3325	-0.7069	-1.02	-0.6682	-0.3421	-1.2911	-0.2034	-1.6526	-0.4971	0.3163
-1.0006	-1.559	-1.4751	-1.0878	-2.1239	-1.9496	-1.5558	-2.4531	-2.6339	-2.0271	-2.5855	-3.06	-2.2175	0.3712	-0.6617	-1.0103	-0.7263	-0.3647	-1.3202	-0.2163	-1.6882	-0.4487	0.3615
