"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.2885	-0.5219	-0.4852	-0.5875	-0.8209	-0.4406	-0.7055	-0.8261	-0.4406	-0.9153	-0.6478	-0.5586	-0.7186	-0.2518	0.0997	-0.6347	0.4957	-0.6294	-0.3252	-0.7894	-0.2885
-0.3226	-0.5822	-0.5429	-0.5744	-0.8917	-0.4773	-0.695	-0.8733	-0.4406	-0.855	-0.6871	-0.5429	-0.674	-0.2098	0.1311	-0.5822	0.4301	-0.5455	-0.3724	-0.7107	-0.3462
-0.3698	-0.6609	-0.6111	-0.6425	-0.9625	-0.5481	-0.674	-0.9415	-0.4957	-0.8209	-0.7422	-0.5717	-0.6373	-0.181	0.1469	-0.5612	0.375	-0.4747	-0.4327	-0.6635	-0.4091
-0.4039	-0.7527	-0.674	-0.6557	-1.0176	-0.5901	-0.6845	-0.9966	-0.535	-0.7946	-0.8078	-0.5901	-0.5848	-0.1547	0.181	-0.5245	0.2964	-0.3908	-0.438	-0.5848	-0.4668
-0.4904	-0.8392	-0.7501	-0.6766	-1.1199	-0.6635	-0.7055	-1.0674	-0.5875	-0.7658	-0.8891	-0.6006	-0.5324	-0.1023	0.1915	-0.514	0.2151	-0.3121	-0.4983	-0.4904	-0.577
-0.5665	-0.931	-0.8471	-0.7081	-1.1933	-0.7579	-0.7212	-1.1277	-0.6347	-0.7081	-0.9336	-0.6216	-0.5271	-0.0813	0.1993	-0.5009	0.1652	-0.2387	-0.5665	-0.4432	-0.6557
-0.6111	-1.0176	-0.931	-0.7658	-1.2457	-0.8209	-0.7317	-1.1592	-0.7055	-0.7029	-0.994	-0.6609	-0.5062	-0.0525	0.1941	-0.4826	0.1023	-0.181	-0.6058	-0.3593	-0.7474
-0.695	-1.112	-1.0123	-0.7868	-1.2562	-0.8812	-0.7343	-1.1907	-0.7527	-0.6688	-1.0202	-0.6897	-0.4852	-0.0131	0.1967	-0.4563	0.0288	-0.1128	-0.6714	-0.2964	-0.8183
-0.7474	-1.1513	-1.0595	-0.8209	-1.2825	-0.9546	-0.7632	-1.1959	-0.813	-0.6478	-1.0622	-0.6845	-0.4616	0.021	0.2124	-0.4458	-0.0472	-0.042	-0.6976	-0.2413	-0.8681
-0.7999	-1.2064	-1.1487	-0.8576	-1.3165	-1.0228	-0.771	-1.2116	-0.8602	-0.632	-1.0962	-0.6976	-0.4354	0.0446	0.1469	-0.4406	-0.0918	0.0184	-0.7606	-0.181	-0.952
-0.8864	-1.2746	-1.2143	-0.8891	-1.3244	-1.07	-0.8051	-1.2038	-0.8891	-0.598	-1.1015	-0.7343	-0.4144	0.0813	0.1075	-0.4642	-0.1547	0.0761	-0.8156	-0.1049	-1.0071
-0.973	-1.2825	-1.2772	-0.9258	-1.2851	-1.1277	-0.8183	-1.1644	-0.9284	-0.5796	-1.0753	-0.7317	-0.3986	0.1075	0.021	-0.4432	-0.2046	0.1285	-0.8628	-0.0184	-1.0254
-1.0281	-1.3034	-1.3323	-0.9494	-1.2903	-1.1775	-0.8051	-1.133	-0.9677	-0.5691	-1.07	-0.7291	-0.3934	0.1259	-0.0498	-0.4773	-0.2491	0.1757	-0.9232	0.0525	-1.0412
-1.0831	-1.3087	-1.3638	-0.9625	-1.2405	-1.1985	-0.8392	-1.0884	-0.9887	-0.5534	-1.049	-0.7186	-0.3855	0.1495	-0.139	-0.4799	-0.2885	0.1941	-0.9599	0.1285	-1.0648
-1.1382	-1.2982	-1.3952	-0.9913	-1.188	-1.2195	-0.8445	-1.0307	-1.0071	-0.5324	-1.0307	-0.7107	-0.3645	0.1626	-0.2518	-0.4983	-0.32	0.2282	-1.0018	0.2098	-1.0674
-1.1749	-1.2693	-1.4215	-0.9704	-1.1094	-1.2352	-0.8287	-0.9494	-1.0307	-0.535	-0.9835	-0.716	-0.3567	0.1783	-0.3698	-0.5324	-0.3567	0.2491	-1.0202	0.278	-1.0595
