"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.2269	-0.2797	-0.0622	-1.0444	-0.7056	-0.718	-1.4951	-0.9511	-1.0972	-1.4764	-0.8299	-0.7025	-1.1563	-0.2083	1.607	1.0382	0.4165	-0.9822	-0.8113	-0.7677	-1.0226	-0.5377	-1.2091
0.2642	-0.2051	-0.0466	-0.9853	-0.6154	-0.6807	-1.4422	-0.92	-1.0972	-1.4889	-0.8454	-0.7957	-1.234	-0.2331	1.6225	1.1936	0.4662	-1.0692	-0.7273	-0.8082	-0.976	-0.5875	-1.2184
0.2984	-0.1585	-0.0062	-0.92	-0.5844	-0.6714	-1.377	-0.889	-1.1221	-1.4609	-0.8454	-0.8454	-1.2651	-0.2487	1.6163	1.3055	0.4849	-1.0972	-0.6465	-0.8237	-0.8859	-0.6372	-1.206
0.3575	-0.115	0.028	-0.8703	-0.5129	-0.6434	-1.3397	-0.8299	-1.1128	-1.4267	-0.861	-0.9045	-1.3428	-0.2642	1.6256	1.4298	0.516	-1.1656	-0.5657	-0.8454	-0.8486	-0.6714	-1.1905
0.3761	-0.0995	0.0404	-0.8237	-0.4725	-0.6341	-1.2806	-0.7988	-1.0972	-1.4143	-0.8765	-0.9636	-1.408	-0.2704	1.6008	1.4795	0.5408	-1.234	-0.4569	-0.8392	-0.7895	-0.6807	-1.1532
0.3979	-0.1088	0.0249	-0.8144	-0.4476	-0.6279	-1.2216	-0.7864	-1.1283	-1.4205	-0.8921	-1.0382	-1.4485	-0.2953	1.5541	1.5199	0.5844	-1.2993	-0.3823	-0.8703	-0.7242	-0.7025	-1.1159
0.3792	-0.0653	0.0435	-0.7584	-0.432	-0.6248	-1.2153	-0.774	-1.1563	-1.4018	-0.9387	-1.1283	-1.5355	-0.3046	1.5199	1.5293	0.5999	-1.3272	-0.2984	-0.8983	-0.6838	-0.7242	-1.0692
0.3668	-0.0777	0.0249	-0.7553	-0.3916	-0.6248	-1.1811	-0.7522	-1.1501	-1.408	-0.9449	-1.1874	-1.5697	-0.3046	1.4391	1.551	0.6154	-1.3707	-0.2083	-0.889	-0.6403	-0.7429	-1.0102
0.345	-0.0777	-0.0062	-0.7429	-0.3885	-0.6465	-1.1314	-0.7491	-1.2029	-1.408	-0.9698	-1.2775	-1.6567	-0.3326	1.4049	1.5199	0.6341	-1.436	-0.1057	-0.9263	-0.5812	-0.7615	-0.9667
0.3046	-0.1119	-0.0528	-0.7398	-0.3823	-0.6963	-1.1407	-0.7429	-1.2309	-1.4143	-0.9946	-1.349	-1.7468	-0.3295	1.3272	1.4795	0.6465	-1.4858	-0.0497	-0.9449	-0.5408	-0.8144	-0.9169
0.2611	-0.1461	-0.1119	-0.746	-0.373	-0.7087	-1.1438	-0.746	-1.2744	-1.4453	-1.0382	-1.4391	-1.8246	-0.345	1.234	1.4174	0.6683	-1.5386	0.0155	-0.9853	-0.5439	-0.8486	-0.8641
0.2051	-0.1399	-0.1772	-0.7771	-0.3761	-0.7522	-1.1438	-0.7336	-1.3055	-1.4516	-1.0786	-1.5417	-1.8929	-0.3388	1.1687	1.3707	0.6621	-1.5728	0.0746	-0.9978	-0.5098	-0.9387	-0.8237
0.1523	-0.1927	-0.23	-0.7926	-0.4041	-0.7895	-1.1749	-0.7677	-1.3428	-1.4889	-1.1128	-1.6567	-1.9862	-0.3419	1.091	1.2868	0.6963	-1.666	0.0932	-1.0226	-0.5035	-1.0164	-0.7802
0.0777	-0.2518	-0.3015	-0.8299	-0.4383	-0.8299	-1.1749	-0.7802	-1.4018	-1.5137	-1.1749	-1.7624	-2.0919	-0.345	1.0009	1.2309	0.6963	-1.7127	0.115	-1.0382	-0.4973	-1.1283	-0.7273
0	-0.2953	-0.3916	-0.8299	-0.4538	-0.889	-1.1905	-0.7988	-1.4516	-1.5666	-1.1811	-1.8619	-2.1634	-0.3388	0.9014	1.1314	0.6838	-1.7468	0.1337	-1.0661	-0.5098	-1.2247	-0.7149
-0.0435	-0.3481	-0.4693	-0.8579	-0.4693	-0.9232	-1.1998	-0.7833	-1.4951	-1.5883	-1.2122	-1.952	-2.2131	-0.3419	0.8144	1.0413	0.6776	-1.7841	0.171	-1.1003	-0.5066	-1.321	-0.6496
-0.1305	-0.3792	-0.5346	-0.8486	-0.4725	-0.948	-1.2153	-0.7864	-1.5448	-1.5977	-1.1998	-2.0173	-2.2659	-0.3202	0.6838	0.9138	0.6341	-1.7966	0.1585	-1.1252	-0.4662	-1.4049	-0.6154
-0.171	-0.4196	-0.603	-0.8579	-0.4476	-0.9853	-1.2184	-0.7957	-1.5914	-1.635	-1.2184	-2.0608	-2.3343	-0.3046	0.5844	0.7709	0.6061	-1.8339	0.1772	-1.1501	-0.4849	-1.4826	-0.5906
-0.2331	-0.4569	-0.6527	-0.8361	-0.4756	-1.0102	-1.2184	-0.805	-1.6412	-1.6505	-1.2464	-2.1416	-2.3965	-0.2829	0.4352	0.603	0.5688	-1.8525	0.1523	-1.1625	-0.4569	-1.5666	-0.5315
-0.2984	-0.4756	-0.7087	-0.8548	-0.4662	-1.0444	-1.2278	-0.8019	-1.6785	-1.6909	-1.2184	-2.1882	-2.4182	-0.2642	0.3326	0.4631	0.5315	-1.8681	0.1678	-1.1718	-0.4165	-1.6443	-0.4942
-0.3543	-0.5004	-0.7957	-0.8517	-0.4911	-1.091	-1.2153	-0.7895	-1.6909	-1.7002	-1.1874	-2.2286	-2.468	-0.258	0.1896	0.2891	0.5035	-1.9054	0.1741	-1.2247	-0.401	-1.7033	-0.4631
-0.4476	-0.5439	-0.8548	-0.8454	-0.516	-1.1345	-1.2278	-0.7988	-1.7282	-1.7064	-1.178	-2.2815	-2.4742	-0.2393	0.0528	0.1212	0.4693	-1.9302	0.1741	-1.2371	-0.3885	-1.7593	-0.4289
-0.5222	-0.5875	-0.9232	-0.8361	-0.4942	-1.1501	-1.2433	-0.7833	-1.7655	-1.7313	-1.1811	-2.297	-2.4928	-0.2238	-0.0466	-0.0404	0.4383	-1.9582	0.1678	-1.262	-0.3512	-1.8246	-0.4134
-0.5688	-0.5844	-0.9729	-0.8019	-0.5346	-1.1998	-1.2526	-0.7677	-1.7904	-1.7437	-1.1345	-2.3374	-2.5177	-0.2145	-0.2051	-0.2238	0.4289	-1.9955	0.1585	-1.2868	-0.3077	-1.8743	-0.3792
