"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
1.0295	1.3092	1.147	1.6085	1.5834	1.3959	1.7064	1.5973	2.1261	1.933	1.6533	2.017	1.9135	-0.1343	-0.2714	0.1455	0.2965	0.9399	1.4239	0.7497	1.4687	-2.803	0
1.049	1.3903	1.1721	1.6029	1.7008	1.4379	1.7008	1.726	2.196	1.9302	1.7988	2.0869	1.9246	-0.1567	-0.1455	0.2714	0.3189	0.9064	1.5022	0.7553	1.5638	-2.7191	-0.0056
1.077	1.4659	1.2029	1.5638	1.8044	1.5106	1.6925	1.8463	2.2463	1.9358	1.9135	2.1456	1.9554	-0.1623	0.0056	0.4056	0.3273	0.926	1.6085	0.7441	1.7036	-2.6128	-0.028
1.063	1.5106	1.2337	1.5162	1.8799	1.5218	1.6673	1.9582	2.3107	1.933	2.0309	2.1876	1.9526	-0.165	0.1091	0.5315	0.3497	0.8952	1.7008	0.7189	1.7932	-2.4645	-0.0308
1.0518	1.561	1.2169	1.4631	1.961	1.5582	1.6309	2.0785	2.361	1.919	2.1456	2.2687	1.9666	-0.1846	0.1986	0.6182	0.3721	0.8644	1.7848	0.677	1.8715	-2.2128	0.0084
0.9959	1.5246	1.1973	1.3707	2.0253	1.5582	1.5778	2.1372	2.389	1.8743	2.2296	2.3079	1.9582	-0.1818	0.221	0.6462	0.386	0.856	1.8491	0.6742	1.9638	-1.8883	-0.0028
0.9008	1.519	1.1358	1.2505	2.0114	1.5414	1.4994	2.21	2.417	1.8127	2.3051	2.3303	1.9386	-0.2014	0.193	0.621	0.3972	0.8085	1.8827	0.6322	2.0337	-1.5162	0.0308
0.7777	1.4575	1.077	1.1553	2.0309	1.5442	1.4239	2.2631	2.4422	1.7764	2.361	2.3387	1.9246	-0.193	0.1147	0.5567	0.3832	0.8029	1.9162	0.5875	2.0869	-1.0798	0.0643
0.6966	1.4127	1.0099	1.0574	2.0337	1.5078	1.368	2.3107	2.4338	1.7288	2.417	2.3527	1.9107	-0.1706	0.0448	0.4979	0.3497	0.7721	1.9526	0.5847	2.1037	-0.6462	0.0979
0.5399	1.3428	0.9288	0.9148	2.0086	1.4798	1.2868	2.3359	2.4282	1.6533	2.4757	2.3722	1.8743	-0.1678	-0.0532	0.3721	0.3273	0.7273	1.961	0.5287	2.1428	-0.2266	0.1315
0.428	1.2449	0.8336	0.8029	1.9778	1.4351	1.2085	2.3219	2.3974	1.6113	2.4813	2.3443	1.8239	-0.1455	-0.1595	0.2741	0.2965	0.6966	1.9302	0.5091	2.1205	0.1623	0.1706
0.3161	1.1777	0.7945	0.7161	1.9442	1.4323	1.1414	2.3303	2.4002	1.5554	2.4981	2.3443	1.7932	-0.1259	-0.2462	0.1902	0.2546	0.6378	1.9414	0.47	2.1512	0.4672	0.2042
0.221	1.0966	0.7329	0.6182	1.9246	1.3959	1.0966	2.3443	2.3834	1.519	2.5317	2.3443	1.7484	-0.1203	-0.3301	0.0923	0.2098	0.621	1.9023	0.4504	2.154	0.7161	0.2294
0.1371	1.049	0.7022	0.5399	1.9051	1.3819	1.049	2.3359	2.3806	1.4854	2.5149	2.3247	1.7288	-0.0923	-0.3777	0.0196	0.1762	0.5679	1.9051	0.4504	2.1121	0.9092	0.2462
0.0671	0.9903	0.6574	0.5035	1.8631	1.3596	0.9931	2.3079	2.3359	1.4015	2.4869	2.2883	1.6617	-0.0671	-0.4476	-0.042	0.1343	0.5455	1.8491	0.4252	2.0673	1.0434	0.2546
0.0336	0.9371	0.6154	0.4616	1.8295	1.326	0.9707	2.2771	2.3051	1.3931	2.4925	2.2827	1.6309	-0.0476	-0.4616	-0.0979	0.0923	0.4896	1.796	0.3832	2.017	1.1078	0.2741
-0.0028	0.8868	0.5987	0.4168	1.7904	1.3316	0.9595	2.2436	2.2827	1.354	2.4645	2.2491	1.6057	-0.0084	-0.47	-0.1567	0.0112	0.4588	1.7316	0.3693	1.947	1.1442	0.2714
-0.0364	0.8113	0.5931	0.4	1.712	1.3092	0.9176	2.1792	2.2156	1.3092	2.4226	2.224	1.5638	0.0196	-0.4951	-0.193	-0.0615	0.3972	1.6673	0.3301	1.8799	1.1078	0.2937
-0.0559	0.7749	0.5875	0.3916	1.6533	1.2896	0.9371	2.1317	2.1764	1.298	2.375	2.1792	1.5246	0.0895	-0.4672	-0.2238	-0.1706	0.3805	1.5862	0.3329	1.8099	1.0295	0.2853
-0.0336	0.691	0.5651	0.4168	1.5973	1.2337	0.9399	2.0617	2.14	1.2393	2.2995	2.1289	1.4826	0.1287	-0.4336	-0.263	-0.2574	0.3133	1.4966	0.2825	1.698	0.8728	0.3161
-0.0587	0.6266	0.5707	0.4504	1.4882	1.1973	0.926	1.975	2.0645	1.2169	2.2436	2.0757	1.4351	0.193	-0.414	-0.2769	-0.3749	0.3021	1.3987	0.263	1.5973	0.649	0.3077
-0.0224	0.5847	0.5707	0.484	1.4071	1.1945	0.9148	1.8883	2.0142	1.1833	2.1289	2.0114	1.3903	0.2434	-0.3581	-0.2909	-0.4896	0.2378	1.2868	0.221	1.4771	0.3805	0.2965
-0.0056	0.5147	0.5875	0.5119	1.3316	1.1553	0.9176	1.7848	1.947	1.1637	2.0617	1.975	1.3735	0.3105	-0.2881	-0.2741	-0.621	0.193	1.1889	0.1958	1.3512	0.0755	0.2993
