"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-1.7499	-0.8535	-2.2641	-1.4071	-1.1821	-2.5534	-1.6035	-1.0678	-2.6284	-2.1213	-1.1892	-2.5284	-2.507	-0.3214	-1.4356	-1.9463	0.6	-1.3428	0.0929	-0.5714	0.2964	-5.6389	-0.5
-1.6106	-0.7107	-2.1392	-1.3642	-1.0856	-2.4391	-1.532	-1.0071	-2.5606	-2.057	-1.1285	-2.482	-2.4534	-0.2928	-1.3106	-1.8142	0.5464	-1.3356	0.1	-0.5571	0.3464	-5.5818	-0.3821
-1.5356	-0.5607	-2.0606	-1.3713	-0.9964	-2.3534	-1.5285	-0.9428	-2.4927	-1.9927	-1.0464	-2.4106	-2.3677	-0.2821	-1.2321	-1.7213	0.5393	-1.2892	0.1143	-0.525	0.4071	-5.5068	-0.2821
-1.4213	-0.4178	-1.9927	-1.3928	-0.8857	-2.2856	-1.4928	-0.8535	-2.382	-1.9106	-0.9642	-2.3249	-2.3106	-0.2536	-1.1392	-1.6499	0.4964	-1.2214	0.15	-0.5214	0.4678	-5.3925	-0.175
-1.3249	-0.2786	-1.8927	-1.4106	-0.7964	-2.207	-1.4392	-0.7642	-2.2534	-1.7892	-0.8535	-2.2177	-2.2034	-0.2286	-1.0535	-1.532	0.4535	-1.1392	0.2178	-0.4785	0.5428	-5.2997	-0.1143
-1.2428	-0.2	-1.882	-1.4856	-0.6892	-2.1177	-1.4249	-0.6892	-2.1427	-1.7106	-0.775	-2.1142	-2.0963	-0.2464	-0.9571	-1.4356	0.45	-1.1071	0.2821	-0.4535	0.6	-5.1961	-0.0393
-1.1892	-0.0964	-1.782	-1.5428	-0.6	-2.007	-1.3713	-0.6107	-1.9892	-1.607	-0.6607	-1.9713	-1.9427	-0.225	-0.8642	-1.3035	0.4143	-1.0214	0.3321	-0.4107	0.7107	-5.0783	0.0179
-1.1178	-0.0107	-1.732	-1.5535	-0.5107	-1.8785	-1.3285	-0.4964	-1.8213	-1.4713	-0.5357	-1.7749	-1.7785	-0.1964	-0.75	-1.1999	0.3714	-0.9249	0.4143	-0.3321	0.7892	-4.9283	0.0536
-1.0642	0.0179	-1.6749	-1.6178	-0.4393	-1.7749	-1.2928	-0.3857	-1.632	-1.3213	-0.4143	-1.6428	-1.6213	-0.1893	-0.6357	-1.1035	0.3643	-0.8249	0.4964	-0.2857	0.8464	-4.7961	0.0607
-0.9964	0.0607	-1.6213	-1.632	-0.3643	-1.6499	-1.2249	-0.3071	-1.4856	-1.1964	-0.3178	-1.4678	-1.4713	-0.1928	-0.6071	-0.9749	0.3571	-0.7857	0.5535	-0.2571	0.9107	-4.6461	0.0679
-1.0071	0.0679	-1.5856	-1.6463	-0.3214	-1.5106	-1.1464	-0.2107	-1.2892	-1.0606	-0.1786	-1.2892	-1.3071	-0.175	-0.5071	-0.8642	0.35	-0.7321	0.625	-0.2357	0.9749	-4.5211	0.0464
-0.9821	0.0607	-1.557	-1.6535	-0.2714	-1.3713	-1.0821	-0.1321	-1.1142	-0.9607	-0.0821	-1.1499	-1.1464	-0.1821	-0.4214	-0.7285	0.3535	-0.7214	0.6785	-0.2107	1.0142	-4.3819	0.0286
-0.9821	0.0071	-1.5142	-1.6499	-0.2643	-1.2535	-1.0249	-0.1178	-0.9214	-0.8392	0.025	-0.9392	-1.0249	-0.175	-0.3821	-0.6071	0.325	-0.6892	0.75	-0.2036	1.0321	-4.2604	-0.0179
-0.9999	-0.0571	-1.507	-1.6285	-0.2678	-1.1499	-1.0071	-0.0857	-0.7678	-0.7571	0.0786	-0.7928	-0.9107	-0.1786	-0.3571	-0.5178	0.35	-0.7142	0.7785	-0.2178	1.0642	-4.1319	-0.0714
-0.9999	-0.1143	-1.4713	-1.6035	-0.2821	-1.0249	-0.9571	-0.0393	-0.6071	-0.6535	0.1678	-0.6535	-0.7785	-0.175	-0.3143	-0.4	0.3428	-0.7285	0.8249	-0.2393	1.0606	-3.9855	-0.1107
-1.0285	-0.2178	-1.4571	-1.5642	-0.3321	-0.9214	-0.9035	-0.0357	-0.4607	-0.5821	0.1857	-0.5107	-0.6821	-0.1786	-0.3143	-0.3036	0.3321	-0.7285	0.8499	-0.2428	1.0392	-3.8676	-0.1321
-1.0428	-0.3071	-1.4285	-1.4749	-0.3678	-0.8035	-0.8499	-0.0214	-0.3107	-0.475	0.2571	-0.3607	-0.5964	-0.1678	-0.3428	-0.2357	0.325	-0.7535	0.8642	-0.2393	1.0464	-3.7248	-0.1536
-1.0785	-0.4321	-1.4285	-1.3963	-0.4214	-0.7178	-0.7892	-0.05	-0.1714	-0.4214	0.3107	-0.2143	-0.5035	-0.1714	-0.3643	-0.2	0.3143	-0.7642	0.8714	-0.2786	1.0321	-3.5712	-0.1964
-1.0714	-0.525	-1.3928	-1.3142	-0.4857	-0.6285	-0.7178	-0.05	-0.0643	-0.3393	0.375	-0.0857	-0.3714	-0.1464	-0.4035	-0.125	0.275	-0.7607	0.8714	-0.2857	1.0178	-3.4248	-0.1786
-1.0821	-0.6464	-1.3749	-1.2214	-0.5535	-0.5428	-0.6714	-0.0571	0.0964	-0.2714	0.4107	0.0536	-0.3036	-0.1286	-0.4107	-0.1286	0.2464	-0.725	0.8714	-0.3071	0.9928	-3.2534	-0.1928
-1.0999	-0.7678	-1.3642	-1.1428	-0.6428	-0.4785	-0.6142	-0.0857	0.2107	-0.1893	0.425	0.1786	-0.2286	-0.1214	-0.4535	-0.1357	0.2357	-0.7071	0.8571	-0.3036	0.9464	-3.082	-0.175
-1.0964	-0.8571	-1.3356	-1.0571	-0.7035	-0.4464	-0.5821	-0.1286	0.3107	-0.1036	0.4857	0.3071	-0.0929	-0.1178	-0.4964	-0.175	0.2143	-0.6571	0.8285	-0.3214	0.9571	-2.882	-0.1643
