"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.5121	0.3698	0.586	0.2304	-0.1394	0.0939	-0.0256	-0.2276	0.074	-0.1508	-0.3954	0.1366	-0.0199	0.0825	0.2475	0.0114	-0.1593	-0.1166	-0.2105	0.091	-0.2646
0.5377	0.3869	0.569	0.2532	-0.1422	0.1081	-0.0085	-0.1991	0.0853	-0.1394	-0.3641	0.1479	0	0.091	0.3072	0.0341	-0.1935	-0.0996	-0.1821	0.0882	-0.2532
0.5064	0.404	0.5519	0.2617	-0.1024	0.1081	-0.0142	-0.1764	0.0797	-0.128	-0.3471	0.1508	0.0114	0.1053	0.3186	0.0455	-0.2048	-0.0996	-0.1735	0.091	-0.2418
0.4979	0.3954	0.5405	0.2589	-0.0967	0.1109	-0.0142	-0.1707	0.0797	-0.1166	-0.3442	0.165	0.0228	0.0967	0.3556	0.0768	-0.2162	-0.1053	-0.1764	0.0597	-0.202
0.4694	0.3727	0.5291	0.2674	-0.0797	0.091	-0.0171	-0.1451	0.074	-0.1195	-0.3186	0.165	0.0284	0.0967	0.3784	0.0654	-0.2191	-0.0967	-0.1792	0.0512	-0.1878
0.4438	0.3841	0.4865	0.2589	-0.074	0.0967	-0.037	-0.1223	0.0455	-0.1479	-0.293	0.165	0.0256	0.091	0.3698	0.0853	-0.202	-0.0825	-0.1792	0.0597	-0.1735
0.3841	0.3641	0.4296	0.2418	-0.0654	0.0654	-0.0626	-0.1195	0.0256	-0.1536	-0.3016	0.1508	0.0398	0.0797	0.4011	0.0853	-0.1906	-0.0996	-0.1764	0.0256	-0.1678
0.3328	0.3414	0.3755	0.2077	-0.0654	0.0313	-0.091	-0.128	-0.0199	-0.1707	-0.3101	0.1451	0.0455	0.0541	0.3641	0.0541	-0.1565	-0.1081	-0.1906	0.0256	-0.1707
0.2674	0.3186	0.3385	0.1792	-0.0569	0.0028	-0.1109	-0.128	-0.037	-0.202	-0.3044	0.1138	0.037	0.0484	0.3613	0.0427	-0.128	-0.0967	-0.2077	0.0171	-0.1593
0.202	0.2845	0.2902	0.1366	-0.0825	-0.0398	-0.1309	-0.1252	-0.0711	-0.2105	-0.2902	0.091	0.0228	0.0284	0.3129	0.0427	-0.0711	-0.1109	-0.2361	-0.0114	-0.1707
0.1422	0.2589	0.2503	0.0939	-0.0797	-0.074	-0.1565	-0.0853	-0.1053	-0.2134	-0.2873	0.0711	-0.0057	-0.0028	0.2845	0.0284	-0.0256	-0.1451	-0.2247	-0.0398	-0.1536
0.1223	0.239	0.2105	0.0683	-0.0882	-0.0768	-0.1593	-0.0711	-0.1109	-0.2447	-0.276	0.0597	0.0028	-0.0313	0.2361	0.0057	0.0341	-0.1536	-0.239	-0.0768	-0.1422
