"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.373	0.2131	0.6128	0.405	-0.0053	0.4183	0.3863	-0.1146	0.2478	0.0666	-0.2158	-0.0107	0.0719	0.2158	-0.1359	-0.1678	-0.3943	0.2051	-0.1678	0.2797	-0.4023
0.4103	0.2371	0.6341	0.4023	0.016	0.4529	0.3836	-0.0986	0.2718	0.0906	-0.2025	0.0107	0.1012	0.2345	-0.0639	-0.1599	-0.4529	0.2025	-0.1972	0.2984	-0.4209
0.4343	0.2238	0.6368	0.4023	-0.008	0.4503	0.3757	-0.0986	0.2664	0.0693	-0.2158	-0.0107	0.1012	0.2424	-0.04	-0.1545	-0.4689	0.2238	-0.2291	0.3011	-0.4316
0.4636	0.2291	0.6741	0.4396	0.032	0.4982	0.397	-0.0719	0.2957	0.1066	-0.1998	0.0027	0.1199	0.2744	0.0586	-0.0986	-0.5222	0.2531	-0.2451	0.2904	-0.4209
0.4982	0.2558	0.6874	0.4423	0.0346	0.5195	0.373	-0.0746	0.2931	0.1279	-0.2025	0.008	0.1226	0.2851	0.1146	-0.0879	-0.5462	0.2851	-0.2824	0.3144	-0.4263
0.4982	0.2424	0.6954	0.4316	0.0613	0.5249	0.3783	-0.0586	0.3011	0.1412	-0.1812	0.0107	0.1492	0.3011	0.1492	-0.0613	-0.5675	0.3091	-0.3064	0.3277	-0.405
0.5302	0.2638	0.7247	0.4556	0.0666	0.5302	0.3703	-0.0373	0.3197	0.1625	-0.1892	0.0186	0.1492	0.3117	0.2371	-0.024	-0.5995	0.3384	-0.3144	0.3437	-0.4236
0.5622	0.2877	0.746	0.4769	0.0826	0.5382	0.3783	-0.048	0.3011	0.1572	-0.1732	0.0027	0.1545	0.317	0.2744	0.0186	-0.5995	0.3384	-0.325	0.3277	-0.4289
0.6048	0.2984	0.7673	0.4929	0.1039	0.5488	0.373	-0.0213	0.3224	0.1758	-0.1519	0.0027	0.1572	0.3144	0.317	0.0373	-0.6154	0.3623	-0.3517	0.341	-0.4103
0.6048	0.3064	0.7753	0.4902	0.1066	0.5648	0.3783	-0.0293	0.3117	0.1599	-0.1678	-0.0186	0.1625	0.3064	0.3437	0.0586	-0.5888	0.349	-0.3623	0.3224	-0.4209
0.6581	0.3357	0.7806	0.5249	0.1279	0.5915	0.3703	-0.0213	0.3224	0.1758	-0.1519	-0.016	0.1705	0.3011	0.381	0.1172	-0.5781	0.3517	-0.3677	0.3037	-0.405
0.6607	0.325	0.7966	0.5089	0.1465	0.5861	0.3464	-0.032	0.3091	0.1519	-0.1892	-0.0346	0.1545	0.2851	0.4023	0.1385	-0.5382	0.3304	-0.3783	0.2771	-0.405
0.6447	0.3091	0.7966	0.4982	0.1412	0.5648	0.325	-0.032	0.3037	0.1439	-0.1812	-0.0559	0.1385	0.2531	0.381	0.1252	-0.4796	0.2851	-0.3783	0.2478	-0.3943
0.6527	0.3277	0.7833	0.4769	0.1545	0.5515	0.2691	-0.048	0.2877	0.1012	-0.1998	-0.1012	0.0879	0.2291	0.3996	0.1252	-0.4156	0.2584	-0.3703	0.2078	-0.389
0.6447	0.3437	0.7833	0.4876	0.1412	0.5515	0.2504	-0.0426	0.2744	0.0986	-0.1945	-0.1012	0.0826	0.1892	0.3836	0.1092	-0.3543	0.2105	-0.3677	0.1678	-0.3943
0.6208	0.3437	0.7513	0.4449	0.1519	0.5169	0.2238	-0.0373	0.2584	0.0693	-0.1945	-0.0986	0.0586	0.1519	0.3863	0.1332	-0.2771	0.1838	-0.3357	0.1172	-0.3757
0.6501	0.3543	0.746	0.4236	0.2025	0.5142	0.1732	-0.0213	0.2558	0.04	-0.1865	-0.1359	0.0373	0.1092	0.4023	0.1385	-0.2158	0.1545	-0.3011	0.0613	-0.3304
0.6154	0.3757	0.7353	0.3597	0.2105	0.5009	0.1439	-0.0213	0.2504	-0.0053	-0.1865	-0.1279	0.0027	0.0693	0.3916	0.1199	-0.1492	0.1012	-0.2877	-0.0027	-0.3304
0.6181	0.405	0.7167	0.349	0.1972	0.4849	0.1119	-0.0053	0.2291	-0.024	-0.1838	-0.1439	-0.0266	0.0346	0.3863	0.1332	-0.0746	0.048	-0.2664	-0.0639	-0.3304
0.6128	0.4236	0.6874	0.3144	0.2424	0.4503	0.0826	0.0053	0.2051	-0.0346	-0.1732	-0.1519	-0.0426	0.0027	0.397	0.1385	0.0053	0.0133	-0.2424	-0.1146	-0.2984
0.6261	0.4503	0.6741	0.2851	0.2638	0.4449	0.0613	0.0213	0.2291	-0.0426	-0.1465	-0.1332	-0.04	-0.0266	0.397	0.1545	0.0693	-0.0186	-0.2211	-0.1412	-0.2504
0.5968	0.4822	0.6634	0.2504	0.2824	0.4343	0.0293	0.0373	0.2265	-0.0613	-0.1385	-0.1252	-0.04	-0.0639	0.4156	0.1545	0.1359	-0.048	-0.2105	-0.1892	-0.2318
0.5648	0.4769	0.6208	0.2078	0.3011	0.3996	0.0027	0.0426	0.2211	-0.0559	-0.1252	-0.1199	-0.04	-0.0986	0.3996	0.1545	0.2105	-0.0826	-0.1838	-0.2291	-0.2158
0.5302	0.4849	0.5861	0.1812	0.325	0.389	0.0186	0.0879	0.2105	-0.0533	-0.0986	-0.0932	-0.0506	-0.1199	0.381	0.1572	0.2558	-0.1066	-0.1572	-0.2584	-0.1785
0.5302	0.5302	0.5648	0.1519	0.3623	0.389	0.024	0.1226	0.2371	-0.0373	-0.0453	-0.04	-0.024	-0.1359	0.4023	0.1652	0.2904	-0.1199	-0.1305	-0.2611	-0.1385
0.5222	0.5648	0.5302	0.1252	0.3996	0.3863	0.0027	0.1519	0.2345	-0.0186	-0.0133	-0.0293	-0.0133	-0.1519	0.413	0.1945	0.3304	-0.1465	-0.1172	-0.2984	-0.0932
0.4769	0.5675	0.4796	0.0986	0.4023	0.365	-0.008	0.1785	0.2558	-0.0186	0.0133	0.0186	-0.0027	-0.1652	0.3783	0.1678	0.3437	-0.1599	-0.1066	-0.3091	-0.0426
0.4396	0.5701	0.4236	0.0666	0.4343	0.349	0.0107	0.2025	0.2664	0.0027	0.0506	0.0559	0.04	-0.1625	0.389	0.1625	0.349	-0.1812	-0.0773	-0.3197	0.0053
0.3996	0.5755	0.389	0.048	0.4343	0.3437	0.032	0.2318	0.2744	0.0266	0.1039	0.1039	0.0746	-0.1652	0.3703	0.1678	0.3464	-0.1838	-0.048	-0.325	0.0373
0.365	0.5701	0.3517	0.016	0.4609	0.3464	0.0186	0.2771	0.3037	0.0426	0.1439	0.1465	0.0826	-0.1465	0.3384	0.1678	0.3224	-0.1758	-0.0213	-0.3117	0.1066
0.2824	0.5728	0.2877	-0.008	0.4476	0.325	0.0213	0.3117	0.3037	0.0613	0.1758	0.1785	0.1066	-0.1465	0.3011	0.1492	0.325	-0.1865	0.0107	-0.3197	0.1305
0.2078	0.5249	0.2158	-0.0693	0.4529	0.2851	0.016	0.3197	0.2984	0.0613	0.1918	0.2051	0.0959	-0.1492	0.2611	0.1066	0.3064	-0.2078	0.04	-0.341	0.1599
0.1678	0.5142	0.1732	-0.0586	0.4529	0.2797	0.04	0.3597	0.3091	0.0879	0.2424	0.2558	0.1519	-0.1332	0.2371	0.0879	0.2851	-0.1892	0.0746	-0.3197	0.2211
