"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.7055	0.6316	0.99	0.7738	0.5547	1.064	0.3072	0.6913	1.3883	0.2873	0.7169	1.3997	0.6287	-0.3414	-0.3556	0.3129	0.6742	-0.0484	0.2987	0.0967	0.3812	-0.6941	-0.1109
0.6429	0.5917	0.9274	0.7226	0.5946	1.0697	0.2959	0.7653	1.4509	0.2788	0.8136	1.4793	0.6543	-0.3186	-0.5946	0.2617	0.6202	-0.0228	0.3016	0.0996	0.4125	-0.5889	-0.1422
0.5917	0.5519	0.8961	0.6572	0.6116	1.0384	0.2845	0.8648	1.5106	0.293	0.9502	1.5675	0.697	-0.2959	-0.8648	0.1707	0.5775	-0.0114	0.3215	0.1366	0.4466	-0.5206	-0.1622
0.5547	0.4808	0.8335	0.6116	0.6486	1.027	0.276	0.9559	1.5419	0.3016	1.0298	1.6187	0.6913	-0.2731	-1.0924	0.0853	0.5434	-0.0057	0.2959	0.1479	0.4438	-0.5007	-0.1536
0.5121	0.4182	0.771	0.5434	0.6515	0.9815	0.256	1.0185	1.5761	0.2959	1.0924	1.6557	0.697	-0.2503	-1.2944	0.0484	0.495	0.0171	0.2902	0.1252	0.4979	-0.5377	-0.1565
0.4893	0.4011	0.697	0.5121	0.6856	0.9644	0.2361	1.0782	1.5874	0.3186	1.1977	1.7098	0.7197	-0.2247	-1.4623	-0.0028	0.4495	0.0398	0.2873	0.1223	0.5235	-0.5832	-0.1565
0.4808	0.367	0.6486	0.4694	0.7226	0.9217	0.2219	1.1237	1.5789	0.3186	1.2546	1.7496	0.6941	-0.2162	-1.5931	-0.0341	0.4097	0.0512	0.3016	0.1252	0.5178	-0.6885	-0.1451
0.4523	0.3613	0.5889	0.4296	0.697	0.8591	0.202	1.1635	1.5448	0.293	1.3086	1.7553	0.7084	-0.1935	-1.6756	-0.0398	0.3698	0.074	0.276	0.1223	0.5519	-0.788	-0.1252
0.4495	0.3328	0.5178	0.3784	0.7226	0.8051	0.1764	1.1948	1.5305	0.3016	1.3712	1.7695	0.7141	-0.165	-1.7325	-0.0484	0.3357	0.1081	0.276	0.1081	0.569	-0.9018	-0.1053
0.3869	0.2987	0.4381	0.3072	0.7027	0.7112	0.1422	1.2375	1.4537	0.2674	1.3798	1.7382	0.6885	-0.1479	-1.7154	-0.0455	0.3016	0.1195	0.2646	0.0569	0.5889	-1.0042	-0.0797
0.3414	0.276	0.3471	0.256	0.6685	0.6287	0.1024	1.2347	1.3911	0.2731	1.4111	1.7069	0.6742	-0.1451	-1.724	-0.0939	0.2816	0.1394	0.2959	0.0313	0.586	-1.1038	-0.0825
0.2731	0.2304	0.2532	0.1821	0.6458	0.5576	0.0398	1.2148	1.3029	0.239	1.4025	1.65	0.6429	-0.1366	-1.6358	-0.0711	0.2788	0.1536	0.3072	-0.0171	0.5832	-1.2091	-0.0768
0.2162	0.202	0.1337	0.1138	0.606	0.441	0.0142	1.2034	1.2119	0.2134	1.4224	1.6159	0.6401	-0.1337	-1.5362	-0.0654	0.256	0.1536	0.3414	-0.074	0.5804	-1.3115	-0.0825
0.1109	0.1508	0.0341	0.0171	0.5775	0.3272	-0.0484	1.1948	1.1123	0.2162	1.3968	1.5391	0.606	-0.1309	-1.4025	-0.1053	0.2475	0.1309	0.3385	-0.1309	0.5604	-1.3968	-0.0683
0.0114	0.1109	-0.0853	-0.074	0.5263	0.2105	-0.1166	1.1493	0.9758	0.1366	1.3513	1.4509	0.5661	-0.1223	-1.2688	-0.0996	0.2447	0.1366	0.3585	-0.1678	0.5092	-1.485	-0.0996
-0.0882	0.037	-0.2219	-0.2048	0.4125	0.0626	-0.2105	1.0782	0.8449	0.0939	1.3001	1.3428	0.5092	-0.1422	-1.0953	-0.1565	0.2589	0.1081	0.3215	-0.2333	0.4922	-1.5448	-0.1252
-0.1935	-0.0199	-0.3414	-0.3016	0.3499	-0.0455	-0.2617	1.027	0.7027	0.0683	1.2773	1.2631	0.5007	-0.1138	-0.9303	-0.1935	0.2276	0.1366	0.3357	-0.2333	0.4267	-1.5789	-0.1309
-0.2902	-0.0967	-0.4609	-0.4125	0.2731	-0.1792	-0.3414	0.9616	0.5917	0.0398	1.2261	1.1635	0.4609	-0.1053	-0.7311	-0.2674	0.2077	0.1195	0.2845	-0.2845	0.4011	-1.6017	-0.1451
-0.3983	-0.1536	-0.5747	-0.532	0.2134	-0.3016	-0.4182	0.9104	0.4694	0.0114	1.1664	1.0611	0.441	-0.0768	-0.5434	-0.3158	0.1593	0.1195	0.2475	-0.2873	0.3784	-1.5931	-0.1735
-0.495	-0.2219	-0.6998	-0.6316	0.1195	-0.4296	-0.4666	0.8307	0.3016	-0.0228	1.0953	0.9189	0.4068	-0.0569	-0.3528	-0.3727	0.1109	0.1337	0.1735	-0.3129	0.3215	-1.5704	-0.1935
-0.5946	-0.3442	-0.8506	-0.7681	0.0284	-0.5747	-0.5547	0.7397	0.1451	-0.0853	0.99	0.8108	0.3471	-0.0427	-0.1878	-0.441	0.0768	0.1479	0.0882	-0.3442	0.2589	-1.5334	-0.2191
-0.7283	-0.4324	-0.9701	-0.8848	-0.0455	-0.7027	-0.6202	0.6543	0.0114	-0.091	0.9018	0.6856	0.3499	0.0028	-0.0057	-0.5007	-0.0028	0.1593	0.0228	-0.3499	0.2219	-1.4679	-0.2304
-0.8307	-0.5348	-1.0867	-0.9957	-0.1707	-0.8079	-0.6941	0.5547	-0.1366	-0.1138	0.8307	0.5604	0.2987	0.0284	0.1081	-0.5491	-0.0569	0.165	-0.074	-0.3328	0.1337	-1.3968	-0.2333
-0.916	-0.6429	-1.2034	-1.1266	-0.2532	-0.936	-0.751	0.4381	-0.2987	-0.1337	0.7027	0.4182	0.2703	0.0541	0.2219	-0.5633	-0.1223	0.1735	-0.1849	-0.3101	0.0626	-1.3172	-0.2646
-1.0384	-0.7368	-1.3143	-1.2091	-0.3357	-1.064	-0.8193	0.3556	-0.4438	-0.1735	0.6202	0.2845	0.2276	0.0939	0.3272	-0.5576	-0.202	0.1935	-0.2646	-0.293	0.0512	-1.2091	-0.2845
-1.1351	-0.8222	-1.448	-1.3143	-0.4296	-1.155	-0.8677	0.2646	-0.5661	-0.1735	0.5206	0.165	0.1963	0.1366	0.3641	-0.6145	-0.276	0.202	-0.3926	-0.2247	0.0114	-1.0526	-0.3101
-1.2745	-0.9473	-1.5647	-1.4196	-0.5263	-1.266	-0.9331	0.1622	-0.7311	-0.2361	0.4239	0.0199	0.1593	0.1536	0.3926	-0.6458	-0.3272	0.2247	-0.4694	-0.1792	-0.0427	-0.899	-0.2816
-1.4025	-1.0355	-1.6443	-1.5362	-0.5832	-1.3371	-0.9872	0.0597	-0.8449	-0.2418	0.3101	-0.1337	0.1024	0.1906	0.3528	-0.7226	-0.3784	0.2247	-0.569	-0.1309	-0.0797	-0.697	-0.3016
-1.5305	-1.1522	-1.7297	-1.5846	-0.6685	-1.4111	-1.0099	-0.0171	-0.9985	-0.2731	0.2333	-0.256	0.0967	0.2191	0.33	-0.7567	-0.4438	0.2276	-0.6287	-0.0597	-0.1109	-0.4779	-0.3215
-1.6472	-1.2318	-1.8264	-1.6728	-0.7084	-1.5021	-1.0241	-0.0853	-1.0867	-0.293	0.1479	-0.3812	0.0427	0.2418	0.2788	-0.8279	-0.4808	0.2247	-0.6685	0.0142	-0.128	-0.2503	-0.33
-1.7354	-1.3058	-1.8918	-1.7439	-0.7567	-1.5334	-1.0583	-0.1252	-1.1977	-0.2788	0.0967	-0.5121	0.0284	0.256	0.2105	-0.8449	-0.5291	0.2418	-0.6856	0.0654	-0.1394	-0.0142	-0.3158
-1.8719	-1.3826	-1.9345	-1.7894	-0.8079	-1.6045	-1.0697	-0.2134	-1.283	-0.2902	0.0142	-0.606	-0.0057	0.2788	0.1024	-0.9104	-0.5747	0.2475	-0.6742	0.128	-0.128	0.2304	-0.3385
-1.9174	-1.4224	-1.9658	-1.7951	-0.8364	-1.6301	-1.0526	-0.256	-1.3428	-0.2873	-0.0455	-0.7141	-0.0256	0.2987	0.0256	-0.9445	-0.5889	0.2191	-0.6629	0.1935	-0.1422	0.4438	-0.3499
-2.0056	-1.4594	-1.9914	-1.8207	-0.8449	-1.6443	-1.0441	-0.2987	-1.3911	-0.3101	-0.1195	-0.8165	-0.0939	0.3016	-0.1166	-0.9502	-0.6173	0.2077	-0.623	0.1963	-0.1252	0.6856	-0.3499
-2.0341	-1.4679	-2.0198	-1.815	-0.8535	-1.6529	-1.0071	-0.3328	-1.4395	-0.2646	-0.1622	-0.8961	-0.1024	0.3101	-0.2134	-0.9445	-0.623	0.2134	-0.5604	0.2247	-0.1195	0.8705	-0.3585
-2.0625	-1.5078	-1.9999	-1.7837	-0.8478	-1.6358	-0.9786	-0.3471	-1.4879	-0.2674	-0.2134	-0.9957	-0.1366	0.3072	-0.3328	-0.9303	-0.623	0.1906	-0.5121	0.2503	-0.0996	1.0441	-0.3499
