"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.4249	-0.3488	-0.8655	-1.3375	-0.4878	-1.3061	-1.2825	-0.6084	-1.112	-1.2457	-0.6845	-0.9966	-1.1539	-0.3514	-0.0105	-0.5848	0.6871	-0.5167	0.0236	-1.0779	-0.3278	-0.9913	-0.8759
-0.3672	-0.3645	-0.8314	-1.3218	-0.4563	-1.3139	-1.272	-0.577	-1.1067	-1.2589	-0.6819	-0.9809	-1.1461	-0.3619	0.0525	-0.5324	0.7029	-0.5429	0.0367	-1.0962	-0.2859	-1.0726	-0.8786
-0.299	-0.32	-0.7842	-1.3244	-0.417	-1.2903	-1.2851	-0.5534	-1.1094	-1.251	-0.6688	-0.9651	-1.1775	-0.3698	0.0761	-0.4327	0.7107	-0.5822	0.097	-1.0936	-0.2623	-1.1435	-0.8891
-0.2334	-0.2623	-0.7186	-1.2825	-0.3777	-1.2457	-1.2589	-0.5271	-1.0753	-1.2379	-0.6137	-0.9336	-1.1566	-0.3488	0.1442	-0.2964	0.695	-0.5875	0.1862	-1.0648	-0.2282	-1.2248	-0.8917
-0.1757	-0.236	-0.6714	-1.2562	-0.3567	-1.1985	-1.2326	-0.5088	-1.0726	-1.2326	-0.6058	-0.9441	-1.1671	-0.3488	0.1731	-0.1757	0.6924	-0.5927	0.2282	-1.0018	-0.2124	-1.3061	-0.8759
-0.1023	-0.2098	-0.6452	-1.2326	-0.3121	-1.1644	-1.1907	-0.4642	-1.0333	-1.1959	-0.5612	-0.91	-1.1251	-0.3173	0.2124	-0.042	0.6452	-0.5822	0.2911	-0.9336	-0.1442	-1.3611	-0.8707
-0.0577	-0.1915	-0.5744	-1.2038	-0.2964	-1.1461	-1.1985	-0.4458	-1.0412	-1.1985	-0.5271	-0.8969	-1.1251	-0.3095	0.2439	0.0761	0.6058	-0.5481	0.32	-0.8445	-0.1023	-1.3847	-0.8497
-0.0525	-0.1783	-0.5429	-1.1933	-0.278	-1.1094	-1.1644	-0.438	-1.0071	-1.1959	-0.5219	-0.8733	-1.1225	-0.2911	0.2649	0.1259	0.5717	-0.5167	0.3357	-0.7737	-0.0525	-1.3742	-0.813
-0.0026	-0.1678	-0.5062	-1.1461	-0.2675	-1.0648	-1.133	-0.3986	-0.994	-1.1487	-0.5062	-0.8681	-1.1225	-0.2544	0.2885	0.1731	0.5193	-0.5219	0.3619	-0.7029	-0.0367	-1.3402	-0.7842
0.0184	-0.1626	-0.4563	-1.1356	-0.2701	-1.0202	-1.1067	-0.4065	-0.9756	-1.1146	-0.5062	-0.8733	-1.0962	-0.2255	0.3226	0.1783	0.459	-0.5219	0.3541	-0.6189	-0.021	-1.2982	-0.7606
0.0367	-0.1442	-0.4249	-1.0805	-0.2754	-0.9809	-1.0805	-0.3855	-0.9677	-1.112	-0.5009	-0.8445	-1.0753	-0.2019	0.3095	0.1206	0.4039	-0.4904	0.3383	-0.5534	-0.0131	-1.2274	-0.7265
0.0708	-0.1364	-0.4065	-1.0622	-0.2491	-0.9179	-1.0333	-0.3986	-0.9389	-1.07	-0.5088	-0.813	-1.07	-0.1757	0.3095	0.042	0.3357	-0.5088	0.2832	-0.514	-0.0157	-1.1697	-0.6793
0.1233	-0.1311	-0.3593	-1.0123	-0.2465	-0.8864	-0.9966	-0.3672	-0.9153	-1.0307	-0.5088	-0.8051	-1.0386	-0.1364	0.3147	-0.0341	0.2675	-0.4878	0.2255	-0.4537	0	-1.1618	-0.6504
0.181	-0.0944	-0.2964	-0.9546	-0.2439	-0.8156	-0.9468	-0.3934	-0.8838	-1.0018	-0.493	-0.7763	-1.0281	-0.1075	0.2596	-0.1259	0.2229	-0.5062	0.1442	-0.4275	-0.0184	-1.1697	-0.6084
0.2229	-0.0446	-0.2387	-0.9127	-0.2203	-0.7527	-0.9205	-0.3698	-0.8209	-0.952	-0.4957	-0.7579	-0.9782	-0.0865	0.2282	-0.2072	0.1652	-0.4773	0.0892	-0.3645	-0.0026	-1.2195	-0.5953
