"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-1.1494	-0.4525	-0.8137	-0.7699	-0.2664	-0.1168	-0.4269	-0.146	0.0547	0.146	0.0839	0.1277	0.3722	-0.4926	-1.2297	-1.642	1.0107	0.1897	-0.0547	0.0766	0.0985
-1.1713	-0.4269	-0.7991	-0.7553	-0.2116	-0.0839	-0.4196	-0.1168	0.0985	0.146	0.1022	0.1605	0.3795	-0.5656	-1.3391	-1.6967	1.1494	0.1533	-0.0109	0	0.1168
-1.164	-0.3868	-0.7954	-0.7663	-0.146	-0.0584	-0.4233	-0.0693	0.1314	0.1277	0.1131	0.1861	0.3722	-0.6349	-1.434	-1.7587	1.2698	0.1131	0.0219	-0.0474	0.1605
-1.1895	-0.3722	-0.7954	-0.7517	-0.1277	-0.0182	-0.4415	-0.0328	0.1642	0.1204	0.1642	0.2116	0.3722	-0.6896	-1.5143	-1.7916	1.3939	0.0255	0.062	-0.1095	0.208
-1.2297	-0.343	-0.7881	-0.7553	-0.0949	0.0036	-0.4306	-0.0146	0.1934	0.1277	0.1569	0.208	0.3685	-0.748	-1.5872	-1.8755	1.507	-0.0182	0.0693	-0.1824	0.208
-1.226	-0.2737	-0.7736	-0.7444	-0.0438	0.0547	-0.4342	0.0292	0.2299	0.1241	0.1751	0.2481	0.3393	-0.7954	-1.6237	-1.9047	1.6128	-0.0949	0.1168	-0.2445	0.2372
-1.2297	-0.2773	-0.7663	-0.7553	-0.0109	0.0803	-0.4525	0.0657	0.2481	0.0876	0.1788	0.2226	0.3065	-0.8465	-1.6529	-1.9448	1.7186	-0.1678	0.1569	-0.3102	0.2408
-1.2041	-0.2518	-0.7553	-0.7188	0.0073	0.0876	-0.4488	0.1095	0.2773	0.0693	0.2043	0.2481	0.2846	-0.8976	-1.6602	-1.9777	1.8098	-0.2335	0.1569	-0.3685	0.27
-1.2078	-0.2189	-0.7079	-0.7407	0.0438	0.0876	-0.4598	0.0912	0.2737	0.0438	0.197	0.2408	0.2445	-0.9341	-1.6858	-1.974	1.8792	-0.2737	0.1897	-0.4525	0.2992
-1.1494	-0.1605	-0.6568	-0.7152	0.0985	0.1642	-0.4415	0.1314	0.3284	0.0474	0.2518	0.2591	0.2627	-0.9523	-1.631	-1.9448	1.9302	-0.2956	0.208	-0.4561	0.3612
-1.0837	-0.1131	-0.5875	-0.6641	0.146	0.1861	-0.416	0.1715	0.3795	0.0511	0.27	0.2883	0.2372	-0.9961	-1.5654	-1.9266	1.9704	-0.343	0.2445	-0.5254	0.4123
-1.0217	-0.0876	-0.5181	-0.6276	0.1897	0.197	-0.416	0.2189	0.3795	0.0365	0.2992	0.2883	0.2554	-0.9925	-1.5252	-1.8536	2.0251	-0.3612	0.281	-0.54	0.4415
-0.9669	-0.0584	-0.4999	-0.5875	0.1934	0.208	-0.3904	0.2226	0.4014	0.0292	0.3065	0.2846	0.2116	-1.0363	-1.4267	-1.7806	2.0579	-0.3868	0.3138	-0.5729	0.4707
-0.883	-0.0073	-0.4087	-0.5364	0.2262	0.2737	-0.3612	0.2773	0.4342	0.0438	0.3612	0.343	0.2153	-1.0326	-1.3756	-1.6931	2.0835	-0.4014	0.343	-0.5911	0.5145
