"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.3936	0.5325	1.091	1.0823	1.0679	2.1444	1.7971	1.9302	3.218	2.5524	2.8823	4.2714	3.4901	0.4283	0.1997	-0.1678	-0.8132	2.4367	0.3096	1.3659	1.2617
0.3791	0.492	1.036	1.0447	1.0071	2.0663	1.7971	1.8608	3.2036	2.5843	2.8505	4.2859	3.545	0.4399	0.1505	-0.1389	-0.8479	2.4569	0.2113	1.5135	1.2068
0.3299	0.4775	0.9376	0.9752	0.955	1.9794	1.7798	1.8	3.137	2.6045	2.7753	4.2569	3.5421	0.4717	0.1071	-0.1129	-0.9232	2.5148	0.0984	1.6235	1.1836
0.2576	0.3733	0.8132	0.9087	0.8624	1.8724	1.7363	1.7074	3.0733	2.6277	2.6769	4.1991	3.5277	0.492	0.026	-0.0839	-0.9695	2.5611	-0.0116	1.6871	1.1547
0.1881	0.327	0.6888	0.8103	0.7871	1.7335	1.6987	1.6148	2.9691	2.5814	2.5929	4.1065	3.4872	0.5238	-0.0608	-0.081	-1.0331	2.5756	-0.1187	1.7566	1.0794
0.1071	0.2431	0.5614	0.6859	0.6424	1.609	1.6206	1.5309	2.8505	2.5409	2.4917	4.011	3.4322	0.5556	-0.1505	-0.1187	-1.091	2.5553	-0.2113	1.7624	1.0244
0.0145	0.1592	0.4167	0.5904	0.573	1.4498	1.4962	1.4151	2.7	2.4917	2.347	3.8576	3.328	0.5759	-0.2489	-0.136	-1.1402	2.5409	-0.2981	1.7508	0.9724
-0.0984	0.0695	0.2489	0.4804	0.4428	1.2473	1.3949	1.2617	2.5235	2.4048	2.1907	3.6782	3.2065	0.5875	-0.3531	-0.165	-1.172	2.4656	-0.356	1.7045	0.9289
-0.2315	-0.026	0.0608	0.3502	0.3299	1.0592	1.2762	1.1315	2.3267	2.292	2.0228	3.4756	3.0299	0.599	-0.4659	-0.2402	-1.2039	2.3875	-0.382	1.6466	0.8711
-0.3704	-0.1447	-0.1302	0.2286	0.1939	0.8682	1.1547	1.0013	2.1357	2.1762	1.8781	3.2875	2.8881	0.6309	-0.5933	-0.272	-1.2386	2.3064	-0.4399	1.5656	0.7814
