"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
2.2515	1.4267	2.4396	2.4251	0.9145	1.8781	2.2978	0.5904	1.5396	1.8	0.3878	1.0563	1.3109	0.7842	1.2386	1.4614	-1.5511	0.4341	-0.7929	0.9029	-0.5672
2.1589	1.3688	2.3036	2.3643	0.8855	1.8058	2.2746	0.5701	1.4875	1.7826	0.382	0.9781	1.2791	0.819	1.1807	1.3543	-1.6003	0.4167	-0.8219	0.8132	-0.5817
2.046	1.3109	2.1849	2.3064	0.8479	1.6871	2.2167	0.5469	1.3746	1.7277	0.3473	0.9087	1.227	0.8132	1.0621	1.2444	-1.6148	0.3936	-0.8624	0.7524	-0.5788
1.9216	1.2704	2.0315	2.2052	0.8277	1.6032	2.1675	0.5151	1.3196	1.7103	0.3357	0.8334	1.1894	0.8161	0.9724	1.1055	-1.6322	0.3762	-0.9	0.6656	-0.5759
1.774	1.1605	1.8608	2.1444	0.7466	1.4875	2.0836	0.4746	1.2068	1.6466	0.2807	0.7379	1.1373	0.8277	0.8421	0.9926	-1.6264	0.3328	-0.9608	0.5788	-0.6077
1.6408	1.0621	1.6958	2.0286	0.6945	1.3399	2.0113	0.4341	1.0968	1.6061	0.2518	0.6482	1.0881	0.8161	0.7032	0.8392	-1.6235	0.3154	-0.9724	0.5006	-0.5759
1.4614	0.9376	1.5048	1.881	0.6685	1.1865	1.9273	0.3878	0.9752	1.5222	0.191	0.5498	1.0071	0.7987	0.5643	0.7003	-1.5685	0.2836	-0.9897	0.4196	-0.5643
1.3341	0.8479	1.3457	1.7855	0.5933	1.0563	1.8579	0.382	0.8682	1.4817	0.1939	0.4833	0.9781	0.7814	0.4283	0.5875	-1.5193	0.2605	-0.9897	0.382	-0.5412
1.146	0.709	1.1807	1.6408	0.5412	0.9405	1.7624	0.3531	0.7842	1.4325	0.1678	0.3994	0.9261	0.7437	0.2749	0.4341	-1.4383	0.2431	-0.9984	0.3646	-0.5064
0.9984	0.6048	0.9926	1.528	0.4688	0.7871	1.6756	0.3241	0.6656	1.3572	0.1534	0.327	0.8624	0.6801	0.1215	0.3068	-1.3341	0.1939	-1.0129	0.3502	-0.492
0.8306	0.4978	0.8653	1.3833	0.4543	0.6945	1.5859	0.301	0.5701	1.3138	0.1331	0.2402	0.8248	0.6453	0.0174	0.2113	-1.2531	0.1794	-0.9666	0.3444	-0.437
0.7148	0.4254	0.6801	1.2386	0.3733	0.5556	1.4962	0.3039	0.463	1.2617	0.1013	0.1968	0.7727	0.5759	-0.1042	0.0695	-1.1257	0.1563	-0.9289	0.3386	-0.3994
0.5585	0.2952	0.5267	1.0534	0.3299	0.4341	1.3543	0.2489	0.3762	1.1778	0.0984	0.0926	0.7379	0.5209	-0.2286	-0.0463	-0.9984	0.1621	-0.8711	0.3415	-0.3588
