"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.0145	1.308	0.6627	0.9579	1.7219	1.5019	1.4209	1.6611	2.1994	1.8174	1.1142	2.2023	1.8087	-0.3994	-0.1129	-0.4949	0.7929	0.5556	1.1576	0.5238	0.4514
0.0463	1.3052	0.6945	0.9724	1.7566	1.4962	1.4354	1.6785	2.1849	1.8029	1.1084	2.1646	1.7595	-0.4341	-0.0666	-0.4543	0.8624	0.5151	1.1923	0.5354	0.4688
0.1071	1.3428	0.7061	1.0447	1.7566	1.5077	1.4527	1.6843	2.1704	1.774	1.0997	2.127	1.719	-0.4688	-0.0723	-0.4196	0.9203	0.4746	1.1807	0.5238	0.4949
0.1534	1.337	0.7495	1.0823	1.7798	1.5048	1.4614	1.6871	2.1299	1.7219	1.0852	2.0634	1.6495	-0.4862	-0.0116	-0.3415	0.9579	0.4109	1.1923	0.5296	0.5383
0.2055	1.363	0.764	1.1026	1.7624	1.5077	1.4209	1.664	2.101	1.6698	1.0534	1.9968	1.583	-0.5006	0.0203	-0.2952	0.9897	0.3617	1.1923	0.4978	0.5296
0.246	1.3457	0.7495	1.1026	1.7508	1.4759	1.4064	1.6322	2.0373	1.5714	1.036	1.9216	1.4962	-0.5064	0.0752	-0.246	1.0071	0.3125	1.1749	0.4833	0.5527
0.3154	1.3254	0.764	1.1199	1.7045	1.4556	1.3399	1.583	1.9621	1.5077	1.0013	1.8318	1.3891	-0.518	0.0839	-0.2199	1.0187	0.2605	1.1402	0.463	0.5498
0.3473	1.2994	0.7727	1.1257	1.6466	1.3833	1.3196	1.5309	1.9071	1.4325	0.9405	1.7306	1.308	-0.518	0.1158	-0.1592	1.0244	0.1968	1.0939	0.4399	0.5383
0.4167	1.2907	0.8161	1.1084	1.6003	1.3746	1.282	1.4788	1.8087	1.3341	0.8797	1.6119	1.2068	-0.5122	0.1534	-0.1447	1.0071	0.1244	1.0765	0.4023	0.5006
0.4833	1.2704	0.8248	1.1286	1.5685	1.3399	1.2386	1.4296	1.7306	1.2733	0.8508	1.5193	1.1084	-0.4891	0.165	-0.0926	0.9752	0.0868	1.0215	0.3878	0.4891
0.518	1.2415	0.8508	1.0997	1.5164	1.3138	1.1691	1.3399	1.6351	1.1547	0.7958	1.418	1.0158	-0.4746	0.1707	-0.0608	0.9492	0.0232	0.9637	0.3849	0.4688
0.5817	1.227	0.8797	1.0997	1.473	1.2704	1.1026	1.2849	1.5396	1.0939	0.7553	1.3109	0.9174	-0.4659	0.1621	-0.0058	0.9203	-0.0347	0.9261	0.3241	0.437
0.6222	1.172	0.8769	1.0736	1.3572	1.2328	1.036	1.2212	1.4354	0.9666	0.6916	1.1923	0.8219	-0.4601	0.1736	0.0289	0.9029	-0.055	0.8537	0.2981	0.4254
0.683	1.1402	0.9	1.0447	1.3109	1.1807	0.981	1.1576	1.3109	0.8711	0.6309	1.1199	0.7408	-0.4312	0.1765	0.0695	0.8595	-0.11	0.8392	0.272	0.3849
0.7351	1.117	0.9261	1.0187	1.2241	1.1431	0.9145	1.0939	1.227	0.7871	0.6193	1.0129	0.6482	-0.4138	0.1736	0.1563	0.8161	-0.1418	0.7698	0.2489	0.3704
0.7756	1.0389	0.9203	0.9839	1.1402	1.1055	0.8334	1.0013	1.1084	0.6743	0.5527	0.9174	0.5527	-0.3936	0.165	0.191	0.7842	-0.1707	0.7379	0.2055	0.3733
0.8016	1.0331	0.9261	0.9174	1.0592	1.0534	0.7553	0.9203	1.0129	0.5672	0.5122	0.8248	0.4543	-0.3791	0.1534	0.2605	0.7611	-0.1968	0.6627	0.1736	0.3531
0.8508	0.9926	0.9347	0.8711	0.9695	1.0158	0.6916	0.8566	0.9203	0.492	0.5006	0.7351	0.3849	-0.3531	0.1389	0.2778	0.7061	-0.1997	0.654	0.1736	0.3704
0.8508	0.9289	0.9521	0.8045	0.9	0.9376	0.6048	0.7842	0.8074	0.3994	0.4341	0.6164	0.272	-0.3588	0.1302	0.3039	0.6888	-0.2315	0.628	0.1389	0.3762
0.8392	0.8913	0.9058	0.7379	0.7814	0.8855	0.5035	0.6772	0.6772	0.2807	0.3994	0.5238	0.165	-0.3328	0.0781	0.3212	0.654	-0.2489	0.5643	0.1042	0.382
0.8479	0.8306	0.8855	0.6338	0.6974	0.8074	0.4167	0.599	0.5585	0.165	0.3762	0.4225	0.0839	-0.3154	0.0608	0.3154	0.6338	-0.2547	0.5441	0.0521	0.3646
