"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.0525	-0.4511	-0.1469	0.3602	-1.4582	-0.6749	0.1259	-1.2973	-1.5701	-0.6609	-0.9197	-1.8463	-1.3183	0.2028	0.556	0.1119	-0.4091	-1.2309	-1.091	-0.6189	-0.6154
-0.0979	-0.4511	-0.1748	0.2728	-1.4652	-0.7238	0.0629	-1.3288	-1.6225	-0.6784	-0.9581	-1.9023	-1.3148	0.2238	0.542	0.0909	-0.4511	-1.1679	-1.049	-0.5035	-0.6294
-0.1434	-0.4651	-0.2658	0.1993	-1.4617	-0.8322	0.0035	-1.4022	-1.696	-0.7378	-1.0316	-2.0002	-1.3463	0.2238	0.4756	0.0629	-0.4581	-1.133	-1.084	-0.4441	-0.6434
-0.1783	-0.4826	-0.3077	0.1783	-1.5036	-0.9197	-0.042	-1.4512	-1.7239	-0.7448	-1.1295	-2.0421	-1.3323	0.2483	0.4616	0.0629	-0.4791	-1.0351	-1.084	-0.3427	-0.6679
-0.2028	-0.4616	-0.3672	0.1574	-1.5106	-0.9896	-0.0699	-1.5106	-1.7484	-0.7553	-1.2169	-2.0876	-1.3043	0.2448	0.4371	0.0594	-0.5175	-0.9476	-1.084	-0.2098	-0.7133
-0.2308	-0.4651	-0.4161	0.1049	-1.5491	-1.091	-0.1259	-1.591	-1.7869	-0.7553	-1.3253	-2.1331	-1.2763	0.2832	0.3916	0.0455	-0.549	-0.8602	-1.091	-0.0804	-0.7518
-0.2658	-0.4581	-0.4861	0.0594	-1.5806	-1.1574	-0.1434	-1.6715	-1.8323	-0.7763	-1.4092	-2.147	-1.2204	0.2902	0.3532	0.0455	-0.563	-0.7903	-1.112	0.007	-0.7588
-0.2693	-0.4861	-0.5805	0.0245	-1.619	-1.2414	-0.2063	-1.7414	-1.8708	-0.7728	-1.5106	-2.175	-1.2064	0.2867	0.2832	0.0769	-0.5805	-0.6889	-1.1365	0.1084	-0.8008
-0.2797	-0.4965	-0.6015	-0.014	-1.668	-1.3218	-0.2623	-1.7974	-1.8848	-0.7798	-1.5701	-2.161	-1.1609	0.2972	0.2308	0.0664	-0.584	-0.584	-1.1714	0.2203	-0.8322
-0.2867	-0.4826	-0.6364	-0.042	-1.682	-1.3882	-0.2937	-1.8568	-1.8883	-0.7553	-1.619	-2.161	-1.1015	0.2937	0.1748	0.0874	-0.6049	-0.4721	-1.1435	0.3322	-0.8287
-0.3007	-0.4756	-0.6924	-0.0664	-1.7099	-1.4652	-0.3287	-1.9058	-1.8883	-0.7343	-1.6855	-2.1435	-1.0281	0.2972	0.1469	0.1154	-0.6154	-0.3846	-1.1924	0.4511	-0.8637
-0.3112	-0.4791	-0.7483	-0.0909	-1.7589	-1.5526	-0.3672	-1.9512	-1.9197	-0.7413	-1.7064	-2.1121	-0.9616	0.3042	0.0385	0.1189	-0.598	-0.3042	-1.1854	0.5525	-0.8812
-0.2902	-0.4756	-0.7763	-0.1224	-1.7834	-1.626	-0.3777	-2.0037	-1.8848	-0.7099	-1.7414	-2.0316	-0.8567	0.3007	0.0035	0.1329	-0.6119	-0.1923	-1.1924	0.6329	-0.8882
-0.3147	-0.5245	-0.8183	-0.1469	-1.8253	-1.696	-0.4441	-2.0526	-1.8848	-0.6924	-1.7869	-1.9827	-0.7938	0.2937	-0.0699	0.1084	-0.591	-0.1119	-1.1749	0.7099	-0.8847
-0.3497	-0.5595	-0.8812	-0.2238	-1.8463	-1.7414	-0.5175	-2.0806	-1.8743	-0.6889	-1.8044	-1.9302	-0.7518	0.2728	-0.1853	0.0245	-0.5525	-0.0315	-1.1924	0.7588	-0.8952
-0.3672	-0.5945	-0.9267	-0.2518	-1.8813	-1.7904	-0.5315	-2.0771	-1.8253	-0.6539	-1.8078	-1.8288	-0.6469	0.2728	-0.2623	-0.014	-0.556	0.0664	-1.1854	0.8043	-0.8742
-0.4161	-0.6329	-0.9546	-0.3147	-1.9058	-1.8183	-0.591	-2.0561	-1.7729	-0.6399	-1.7729	-1.7169	-0.5455	0.2658	-0.4161	-0.1364	-0.5455	0.1539	-1.1574	0.8637	-0.8462
-0.4651	-0.6819	-1.0036	-0.3881	-1.9232	-1.8673	-0.6469	-2.0631	-1.7589	-0.6189	-1.7379	-1.6085	-0.4861	0.2588	-0.5595	-0.2832	-0.5315	0.2413	-1.1504	0.9092	-0.8462
-0.4791	-0.7168	-1.0525	-0.4336	-1.9477	-1.9023	-0.7168	-2.0177	-1.6575	-0.6084	-1.689	-1.4861	-0.3637	0.2588	-0.7064	-0.4476	-0.535	0.3357	-1.126	0.9406	-0.8113
-0.5245	-0.7903	-1.0875	-0.4965	-1.9792	-1.9128	-0.7518	-2.0072	-1.6085	-0.5945	-1.647	-1.3533	-0.2832	0.2623	-0.8532	-0.598	-0.5175	0.4056	-1.1085	0.9441	-0.7623
-0.5875	-0.8602	-1.1155	-0.542	-1.9792	-1.9128	-0.7973	-1.9862	-1.5246	-0.5665	-1.619	-1.2064	-0.2203	0.2623	-0.9267	-0.7238	-0.528	0.4651	-1.0665	0.9791	-0.7483
-0.6294	-0.9162	-1.1784	-0.6049	-1.9827	-1.9093	-0.8322	-1.9372	-1.4407	-0.5455	-1.5351	-1.0665	-0.1294	0.2588	-1.063	-0.8987	-0.528	0.5455	-1.0455	0.9931	-0.7308
