"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.0034	0.6445	-0.2887	-0.8124	0.0034	-0.4263	-0.4767	-0.094	-0.5438	-0.6915	-0.047	-0.6479	-0.1141	0.2954	0.1276	0.4028	-0.5908	0.5136	-0.1611	0.0739	-0.0034
0.0034	0.7352	-0.2719	-0.8459	0.1578	-0.3928	-0.4901	-0.0168	-0.527	-0.6311	-0.0302	-0.6479	-0.0739	0.3256	0.1074	0.3323	-0.6479	0.5438	-0.3659	0.0974	0.0839
-0.0101	0.7419	-0.2451	-0.9131	0.2753	-0.3726	-0.4935	0.0369	-0.5069	-0.5774	-0.0336	-0.658	-0.0604	0.3659	0.1108	0.2551	-0.7217	0.5573	-0.5606	0.094	0.1544
-0.0034	0.715	-0.2518	-1.0037	0.3323	-0.3592	-0.5472	0.0705	-0.517	-0.5707	-0.0604	-0.705	-0.0638	0.3827	0.0839	0.1611	-0.7721	0.5774	-0.7553	0.0739	0.2014
-0.0302	0.621	-0.2719	-1.1414	0.3625	-0.3592	-0.621	0.0839	-0.5304	-0.5472	-0.0806	-0.7251	-0.0873	0.3961	0.0537	0.1175	-0.7822	0.5707	-0.9366	0.0671	0.2652
-0.0671	0.4868	-0.3156	-1.2958	0.3156	-0.3928	-0.715	0.0705	-0.5505	-0.5673	-0.1611	-0.762	-0.0974	0.3894	0.0168	0.0504	-0.7587	0.5371	-1.0977	0.0436	0.2954
-0.1108	0.2786	-0.3391	-1.3696	0.2451	-0.4129	-0.7654	0.0638	-0.5673	-0.5438	-0.1746	-0.7922	-0.1376	0.3726	0.0067	0.0067	-0.7285	0.5069	-1.1783	0.0537	0.3726
-0.1074	0.0705	-0.3693	-1.4166	0.1678	-0.4398	-0.7822	0.0436	-0.5707	-0.5304	-0.2115	-0.8057	-0.1242	0.3323	-0.0302	-0.0302	-0.6479	0.4968	-1.2354	0.0571	0.4297
-0.1343	-0.1645	-0.3793	-1.373	0.1108	-0.4364	-0.7553	0.0604	-0.5841	-0.5002	-0.2518	-0.7855	-0.1242	0.2853	0.0101	-0.0436	-0.5673	0.4868	-1.2354	0.0403	0.5136
-0.1376	-0.3592	-0.3793	-1.2991	0.0537	-0.4196	-0.7117	0.0974	-0.5573	-0.4901	-0.2853	-0.7687	-0.1343	0.235	-0.0134	-0.094	-0.4599	0.4364	-1.1749	0.0537	0.5707
-0.1276	-0.5203	-0.376	-1.1447	0.0034	-0.3961	-0.6647	0.1376	-0.5304	-0.4666	-0.2585	-0.7553	-0.1074	0.2014	-0.0134	-0.0705	-0.3625	0.4062	-1.0272	0.0739	0.6613
-0.1041	-0.6815	-0.3693	-0.9869	-0.0705	-0.386	-0.5807	0.1511	-0.5103	-0.4532	-0.282	-0.7184	-0.1007	0.1175	-0.0168	-0.0772	-0.2417	0.3827	-0.8527	0.0235	0.7318
