"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-1.9825	-2.0902	-2.201	-2.011	-2.0997	-2.3214	-1.8305	-2.1693	-2.619	-1.9508	-2.2168	-2.3499	-1.3048	0.3135	-1.9382	-1.9825	-0.6207	-0.1362	-1.5265	-0.5352	-0.9944
-1.9572	-2.0047	-2.1092	-1.9793	-2.0173	-2.1978	-1.7576	-2.0743	-2.4987	-1.8431	-2.1345	-2.2675	-1.2256	0.3167	-1.9793	-1.9572	-0.6239	-0.0887	-1.5043	-0.4465	-0.9152
-1.8938	-1.935	-2.011	-1.9318	-1.9287	-2.1028	-1.6785	-1.9983	-2.3467	-1.7165	-2.0712	-2.1377	-1.1306	0.3167	-1.9888	-1.9382	-0.6334	0.0127	-1.4663	-0.4212	-0.8582
-1.859	-1.8938	-1.9635	-1.8843	-1.8558	-2.0078	-1.6088	-1.9255	-2.2358	-1.5993	-1.9793	-2.0585	-1.0641	0.304	-1.9983	-1.935	-0.608	0.057	-1.4504	-0.399	-0.8202
-1.8273	-1.8336	-1.9192	-1.8431	-1.7988	-1.9287	-1.5581	-1.859	-2.1472	-1.5455	-1.9192	-1.992	-1.0229	0.304	-2.0522	-1.9603	-0.5954	0.1013	-1.4124	-0.3674	-0.7981
-1.7861	-1.783	-1.8526	-1.7766	-1.7608	-1.8463	-1.4885	-1.7766	-2.03	-1.4409	-1.8336	-1.9223	-0.9406	0.2819	-2.087	-2.0015	-0.57	0.1362	-1.3903	-0.3325	-0.7221
-1.8083	-1.7386	-1.8178	-1.7323	-1.7323	-1.802	-1.4219	-1.745	-1.9445	-1.3554	-1.7798	-1.8653	-0.9152	0.2755	-2.1155	-2.0933	-0.5479	0.1742	-1.3776	-0.342	-0.6809
-1.7956	-1.7355	-1.802	-1.6816	-1.7038	-1.7386	-1.3966	-1.7165	-1.8748	-1.2889	-1.7165	-1.783	-0.9026	0.2597	-2.1567	-2.163	-0.5099	0.1932	-1.3491	-0.3325	-0.6429
-1.7861	-1.688	-1.783	-1.6056	-1.669	-1.6943	-1.3269	-1.6626	-1.7766	-1.2288	-1.669	-1.7481	-0.8772	0.2407	-2.1503	-2.2073	-0.4782	0.2027	-1.3079	-0.3452	-0.6017
-1.7893	-1.669	-1.7576	-1.5518	-1.65	-1.669	-1.2699	-1.612	-1.7101	-1.1749	-1.5993	-1.688	-0.8741	0.2154	-2.1883	-2.2865	-0.4402	0.1805	-1.2668	-0.342	-0.5289
-1.7766	-1.6341	-1.7513	-1.479	-1.6405	-1.6246	-1.2161	-1.5803	-1.6436	-1.1021	-1.5391	-1.6468	-0.8741	0.2058	-2.1852	-2.3404	-0.4117	0.1615	-1.2351	-0.3389	-0.4845
-1.7925	-1.612	-1.7133	-1.4219	-1.6151	-1.5708	-1.1781	-1.536	-1.5455	-1.0609	-1.4885	-1.5961	-0.8614	0.1837	-2.1947	-2.4259	-0.3769	0.1552	-1.1876	-0.3389	-0.4244
-1.7608	-1.5771	-1.6975	-1.3586	-1.6025	-1.5486	-1.1021	-1.4631	-1.4314	-1.0007	-1.3966	-1.5233	-0.8551	0.1773	-2.1662	-2.4829	-0.3579	0.1298	-1.1084	-0.3294	-0.361
-1.707	-1.5391	-1.65	-1.2889	-1.5645	-1.498	-1.0799	-1.4093	-1.3808	-0.9216	-1.2921	-1.4536	-0.8361	0.1615	-2.1408	-2.5209	-0.3484	0.1267	-1.0546	-0.3262	-0.2597
-1.7165	-1.5138	-1.6468	-1.2288	-1.5201	-1.4758	-1.0419	-1.3428	-1.2921	-0.8519	-1.2098	-1.3871	-0.8329	0.152	-2.0933	-2.5367	-0.3452	0.1077	-0.9786	-0.2819	-0.1805
-1.6595	-1.4536	-1.6278	-1.1813	-1.4916	-1.4346	-0.9596	-1.2699	-1.1908	-0.7791	-1.0989	-1.2921	-0.7981	0.1583	-2.0522	-2.5557	-0.342	0.1298	-0.9184	-0.2629	-0.1425
-1.6151	-1.4378	-1.6056	-1.1021	-1.4473	-1.3966	-0.8772	-1.1844	-1.0768	-0.6904	-1.0039	-1.2034	-0.7474	0.1742	-2.011	-2.543	-0.3547	0.1488	-0.8519	-0.1868	-0.0127
-1.5518	-1.3618	-1.5708	-1.0482	-1.4124	-1.3174	-0.8266	-1.1211	-1.0007	-0.5954	-0.8741	-1.0958	-0.7062	0.1773	-1.9223	-2.505	-0.3737	0.1615	-0.7664	-0.1678	0.0633
-1.5075	-1.3301	-1.536	-0.9786	-1.3459	-1.2636	-0.7664	-1.0356	-0.8867	-0.5352	-0.7727	-0.9976	-0.6682	0.1995	-1.84	-2.4354	-0.3927	0.1963	-0.7031	-0.0823	0.1425
-1.4314	-1.2889	-1.4948	-0.9374	-1.3174	-1.2034	-0.7189	-0.9627	-0.7886	-0.4624	-0.6587	-0.9057	-0.6239	0.1995	-1.7481	-2.3309	-0.4022	0.2122	-0.6207	-0.038	0.2122
-1.3998	-1.2794	-1.4821	-0.8804	-1.3111	-1.1654	-0.6492	-0.8677	-0.7316	-0.4022	-0.5827	-0.8107	-0.57	0.1963	-1.6785	-2.2643	-0.4149	0.2312	-0.5795	0.0158	0.2914
-1.3523	-1.2699	-1.479	-0.8551	-1.2794	-1.1686	-0.6175	-0.8519	-0.6651	-0.3325	-0.5067	-0.7506	-0.5574	0.2249	-1.5613	-2.1187	-0.4339	0.2439	-0.5257	0.0823	0.3547
-1.2763	-1.2319	-1.4156	-0.8171	-1.2478	-1.1179	-0.5574	-0.7791	-0.5764	-0.2565	-0.418	-0.6777	-0.513	0.228	-1.4726	-1.9667	-0.4497	0.2534	-0.5004	0.1298	0.3705
-1.2319	-1.1939	-1.4093	-0.7791	-1.2319	-1.0958	-0.5099	-0.7791	-0.5384	-0.2249	-0.3737	-0.6366	-0.513	0.2217	-1.3396	-1.8368	-0.4592	0.2565	-0.4624	0.1678	0.4117
-1.1939	-1.1908	-1.3934	-0.7442	-1.2351	-1.0514	-0.4814	-0.7221	-0.5067	-0.1647	-0.3072	-0.5859	-0.4877	0.2344	-1.2478	-1.688	-0.456	0.2534	-0.456	0.228	0.4149
-1.1433	-1.1749	-1.3776	-0.7316	-1.2256	-1.0451	-0.418	-0.6936	-0.4845	-0.1488	-0.2755	-0.5447	-0.494	0.2185	-1.1781	-1.5613	-0.4529	0.2154	-0.4497	0.2217	0.4054
-1.0736	-1.1401	-1.3301	-0.6904	-1.2003	-0.9881	-0.38	-0.6682	-0.4529	-0.0887	-0.2534	-0.5067	-0.4909	0.1995	-1.0546	-1.4346	-0.4275	0.1868	-0.4719	0.2692	0.4117
-1.0292	-1.0894	-1.2731	-0.6397	-1.1401	-0.9342	-0.3325	-0.5954	-0.3927	-0.0475	-0.19	-0.4719	-0.4782	0.2058	-0.9691	-1.3396	-0.4275	0.2027	-0.4244	0.2787	0.4022
-0.9691	-1.0039	-1.1813	-0.5637	-1.0736	-0.8772	-0.2439	-0.532	-0.3325	0.0032	-0.1108	-0.4149	-0.4655	0.209	-0.9026	-1.2509	-0.4149	0.1773	-0.3927	0.2945	0.3927
-0.8899	-0.9311	-1.1084	-0.4814	-1.0134	-0.8076	-0.1868	-0.5004	-0.3009	0.0317	-0.0918	-0.3737	-0.4434	0.1932	-0.8329	-1.1876	-0.399	0.152	-0.399	0.2945	0.3959
-0.8266	-0.8582	-1.0292	-0.399	-0.9311	-0.7316	-0.1013	-0.4244	-0.2375	0.133	-0.0285	-0.3104	-0.4085	0.1868	-0.7791	-1.1211	-0.3769	0.133	-0.3579	0.2945	0.4022
-0.7252	-0.7347	-0.9311	-0.3135	-0.8107	-0.6302	0.0063	-0.3262	-0.1647	0.1773	0.0317	-0.2407	-0.3864	0.171	-0.6872	-1.0768	-0.361	0.1457	-0.3072	0.2977	0.4117
-0.6175	-0.627	-0.8139	-0.1963	-0.6967	-0.5194	0.076	-0.2629	-0.095	0.247	0.1108	-0.1805	-0.3452	0.1742	-0.6524	-1.0736	-0.3484	0.1457	-0.2787	0.323	0.3959
-0.5225	-0.5289	-0.7252	-0.1267	-0.5605	-0.4117	0.1837	-0.1805	-0.0127	0.2977	0.1678	-0.1077	-0.3009	0.171	-0.6017	-1.0546	-0.3262	0.1267	-0.2407	0.3262	0.3769
