"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.7148	0.1534	1.0476	-0.6367	-0.0347	0.5325	-1.1055	-0.5469	-0.1852	-1.7537	-0.7842	-0.709	-1.8897	-0.6193	-0.5846	-1.3717	1.2183	-1.5077	0.0752	-1.2531	0.0781
0.6569	0.1736	0.981	-0.7148	-0.0116	0.5122	-1.172	-0.5151	-0.1678	-1.7913	-0.7061	-0.6888	-1.8897	-0.6482	-0.5614	-1.3341	1.2704	-1.554	0.11	-1.3428	0.1505
0.6367	0.1997	0.9029	-0.8016	0.0058	0.4543	-1.2299	-0.5006	-0.1823	-1.8232	-0.6511	-0.6482	-1.9042	-0.6743	-0.5441	-1.2791	1.3023	-1.6177	0.1418	-1.4093	0.2026
0.5614	0.1765	0.8653	-0.8595	-0.0434	0.3791	-1.3254	-0.5122	-0.1968	-1.8608	-0.6077	-0.628	-1.91	-0.7003	-0.518	-1.2097	1.3543	-1.6582	0.1244	-1.5048	0.2344
0.5064	0.191	0.7814	-0.9492	-0.055	0.3212	-1.4007	-0.492	-0.2055	-1.8695	-0.5788	-0.6048	-1.9158	-0.709	-0.4601	-1.1315	1.3891	-1.7132	0.1418	-1.5685	0.2662
0.463	0.2228	0.6945	-1.0071	-0.081	0.2576	-1.4238	-0.5093	-0.2373	-1.8926	-0.5151	-0.6077	-1.9187	-0.7177	-0.4457	-1.0534	1.4035	-1.7624	0.1476	-1.638	0.2952
0.4109	0.217	0.6251	-1.0187	-0.0955	0.2055	-1.4267	-0.5006	-0.2344	-1.8666	-0.4775	-0.5846	-1.8753	-0.7293	-0.3849	-0.9839	1.4151	-1.7682	0.1534	-1.6814	0.356
0.3588	0.1997	0.5469	-1.0852	-0.1621	0.1389	-1.4412	-0.5325	-0.2807	-1.8695	-0.4457	-0.5846	-1.8579	-0.7264	-0.3617	-0.9521	1.4151	-1.8145	0.1563	-1.719	0.382
0.2923	0.1939	0.4717	-1.0852	-0.2055	0.0897	-1.447	-0.5614	-0.301	-1.8579	-0.4138	-0.5527	-1.8261	-0.7177	-0.3588	-0.9608	1.4209	-1.8087	0.1302	-1.7248	0.4138
0.2518	0.2141	0.4023	-1.091	-0.2402	0.0058	-1.447	-0.5354	-0.3154	-1.7971	-0.3907	-0.5441	-1.7508	-0.7119	-0.2778	-0.9318	1.3891	-1.8145	0.1331	-1.7016	0.4543
0.2141	0.2141	0.3473	-1.091	-0.2662	-0.0145	-1.3775	-0.5209	-0.327	-1.7277	-0.3241	-0.5006	-1.6785	-0.7061	-0.2489	-0.9579	1.3775	-1.7769	0.1418	-1.6727	0.4833
0.1447	0.2026	0.2576	-1.1199	-0.3386	-0.0839	-1.3891	-0.5469	-0.3357	-1.6843	-0.3212	-0.4833	-1.5916	-0.6888	-0.2547	-0.9868	1.3515	-1.7595	0.1042	-1.6495	0.4659
0.1013	0.1678	0.191	-1.0794	-0.356	-0.1187	-1.3023	-0.5643	-0.3299	-1.583	-0.2749	-0.4399	-1.4962	-0.6656	-0.2315	-1.0215	1.2994	-1.6756	0.1042	-1.6032	0.4804
0.0608	0.1563	0.1273	-1.0534	-0.3907	-0.1505	-1.2502	-0.5383	-0.3154	-1.473	-0.2518	-0.408	-1.3949	-0.6309	-0.2576	-1.0881	1.2444	-1.6119	0.0666	-1.5222	0.463
0.0029	0.1158	0.0376	-1.0447	-0.4486	-0.2084	-1.1981	-0.5672	-0.3212	-1.3978	-0.2199	-0.3588	-1.2849	-0.6048	-0.2605	-1.1518	1.1865	-1.528	0.0463	-1.447	0.4746
-0.0781	0.0926	-0.0579	-1.0331	-0.4833	-0.246	-1.1547	-0.573	-0.3415	-1.3052	-0.1823	-0.3039	-1.1576	-0.5672	-0.2981	-1.2125	1.1055	-1.4238	0.0174	-1.3746	0.4486
-0.1534	0.0695	-0.1273	-1.0158	-0.5093	-0.2981	-1.0707	-0.5296	-0.3299	-1.201	-0.1476	-0.2576	-1.0389	-0.5064	-0.2894	-1.2357	0.9984	-1.3312	0.0116	-1.3109	0.4399
-0.2691	0.0116	-0.2431	-1.0129	-0.5412	-0.327	-1.036	-0.5469	-0.3299	-1.146	-0.1273	-0.2113	-0.9376	-0.463	-0.356	-1.3052	0.9087	-1.2444	-0.0289	-1.2415	0.4109
-0.3096	0.0029	-0.3125	-0.9955	-0.5469	-0.3675	-0.981	-0.5354	-0.2894	-1.0331	-0.1013	-0.1505	-0.8277	-0.408	-0.3588	-1.3486	0.8132	-1.1315	-0.0492	-1.146	0.3733
-0.3646	-0.026	-0.3878	-0.9897	-0.5498	-0.3791	-0.9232	-0.4891	-0.2662	-0.9521	-0.0492	-0.081	-0.7148	-0.3646	-0.3907	-1.337	0.7408	-1.0447	-0.0955	-1.0707	0.3415
-0.4688	-0.0868	-0.5064	-1.0042	-0.5585	-0.4428	-0.8855	-0.4891	-0.272	-0.8797	-0.0289	-0.0232	-0.628	-0.356	-0.4428	-1.3862	0.6888	-0.9781	-0.136	-1.0187	0.2778
-0.5585	-0.0897	-0.573	-0.9752	-0.5759	-0.4746	-0.8508	-0.4312	-0.2518	-0.8074	0.0029	0.0492	-0.5151	-0.327	-0.4717	-1.3543	0.628	-0.8711	-0.1244	-0.9376	0.2778
-0.6743	-0.1707	-0.6859	-1.0331	-0.5904	-0.5122	-0.8306	-0.4138	-0.2373	-0.7495	0.0289	0.0666	-0.4543	-0.3212	-0.4862	-1.3572	0.6222	-0.819	-0.1707	-0.8971	0.2315
-0.7524	-0.2373	-0.7842	-1.0447	-0.6251	-0.5412	-0.7987	-0.3733	-0.2141	-0.6888	0.0579	0.11	-0.4023	-0.3183	-0.5035	-1.3254	0.6193	-0.764	-0.1736	-0.8566	0.191
-0.8595	-0.3039	-0.9	-1.0707	-0.6424	-0.5875	-0.79	-0.3502	-0.2113	-0.628	0.0666	0.1273	-0.356	-0.3212	-0.5238	-1.2646	0.6164	-0.7293	-0.2315	-0.8306	0.1389
-0.9492	-0.3791	-0.9839	-1.1084	-0.654	-0.654	-0.7958	-0.3675	-0.2373	-0.6077	0.081	0.1447	-0.327	-0.3183	-0.5296	-1.201	0.6106	-0.6916	-0.2228	-0.8016	0.0897
-1.0794	-0.492	-1.117	-1.1605	-0.7148	-0.6888	-0.79	-0.3675	-0.272	-0.5933	0.0637	0.1244	-0.3154	-0.3357	-0.5643	-1.1431	0.6453	-0.6859	-0.272	-0.8132	0.0318
-1.1807	-0.6019	-1.2154	-1.1807	-0.7611	-0.7553	-0.7785	-0.382	-0.2894	-0.573	0.0405	0.1187	-0.2981	-0.3415	-0.5469	-1.0476	0.6598	-0.6859	-0.3241	-0.8045	-0.0203
-1.2617	-0.6974	-1.2994	-1.201	-0.8074	-0.8132	-0.7842	-0.3907	-0.3212	-0.5354	0.0116	0.0984	-0.2981	-0.3675	-0.5614	-0.981	0.7032	-0.6685	-0.3502	-0.7871	-0.0723
-1.3862	-0.8248	-1.4209	-1.2357	-0.8421	-0.874	-0.7582	-0.3762	-0.356	-0.518	-0.0058	0.0723	-0.2865	-0.3646	-0.5527	-0.8653	0.7148	-0.6511	-0.382	-0.7727	-0.1013
-1.4412	-0.8942	-1.4759	-1.256	-0.8624	-0.8769	-0.709	-0.3849	-0.3502	-0.4428	-0.0376	0.0637	-0.272	-0.3704	-0.5556	-0.7698	0.7264	-0.6453	-0.3994	-0.7379	-0.1476
-1.5222	-0.9752	-1.5627	-1.2444	-0.8769	-0.9116	-0.683	-0.3849	-0.3675	-0.4109	-0.0405	0.0318	-0.2547	-0.3878	-0.5846	-0.6743	0.7437	-0.6396	-0.3994	-0.7351	-0.165
-1.5714	-1.0042	-1.5743	-1.2183	-0.8884	-0.9029	-0.6135	-0.3936	-0.3791	-0.3328	-0.0318	0.0695	-0.191	-0.382	-0.5788	-0.6019	0.7351	-0.6135	-0.3965	-0.683	-0.1736
-1.6437	-1.0505	-1.6466	-1.2097	-0.8711	-0.8884	-0.5614	-0.3704	-0.3617	-0.2749	-0.0492	0.0492	-0.1621	-0.3791	-0.6106	-0.492	0.7379	-0.5701	-0.3936	-0.6251	-0.1823
-1.6611	-1.0881	-1.6756	-1.1952	-0.8566	-0.8942	-0.4978	-0.3415	-0.3386	-0.2026	-0.0492	0.0868	-0.1187	-0.3704	-0.628	-0.4051	0.709	-0.5209	-0.3675	-0.5759	-0.1331
-1.6698	-1.1199	-1.6698	-1.1344	-0.8653	-0.8653	-0.4254	-0.3241	-0.3039	-0.1302	-0.0145	0.1013	-0.0637	-0.3646	-0.6193	-0.2865	0.6916	-0.4688	-0.3328	-0.5267	-0.1071
-1.6871	-1.1344	-1.6785	-1.1055	-0.8595	-0.8421	-0.3444	-0.3096	-0.301	-0.0318	0.0116	0.1013	0.0174	-0.3328	-0.6367	-0.191	0.6482	-0.4167	-0.3039	-0.4746	-0.0434
