"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
22	"WF"	"Pz"	-2.63790704918033	"White"	"fore"
23	"BE"	"Pz"	-1.21412278688525	"Black"	"eyes"
23	"BF"	"Pz"	-0.0828779836065574	"Black"	"fore"
23	"WE"	"Pz"	-0.227897901639344	"White"	"eyes"
23	"WF"	"Pz"	-2.31511180327869	"White"	"fore"
24	"BE"	"Pz"	-2.45646803278689	"Black"	"eyes"
24	"BF"	"Pz"	-0.60866937704918	"Black"	"fore"
24	"WE"	"Pz"	-1.8926368852459	"White"	"eyes"
24	"WF"	"Pz"	0.510022491803279	"White"	"fore"
25	"BE"	"Pz"	-0.537307754098361	"Black"	"eyes"
25	"BF"	"Pz"	-0.683786426229508	"Black"	"fore"
25	"WE"	"Pz"	-3.99950049180328	"White"	"eyes"
25	"WF"	"Pz"	-0.662275852459016	"White"	"fore"
26	"BE"	"Pz"	-2.57429737704918	"Black"	"eyes"
26	"BF"	"Pz"	0.491530852459016	"Black"	"fore"
26	"WE"	"Pz"	-2.34847590163934	"White"	"eyes"
26	"WF"	"Pz"	0.0349930819672131	"White"	"fore"
27	"BE"	"Pz"	-1.12814180327869	"Black"	"eyes"
27	"BF"	"Pz"	0.0935437049180328	"Black"	"fore"
27	"WE"	"Pz"	-0.18136062295082	"White"	"eyes"
27	"WF"	"Pz"	1.57667786885246	"White"	"fore"
28	"BE"	"Pz"	-0.543969131147541	"Black"	"eyes"
28	"BF"	"Pz"	-3.03999344262295	"Black"	"fore"
28	"WE"	"Pz"	-2.43454885245902	"White"	"eyes"
28	"WF"	"Pz"	-0.467809	"White"	"fore"
29	"BE"	"Pz"	-2.27239262295082	"Black"	"eyes"
29	"BF"	"Pz"	2.73444098360656	"Black"	"fore"
29	"WE"	"Pz"	-3.56632639344262	"White"	"eyes"
29	"WF"	"Pz"	0.647566278688525	"White"	"fore"
30	"BE"	"Pz"	-2.82070590163934	"Black"	"eyes"
30	"BF"	"Pz"	-1.30775147540984	"Black"	"fore"
30	"WE"	"Pz"	-1.58492081967213	"White"	"eyes"
30	"WF"	"Pz"	-0.830474262295082	"White"	"fore"
31	"BE"	"Pz"	-0.463112131147541	"Black"	"eyes"
31	"BF"	"Pz"	0.503922114754098	"Black"	"fore"
31	"WE"	"Pz"	-0.576819	"White"	"eyes"
31	"WF"	"Pz"	-1.95464049180328	"White"	"fore"
32	"BE"	"Pz"	-0.0948985245901639	"Black"	"eyes"
32	"BF"	"Pz"	-1.39988360655738	"Black"	"fore"
32	"WE"	"Pz"	-1.56967737704918	"White"	"eyes"
32	"WF"	"Pz"	-0.33742137704918	"White"	"fore"
33	"BE"	"Pz"	2.09176885245902	"Black"	"eyes"
33	"BF"	"Pz"	1.7974431147541	"Black"	"fore"
33	"WE"	"Pz"	2.45190606557377	"White"	"eyes"
33	"WF"	"Pz"	3.51690737704918	"White"	"fore"
34	"BE"	"Pz"	-0.0620264131147541	"Black"	"eyes"
34	"BF"	"Pz"	-0.41069062295082	"Black"	"fore"
34	"WE"	"Pz"	-3.32483950819672	"White"	"eyes"
34	"WF"	"Pz"	0.436299540983607	"White"	"fore"
35	"BE"	"Pz"	-1.3010193442623	"Black"	"eyes"
35	"BF"	"Pz"	0.150098704918033	"Black"	"fore"
35	"WE"	"Pz"	-1.35954737704918	"White"	"eyes"
35	"WF"	"Pz"	0.0617318901639344	"White"	"fore"
36	"BE"	"Pz"	-1.80038344262295	"Black"	"eyes"
36	"BF"	"Pz"	-1.10008081967213	"Black"	"fore"
36	"WE"	"Pz"	-1.2486831147541	"White"	"eyes"
36	"WF"	"Pz"	-0.0177975983606557	"White"	"fore"
37	"BE"	"Pz"	-5.3479862295082	"Black"	"eyes"
37	"BF"	"Pz"	-2.03777393442623	"Black"	"fore"
37	"WE"	"Pz"	-3.19217573770492	"White"	"eyes"
37	"WF"	"Pz"	-1.9242662295082	"White"	"fore"
38	"BE"	"Pz"	1.06011098360656	"Black"	"eyes"
38	"BF"	"Pz"	2.36768196721311	"Black"	"fore"
38	"WE"	"Pz"	4.26924918032787	"White"	"eyes"
38	"WF"	"Pz"	1.67179016393443	"White"	"fore"
39	"BE"	"Pz"	-0.708897049180328	"Black"	"eyes"
39	"BF"	"Pz"	2.4953168852459	"Black"	"fore"
39	"WE"	"Pz"	1.01766360655738	"White"	"eyes"
39	"WF"	"Pz"	2.32996459016393	"White"	"fore"
40	"BE"	"Pz"	-3.5196406557377	"Black"	"eyes"
40	"BF"	"Pz"	-3.45563163934426	"Black"	"fore"
40	"WE"	"Pz"	-5.15094508196721	"White"	"eyes"
40	"WF"	"Pz"	-4.6609868852459	"White"	"fore"
41	"BE"	"Pz"	-0.69768131147541	"Black"	"eyes"
41	"BF"	"Pz"	1.47174295081967	"Black"	"fore"
41	"WE"	"Pz"	-0.479545918032787	"White"	"eyes"
41	"WF"	"Pz"	0.0158084655737705	"White"	"fore"
42	"BE"	"Pz"	-1.11416409836066	"Black"	"eyes"
42	"BF"	"Pz"	-0.435100147540984	"Black"	"fore"
42	"WE"	"Pz"	-1.36660983606557	"White"	"eyes"
42	"WF"	"Pz"	-1.05658901639344	"White"	"fore"
43	"BE"	"Pz"	-1.74164754098361	"Black"	"eyes"
