"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
1	"BE"	"FCz"	2.16054965151515	"Black"	"eyes"
1	"BF"	"FCz"	0.212266434848485	"Black"	"fore"
1	"WE"	"FCz"	4.79662772727273	"White"	"eyes"
1	"WF"	"FCz"	0.509026045454545	"White"	"fore"
2	"BE"	"FCz"	2.35807906060606	"Black"	"eyes"
2	"BF"	"FCz"	-0.265225621212121	"Black"	"fore"
2	"WE"	"FCz"	0.467953575757576	"White"	"eyes"
2	"WF"	"FCz"	1.31594101515152	"White"	"fore"
3	"BE"	"FCz"	1.61587386363636	"Black"	"eyes"
3	"BF"	"FCz"	1.65946851515152	"Black"	"fore"
3	"WE"	"FCz"	2.37856901515152	"White"	"eyes"
3	"WF"	"FCz"	1.15538734848485	"White"	"fore"
4	"BE"	"FCz"	1.62733760606061	"Black"	"eyes"
4	"BF"	"FCz"	1.57619848484848	"Black"	"fore"
4	"WE"	"FCz"	0.349901590909091	"White"	"eyes"
4	"WF"	"FCz"	1.41499634848485	"White"	"fore"
5	"BE"	"FCz"	7.2454346969697	"Black"	"eyes"
5	"BF"	"FCz"	4.38908636363636	"Black"	"fore"
5	"WE"	"FCz"	5.77888333333333	"White"	"eyes"
5	"WF"	"FCz"	5.7013346969697	"White"	"fore"
6	"BE"	"FCz"	1.10122701515152	"Black"	"eyes"
6	"BF"	"FCz"	2.76458287878788	"Black"	"fore"
6	"WE"	"FCz"	1.94285151515152	"White"	"eyes"
6	"WF"	"FCz"	1.99871187878788	"White"	"fore"
7	"BE"	"FCz"	0.301379772727273	"Black"	"eyes"
7	"BF"	"FCz"	-1.19253616666667	"Black"	"fore"
7	"WE"	"FCz"	-1.99815415151515	"White"	"eyes"
7	"WF"	"FCz"	-0.805895909090909	"White"	"fore"
8	"BE"	"FCz"	-0.0865292212121212	"Black"	"eyes"
8	"BF"	"FCz"	-0.743444227272727	"Black"	"fore"
8	"WE"	"FCz"	-0.729912818181818	"White"	"eyes"
8	"WF"	"FCz"	-0.258894674242424	"White"	"fore"
9	"BE"	"FCz"	2.33852571212121	"Black"	"eyes"
9	"BF"	"FCz"	1.22141174242424	"Black"	"fore"
9	"WE"	"FCz"	1.99181656060606	"White"	"eyes"
9	"WF"	"FCz"	2.24723018181818	"White"	"fore"
10	"BE"	"FCz"	1.92559760606061	"Black"	"eyes"
10	"BF"	"FCz"	1.324264	"Black"	"fore"
10	"WE"	"FCz"	0.565354575757576	"White"	"eyes"
10	"WF"	"FCz"	0.943281681818182	"White"	"fore"
11	"BE"	"FCz"	-1.51695904545455	"Black"	"eyes"
11	"BF"	"FCz"	-1.33056234848485	"Black"	"fore"
11	"WE"	"FCz"	-2.44032474242424	"White"	"eyes"
11	"WF"	"FCz"	-2.36467013636364	"White"	"fore"
12	"BE"	"FCz"	-1.44979986363636	"Black"	"eyes"
12	"BF"	"FCz"	-3.07639787878788	"Black"	"fore"
12	"WE"	"FCz"	-2.5417121969697	"White"	"eyes"
12	"WF"	"FCz"	-1.97545828787879	"White"	"fore"
13	"BE"	"FCz"	1.21392718181818	"Black"	"eyes"
13	"BF"	"FCz"	0.194340651515152	"Black"	"fore"
13	"WE"	"FCz"	1.15555124242424	"White"	"eyes"
13	"WF"	"FCz"	1.10604218181818	"White"	"fore"
14	"BE"	"FCz"	0.273797243939394	"Black"	"eyes"
14	"BF"	"FCz"	0.954576909090909	"Black"	"fore"
14	"WE"	"FCz"	0.620079181818182	"White"	"eyes"
14	"WF"	"FCz"	1.60454548484848	"White"	"fore"
15	"BE"	"FCz"	3.45655939393939	"Black"	"eyes"
15	"BF"	"FCz"	0.203103607575758	"Black"	"fore"
15	"WE"	"FCz"	2.00520636363636	"White"	"eyes"
15	"WF"	"FCz"	1.22660353030303	"White"	"fore"
16	"BE"	"FCz"	3.84085106060606	"Black"	"eyes"
16	"BF"	"FCz"	0.968031272727273	"Black"	"fore"
16	"WE"	"FCz"	2.13899927272727	"White"	"eyes"
16	"WF"	"FCz"	2.23714886363636	"White"	"fore"
17	"BE"	"FCz"	2.50735384848485	"Black"	"eyes"
17	"BF"	"FCz"	1.52421127272727	"Black"	"fore"
17	"WE"	"FCz"	2.80892742424242	"White"	"eyes"
17	"WF"	"FCz"	0.757421939393939	"White"	"fore"
18	"BE"	"FCz"	3.96872424242424	"Black"	"eyes"
18	"BF"	"FCz"	0.810276515151515	"Black"	"fore"
18	"WE"	"FCz"	2.69287103030303	"White"	"eyes"
18	"WF"	"FCz"	1.31644434848485	"White"	"fore"
19	"BE"	"FCz"	2.96274893939394	"Black"	"eyes"
19	"BF"	"FCz"	3.70839333333333	"Black"	"fore"
19	"WE"	"FCz"	2.59510831818182	"White"	"eyes"
19	"WF"	"FCz"	2.71176372727273	"White"	"fore"
20	"BE"	"FCz"	0.797438863636364	"Black"	"eyes"
20	"BF"	"FCz"	-0.664051606060606	"Black"	"fore"
20	"WE"	"FCz"	-0.844755515151515	"White"	"eyes"
20	"WF"	"FCz"	-1.64481648484848	"White"	"fore"
21	"BE"	"FCz"	0.240425636363636	"Black"	"eyes"
21	"BF"	"FCz"	-0.514709606060606	"Black"	"fore"
21	"WE"	"FCz"	-0.6528525	"White"	"eyes"
21	"WF"	"FCz"	-1.71248351515152	"White"	"fore"
22	"BE"	"FCz"	-0.232399283333333	"Black"	"eyes"
22	"BF"	"FCz"	1.53634589393939	"Black"	"fore"
22	"WE"	"FCz"	0.870933984848485	"White"	"eyes"
22	"WF"	"FCz"	-0.308536545454545	"White"	"fore"
23	"BE"	"FCz"	8.17674636363636	"Black"	"eyes"
23	"BF"	"FCz"	5.0117453030303	"Black"	"fore"
23	"WE"	"FCz"	3.25091242424242	"White"	"eyes"
23	"WF"	"FCz"	4.52060439393939	"White"	"fore"
24	"BE"	"FCz"	1.18728837878788	"Black"	"eyes"
24	"BF"	"FCz"	1.05320887878788	"Black"	"fore"
24	"WE"	"FCz"	0.567997742424242	"White"	"eyes"
24	"WF"	"FCz"	1.93769578787879	"White"	"fore"
25	"BE"	"FCz"	-0.559394939393939	"Black"	"eyes"
25	"BF"	"FCz"	-1.7857361969697	"Black"	"fore"
25	"WE"	"FCz"	-1.84789715151515	"White"	"eyes"
25	"WF"	"FCz"	-0.426867681818182	"White"	"fore"
26	"BE"	"FCz"	-1.30170618181818	"Black"	"eyes"
26	"BF"	"FCz"	-0.292987242424242	"Black"	"fore"
26	"WE"	"FCz"	-1.26247248484848	"White"	"eyes"
26	"WF"	"FCz"	-0.507182015151515	"White"	"fore"
27	"BE"	"FCz"	4.21722939393939	"Black"	"eyes"
27	"BF"	"FCz"	4.30397696969697	"Black"	"fore"
27	"WE"	"FCz"	3.5235803030303	"White"	"eyes"
27	"WF"	"FCz"	4.85126151515152	"White"	"fore"
28	"BE"	"FCz"	3.93070015151515	"Black"	"eyes"
28	"BF"	"FCz"	1.51536263636364	"Black"	"fore"
28	"WE"	"FCz"	3.00130727272727	"White"	"eyes"
28	"WF"	"FCz"	2.71514712121212	"White"	"fore"
29	"BE"	"FCz"	-1.51168636363636	"Black"	"eyes"
29	"BF"	"FCz"	-0.566378712121212	"Black"	"fore"
29	"WE"	"FCz"	0.428394636363636	"White"	"eyes"
