"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
1	"BE"	"Cz"	-0.144557860465116	"Black"	"eyes"
1	"BF"	"Cz"	1.51940034883721	"Black"	"fore"
1	"WE"	"Cz"	1.18945623255814	"White"	"eyes"
1	"WF"	"Cz"	-1.52607139534884	"White"	"fore"
2	"BE"	"Cz"	1.62357790697674	"Black"	"eyes"
2	"BF"	"Cz"	2.78818244186047	"Black"	"fore"
2	"WE"	"Cz"	1.67057976744186	"White"	"eyes"
2	"WF"	"Cz"	3.11605860465116	"White"	"fore"
3	"BE"	"Cz"	3.56180279069767	"Black"	"eyes"
3	"BF"	"Cz"	2.82568651162791	"Black"	"fore"
3	"WE"	"Cz"	4.65253209302326	"White"	"eyes"
3	"WF"	"Cz"	3.07806034883721	"White"	"fore"
4	"BE"	"Cz"	2.55835837209302	"Black"	"eyes"
4	"BF"	"Cz"	2.17163372093023	"Black"	"fore"
4	"WE"	"Cz"	0.181830755813953	"White"	"eyes"
4	"WF"	"Cz"	0.545643337209302	"White"	"fore"
5	"BE"	"Cz"	1.89603697674419	"Black"	"eyes"
5	"BF"	"Cz"	1.70258372093023	"Black"	"fore"
5	"WE"	"Cz"	-0.108844825581395	"White"	"eyes"
5	"WF"	"Cz"	1.82007302325581	"White"	"fore"
6	"BE"	"Cz"	5.48653244186047	"Black"	"eyes"
6	"BF"	"Cz"	5.484435	"Black"	"fore"
6	"WE"	"Cz"	4.15841104651163	"White"	"eyes"
6	"WF"	"Cz"	3.13292395348837	"White"	"fore"
7	"BE"	"Cz"	4.18662465116279	"Black"	"eyes"
7	"BF"	"Cz"	1.96813953488372	"Black"	"fore"
7	"WE"	"Cz"	1.29397709302326	"White"	"eyes"
7	"WF"	"Cz"	3.74480406976744	"White"	"fore"
8	"BE"	"Cz"	2.11424965116279	"Black"	"eyes"
8	"BF"	"Cz"	2.26671639534884	"Black"	"fore"
8	"WE"	"Cz"	-0.186248244186047	"White"	"eyes"
8	"WF"	"Cz"	1.08359494186047	"White"	"fore"
9	"BE"	"Cz"	2.29609697674419	"Black"	"eyes"
9	"BF"	"Cz"	2.54501406976744	"Black"	"fore"
9	"WE"	"Cz"	0.630866988372093	"White"	"eyes"
9	"WF"	"Cz"	2.44234139534884	"White"	"fore"
10	"BE"	"Cz"	5.40804186046512	"Black"	"eyes"
10	"BF"	"Cz"	4.70317941860465	"Black"	"fore"
10	"WE"	"Cz"	4.33039197674419	"White"	"eyes"
10	"WF"	"Cz"	4.03714720930233	"White"	"fore"
11	"BE"	"Cz"	5.03734244186047	"Black"	"eyes"
11	"BF"	"Cz"	4.7619988372093	"Black"	"fore"
11	"WE"	"Cz"	3.92917930232558	"White"	"eyes"
11	"WF"	"Cz"	2.17555941860465	"White"	"fore"
12	"BE"	"Cz"	6.94814465116279	"Black"	"eyes"
12	"BF"	"Cz"	8.1805873255814	"Black"	"fore"
12	"WE"	"Cz"	6.26965744186047	"White"	"eyes"
12	"WF"	"Cz"	7.69498360465116	"White"	"fore"
13	"BE"	"Cz"	2.33149337209302	"Black"	"eyes"
13	"BF"	"Cz"	4.02351534883721	"Black"	"fore"
13	"WE"	"Cz"	1.9851938372093	"White"	"eyes"
13	"WF"	"Cz"	1.92141825581395	"White"	"fore"
14	"BE"	"Cz"	2.7927173255814	"Black"	"eyes"
14	"BF"	"Cz"	2.52653302325581	"Black"	"fore"
14	"WE"	"Cz"	0.992400953488372	"White"	"eyes"
14	"WF"	"Cz"	2.94765930232558	"White"	"fore"
15	"BE"	"Cz"	6.15134453488372	"Black"	"eyes"
15	"BF"	"Cz"	5.12281534883721	"Black"	"fore"
15	"WE"	"Cz"	5.87278441860465	"White"	"eyes"
15	"WF"	"Cz"	4.3412811627907	"White"	"fore"
16	"BE"	"Cz"	4.88871465116279	"Black"	"eyes"
16	"BF"	"Cz"	4.72264081395349	"Black"	"fore"
16	"WE"	"Cz"	4.26042802325581	"White"	"eyes"
16	"WF"	"Cz"	5.98339627906977	"White"	"fore"
17	"BE"	"Cz"	2.15987139534884	"Black"	"eyes"
17	"BF"	"Cz"	2.35019581395349	"Black"	"fore"
17	"WE"	"Cz"	0.363529023255814	"White"	"eyes"
17	"WF"	"Cz"	0.356617081395349	"White"	"fore"
18	"BE"	"Cz"	3.93093802325581	"Black"	"eyes"
18	"BF"	"Cz"	2.76256430232558	"Black"	"fore"
18	"WE"	"Cz"	0.868917848837209	"White"	"eyes"
18	"WF"	"Cz"	0.805766453488372	"White"	"fore"
19	"BE"	"Cz"	4.06357755813954	"Black"	"eyes"
19	"BF"	"Cz"	4.01058988372093	"Black"	"fore"
19	"WE"	"Cz"	1.732845	"White"	"eyes"
19	"WF"	"Cz"	1.09029970930233	"White"	"fore"
20	"BE"	"Cz"	2.40458465116279	"Black"	"eyes"
20	"BF"	"Cz"	3.03285069767442	"Black"	"fore"
20	"WE"	"Cz"	1.75378220930233	"White"	"eyes"
20	"WF"	"Cz"	2.09030058139535	"White"	"fore"
21	"BE"	"Cz"	1.0153516627907	"Black"	"eyes"
21	"BF"	"Cz"	1.36759662790698	"Black"	"fore"
21	"WE"	"Cz"	0.227561209302326	"White"	"eyes"
21	"WF"	"Cz"	0.622637988372093	"White"	"fore"
22	"BE"	"Cz"	1.64752255813953	"Black"	"eyes"
22	"BF"	"Cz"	1.3741361627907	"Black"	"fore"
22	"WE"	"Cz"	2.67910988372093	"White"	"eyes"
22	"WF"	"Cz"	-0.0764943593023256	"White"	"fore"
23	"BE"	"Cz"	5.78024069767442	"Black"	"eyes"
23	"BF"	"Cz"	6.76749953488372	"Black"	"fore"
23	"WE"	"Cz"	4.56103023255814	"White"	"eyes"
23	"WF"	"Cz"	3.28493290697674	"White"	"fore"
24	"BE"	"Cz"	5.96685639534884	"Black"	"eyes"
24	"BF"	"Cz"	5.32672325581395	"Black"	"fore"
24	"WE"	"Cz"	5.07609674418605	"White"	"eyes"
24	"WF"	"Cz"	5.20672872093023	"White"	"fore"
25	"BE"	"Cz"	0.960769639534884	"Black"	"eyes"
25	"BF"	"Cz"	-1.34368552325581	"Black"	"fore"
25	"WE"	"Cz"	-0.458357069767442	"White"	"eyes"
25	"WF"	"Cz"	-1.97727872093023	"White"	"fore"
26	"BE"	"Cz"	-0.217187325581395	"Black"	"eyes"
26	"BF"	"Cz"	1.37874313953488	"Black"	"fore"
26	"WE"	"Cz"	-0.895824488372093	"White"	"eyes"
26	"WF"	"Cz"	-0.874735627906977	"White"	"fore"
27	"BE"	"Cz"	2.97679337209302	"Black"	"eyes"
27	"BF"	"Cz"	2.43579674418605	"Black"	"fore"
27	"WE"	"Cz"	1.41896639534884	"White"	"eyes"
27	"WF"	"Cz"	2.76604418604651	"White"	"fore"
28	"BE"	"Cz"	4.20676441860465	"Black"	"eyes"
28	"BF"	"Cz"	3.1899576744186	"Black"	"fore"
28	"WE"	"Cz"	1.0763313372093	"White"	"eyes"
28	"WF"	"Cz"	2.68313069767442	"White"	"fore"
29	"BE"	"Cz"	-1.13282141860465	"Black"	"eyes"
29	"BF"	"Cz"	0.84942038372093	"Black"	"fore"
29	"WE"	"Cz"	-1.38686069767442	"White"	"eyes"
29	"WF"	"Cz"	0.382221534883721	"White"	"fore"
30	"BE"	"Cz"	2.34389430232558	"Black"	"eyes"
30	"BF"	"Cz"	2.95307034883721	"Black"	"fore"
30	"WE"	"Cz"	1.82980918604651	"White"	"eyes"
30	"WF"	"Cz"	2.4251826744186	"White"	"fore"
31	"BE"	"Cz"	1.28524170930233	"Black"	"eyes"
31	"BF"	"Cz"	2.41701395348837	"Black"	"fore"
31	"WE"	"Cz"	1.30439777906977	"White"	"eyes"
31	"WF"	"Cz"	0.811264255813953	"White"	"fore"
32	"BE"	"Cz"	-1.54717372093023	"Black"	"eyes"
32	"BF"	"Cz"	-2.57515465116279	"Black"	"fore"
32	"WE"	"Cz"	-1.26212143023256	"White"	"eyes"
32	"WF"	"Cz"	-0.336333581395349	"White"	"fore"
33	"BE"	"Cz"	4.92476151162791	"Black"	"eyes"
33	"BF"	"Cz"	2.31923523255814	"Black"	"fore"
33	"WE"	"Cz"	4.00442930232558	"White"	"eyes"
33	"WF"	"Cz"	2.82462860465116	"White"	"fore"
34	"BE"	"Cz"	3.42135895348837	"Black"	"eyes"
34	"BF"	"Cz"	1.29957015116279	"Black"	"fore"
34	"WE"	"Cz"	-0.149787662790698	"White"	"eyes"
34	"WF"	"Cz"	1.15492315116279	"White"	"fore"
35	"BE"	"Cz"	-1.22831046511628	"Black"	"eyes"
35	"BF"	"Cz"	-0.613340453488372	"Black"	"fore"
35	"WE"	"Cz"	-0.438339627906977	"White"	"eyes"
35	"WF"	"Cz"	-0.249319360465116	"White"	"fore"
36	"BE"	"Cz"	2.25214755813953	"Black"	"eyes"
36	"BF"	"Cz"	2.00619174418605	"Black"	"fore"
36	"WE"	"Cz"	1.23912612790698	"White"	"eyes"
36	"WF"	"Cz"	0.707294488372093	"White"	"fore"
37	"BE"	"Cz"	4.56820976744186	"Black"	"eyes"
37	"BF"	"Cz"	6.07293011627907	"Black"	"fore"
37	"WE"	"Cz"	3.49492511627907	"White"	"eyes"
37	"WF"	"Cz"	4.1780061627907	"White"	"fore"
38	"BE"	"Cz"	1.39141953488372	"Black"	"eyes"
38	"BF"	"Cz"	2.75947651162791	"Black"	"fore"
38	"WE"	"Cz"	2.1038361627907	"White"	"eyes"
38	"WF"	"Cz"	0.517128825581395	"White"	"fore"
39	"BE"	"Cz"	6.71685581395349	"Black"	"eyes"
39	"BF"	"Cz"	7.54913755813953	"Black"	"fore"
39	"WE"	"Cz"	6.11824627906977	"White"	"eyes"
39	"WF"	"Cz"	4.73594941860465	"White"	"fore"
40	"BE"	"Cz"	5.17042662790698	"Black"	"eyes"
40	"BF"	"Cz"	6.26270069767442	"Black"	"fore"
40	"WE"	"Cz"	4.26583627906977	"White"	"eyes"
40	"WF"	"Cz"	3.52964848837209	"White"	"fore"
41	"BE"	"Cz"	5.71025744186047	"Black"	"eyes"
41	"BF"	"Cz"	5.3296426744186	"Black"	"fore"
41	"WE"	"Cz"	4.7854388372093	"White"	"eyes"
41	"WF"	"Cz"	3.62698	"White"	"fore"
42	"BE"	"Cz"	0.882833511627907	"Black"	"eyes"
42	"BF"	"Cz"	1.2187375	"Black"	"fore"
42	"WE"	"Cz"	0.364612895348837	"White"	"eyes"
42	"WF"	"Cz"	-0.168591523255814	"White"	"fore"
43	"BE"	"Cz"	7.66557465116279	"Black"	"eyes"
43	"BF"	"Cz"	6.00901662790698	"Black"	"fore"
43	"WE"	"Cz"	4.2499123255814	"White"	"eyes"
43	"WF"	"Cz"	4.24181360465116	"White"	"fore"
44	"BE"	"Cz"	4.47407488372093	"Black"	"eyes"
44	"BF"	"Cz"	5.07412848837209	"Black"	"fore"
44	"WE"	"Cz"	3.61697046511628	"White"	"eyes"
44	"WF"	"Cz"	2.70028209302326	"White"	"fore"
45	"BE"	"Cz"	7.39160581395349	"Black"	"eyes"
45	"BF"	"Cz"	4.84807686046512	"Black"	"fore"
45	"WE"	"Cz"	6.07695802325581	"White"	"eyes"
45	"WF"	"Cz"	3.60218069767442	"White"	"fore"
46	"BE"	"Cz"	2.89147011627907	"Black"	"eyes"
46	"BF"	"Cz"	3.08888139534884	"Black"	"fore"
46	"WE"	"Cz"	1.49611697674419	"White"	"eyes"
46	"WF"	"Cz"	1.60918825581395	"White"	"fore"
47	"BE"	"Cz"	2.8829388372093	"Black"	"eyes"
47	"BF"	"Cz"	-0.518815244186047	"Black"	"fore"
47	"WE"	"Cz"	0.450701848837209	"White"	"eyes"
47	"WF"	"Cz"	1.81381418604651	"White"	"fore"
48	"BE"	"Cz"	0.0124566825581395	"Black"	"eyes"
48	"BF"	"Cz"	-1.35413005813953	"Black"	"fore"
48	"WE"	"Cz"	-1.31550112790698	"White"	"eyes"
48	"WF"	"Cz"	-0.603277139534884	"White"	"fore"
49	"BE"	"Cz"	2.0649276744186	"Black"	"eyes"
49	"BF"	"Cz"	1.71743372093023	"Black"	"fore"
49	"WE"	"Cz"	0.7169915	"White"	"eyes"
49	"WF"	"Cz"	0.701139639534884	"White"	"fore"
50	"BE"	"Cz"	4.59086837209302	"Black"	"eyes"
50	"BF"	"Cz"	4.37799639534884	"Black"	"fore"
50	"WE"	"Cz"	1.60453093023256	"White"	"eyes"
50	"WF"	"Cz"	2.04521825581395	"White"	"fore"
51	"BE"	"Cz"	2.41695627906977	"Black"	"eyes"
51	"BF"	"Cz"	3.05937872093023	"Black"	"fore"
51	"WE"	"Cz"	1.27787026744186	"White"	"eyes"
51	"WF"	"Cz"	2.4605823255814	"White"	"fore"
52	"BE"	"Cz"	-0.385142941860465	"Black"	"eyes"
52	"BF"	"Cz"	2.84076081395349	"Black"	"fore"
52	"WE"	"Cz"	1.41136546511628	"White"	"eyes"
52	"WF"	"Cz"	-0.293468	"White"	"fore"
53	"BE"	"Cz"	1.07229061627907	"Black"	"eyes"
53	"BF"	"Cz"	0.970011674418605	"Black"	"fore"
53	"WE"	"Cz"	0.269721476744186	"White"	"eyes"
53	"WF"	"Cz"	1.61837325581395	"White"	"fore"
54	"BE"	"Cz"	3.66507104651163	"Black"	"eyes"
54	"BF"	"Cz"	3.4125076744186	"Black"	"fore"
54	"WE"	"Cz"	2.00288127906977	"White"	"eyes"
54	"WF"	"Cz"	3.03499662790698	"White"	"fore"
55	"BE"	"Cz"	1.77050813953488	"Black"	"eyes"
55	"BF"	"Cz"	2.92869825581395	"Black"	"fore"
55	"WE"	"Cz"	0.780137186046512	"White"	"eyes"
55	"WF"	"Cz"	0.911755604651163	"White"	"fore"
56	"BE"	"Cz"	2.06025279069767	"Black"	"eyes"
56	"BF"	"Cz"	-0.765093697674419	"Black"	"fore"
56	"WE"	"Cz"	-0.0450131	"White"	"eyes"
56	"WF"	"Cz"	0.914235511627907	"White"	"fore"
57	"BE"	"Cz"	2.67575011627907	"Black"	"eyes"
57	"BF"	"Cz"	2.10471058139535	"Black"	"fore"
57	"WE"	"Cz"	-0.244157348837209	"White"	"eyes"
57	"WF"	"Cz"	0.0861956569767442	"White"	"fore"
58	"BE"	"Cz"	3.03567744186047	"Black"	"eyes"
58	"BF"	"Cz"	1.47287686046512	"Black"	"fore"
58	"WE"	"Cz"	0.927492825581395	"White"	"eyes"
58	"WF"	"Cz"	1.21205223255814	"White"	"fore"
