"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"	"Coronal"
"Sub3_White_fore.avg"	1	"TP7"	"N170"	168	-1.166672	3	"White"	"fore"	"left"	"anterior"
"Sub3_White_fore.avg"	1	"TP8"	"N170"	164	-0.528304	3	"White"	"fore"	"right"	"anterior"
"Sub3_White_fore.avg"	1	"P7/T5"	"N170"	166	-2.272809	3	"White"	"fore"	"left"	"posterior"
"Sub4_Black_eyes.avg"	1	"P8/T6"	"N170"	172	-7.148547	4	"Black"	"eyes"	"right"	"posterior"
"Sub4_Black_eyes.avg"	1	"TP7"	"N170"	172	-7.032345	4	"Black"	"eyes"	"left"	"anterior"
"Sub4_Black_eyes.avg"	1	"TP8"	"N170"	170	-1.656948	4	"Black"	"eyes"	"right"	"anterior"
"Sub4_Black_eyes.avg"	1	"P7/T5"	"N170"	173	-9.666247	4	"Black"	"eyes"	"left"	"posterior"
"Sub4_Black_fore.avg"	1	"P8/T6"	"N170"	176	-4.876161	4	"Black"	"fore"	"right"	"posterior"
"Sub4_Black_fore.avg"	1	"TP7"	"N170"	176	-6.533109	4	"Black"	"fore"	"left"	"anterior"
"Sub4_Black_fore.avg"	1	"TP8"	"N170"	176	-2.857697	4	"Black"	"fore"	"right"	"anterior"
"Sub4_Black_fore.avg"	1	"P7/T5"	"N170"	178	-9.055113	4	"Black"	"fore"	"left"	"posterior"
"Sub4_White_eyes.avg"	1	"P8/T6"	"N170"	177	-10.971872	4	"White"	"eyes"	"right"	"posterior"
"Sub4_White_eyes.avg"	1	"TP7"	"N170"	175	-8.873789	4	"White"	"eyes"	"left"	"anterior"
"Sub4_White_eyes.avg"	1	"TP8"	"N170"	175	-5.344592	4	"White"	"eyes"	"right"	"anterior"
"Sub4_White_eyes.avg"	1	"P7/T5"	"N170"	177	-11.546084	4	"White"	"eyes"	"left"	"posterior"
"Sub4_White_fore.avg"	1	"P8/T6"	"N170"	177	-5.529615	4	"White"	"fore"	"right"	"posterior"
"Sub4_White_fore.avg"	1	"TP7"	"N170"	175	-7.152133	4	"White"	"fore"	"left"	"anterior"
"Sub4_White_fore.avg"	1	"TP8"	"N170"	178	-1.002418	4	"White"	"fore"	"right"	"anterior"
"Sub4_White_fore.avg"	1	"P7/T5"	"N170"	177	-10.774824	4	"White"	"fore"	"left"	"posterior"
"Sub5_Black_eyes.avg"	1	"P8/T6"	"N170"	150	-7.401393	5	"Black"	"eyes"	"right"	"posterior"
"Sub5_Black_eyes.avg"	1	"TP7"	"N170"	149	-3.376301	5	"Black"	"eyes"	"left"	"anterior"
