-0.044191	0.0062339	-0.036727	-0.028734	0.070888	0.0023936	0.0017839	0.13987	0.095183	0.084952	0.21478	0.18547	0.16213	-0.055088	-0.088966	-0.097158	0.02335	0.101	0.12896	0.024804	0.17438	0
-0.023571	0.027984	-0.010679	-0.0081178	0.093462	0.030498	0.0239	0.1604	0.12208	0.10779	0.23152	0.2074	0.1819	-0.05577	-0.086372	-0.093084	0.02306	0.11105	0.13785	0.035222	0.18203	0
-0.0047845	0.048208	0.013709	0.011237	0.11529	0.05773	0.045502	0.18127	0.14929	0.13113	0.24986	0.2308	0.20354	-0.056739	-0.084506	-0.089855	0.022211	0.12323	0.14647	0.046101	0.19101	0
0.011496	0.065618	0.034953	0.0282	0.13423	0.081817	0.064756	0.1995	0.17348	0.15203	0.26602	0.25153	0.22284	-0.057819	-0.08342	-0.087209	0.021545	0.13446	0.15361	0.055872	0.19897	0
0.026233	0.081025	0.053653	0.042811	0.15082	0.10265	0.080967	0.21546	0.19453	0.16962	0.28054	0.26969	0.23926	-0.059817	-0.082281	-0.08449	0.021524	0.14353	0.16019	0.063789	0.2064	0
0.038614	0.093863	0.069336	0.055107	0.16486	0.12046	0.09506	0.22947	0.2131	0.18541	0.29408	0.28633	0.25459	-0.062056	-0.081441	-0.082045	0.021599	0.15244	0.16565	0.071043	0.21342	0
0.04789	0.10394	0.081544	0.064587	0.17685	0.13517	0.10659	0.24235	0.22963	0.19949	0.30746	0.30209	0.26924	-0.064907	-0.081932	-0.081356	0.02157	0.1617	0.17104	0.077551	0.22118	0
0.055273	0.11134	0.090429	0.071232	0.18529	0.14528	0.11428	0.25153	0.24128	0.20917	0.31738	0.31354	0.27971	-0.068086	-0.080537	-0.078705	0.021984	0.16791	0.17492	0.081945	0.22685	0
0.063352	0.11954	0.10022	0.078546	0.1947	0.15627	0.12269	0.26173	0.25384	0.21961	0.32821	0.32587	0.29078	-0.071724	-0.078128	-0.075685	0.022658	0.17403	0.1793	0.086447	0.23299	0
0.067578	0.12351	0.10523	0.082113	0.19957	0.16197	0.12707	0.26776	0.26112	0.22596	0.33537	0.33383	0.29847	-0.074936	-0.075611	-0.072877	0.022725	0.17883	0.18136	0.089373	0.23711	0
0.074345	0.12986	0.11289	0.088031	0.20654	0.16988	0.1334	0.27525	0.27011	0.23374	0.34302	0.34262	0.30655	-0.077903	-0.070559	-0.067852	0.023109	0.18293	0.1843	0.092776	0.241	0
0.082231	0.13705	0.12175	0.09506	0.21399	0.17855	0.14056	0.28277	0.27919	0.24193	0.34998	0.35088	0.31459	-0.080216	-0.063592	-0.061393	0.022931	0.18702	0.18685	0.096532	0.24415	0
0.091176	0.14494	0.13181	0.10329	0.22137	0.18786	0.14853	0.28925	0.2876	0.24985	0.35464	0.35732	0.32112	-0.081436	-0.055845	-0.053911	0.022574	0.18975	0.1884	0.10016	0.24525	0
0.10129	0.15401	0.14338	0.11263	0.22974	0.19858	0.1576	0.29639	0.29697	0.25863	0.35952	0.36417	0.32815	-0.082222	-0.047791	-0.046209	0.022023	0.19285	0.18996	0.10424	0.2463	0
0.11191	0.16308	0.15547	0.12289	0.23737	0.20954	0.16738	0.30175	0.30532	0.26694	0.36139	0.36855	0.33333	-0.081569	-0.039451	-0.037874	0.020978	0.19507	0.19003	0.10843	0.24498	0
0.12384	0.17367	0.16965	0.13497	0.24705	0.22334	0.17954	0.30937	0.31687	0.2778	0.36557	0.37589	0.34093	-0.080399	-0.029948	-0.028559	0.019563	0.19848	0.19059	0.11379	0.24464	0
0.13626	0.18482	0.18468	0.148	0.25722	0.23808	0.19279	0.31708	0.32888	0.28921	0.3693	0.38302	0.34833	-0.078137	-0.02054	-0.019442	0.018078	0.20167	0.19088	0.11941	0.24377	0
0.14809	0.19594	0.20001	0.16118	0.2682	0.2544	0.20729	0.3265	0.34329	0.3026	0.3757	0.39321	0.35852	-0.075706	-0.012946	-0.011978	0.016379	0.20688	0.1913	0.12603	0.24446	0
0.15873	0.20598	0.21397	0.17303	0.27808	0.26946	0.22046	0.33469	0.35643	0.31439	0.38095	0.40214	0.36699	-0.073215	-0.0065454	-0.0056285	0.014962	0.2111	0.19137	0.13185	0.24461	0
0.16909	0.21602	0.22816	0.18521	0.28856	0.28558	0.23468	0.3441	0.37139	0.32774	0.38808	0.41338	0.37748	-0.070475	-0.00065205	0.00057092	0.013402	0.21665	0.19151	0.13839	0.24572	0
0.17535	0.2221	0.23756	0.19346	0.29532	0.297	0.24498	0.35052	0.38222	0.33751	0.3933	0.42173	0.38542	-0.067781	0.0031308	0.0044244	0.011842	0.22127	0.19059	0.14334	0.2465	0
0.17842	0.22482	0.24291	0.19795	0.29843	0.30405	0.25129	0.35358	0.38883	0.34329	0.39584	0.42672	0.39003	-0.06561	0.0056582	0.0073802	0.010714	0.22407	0.18819	0.14641	0.24599	0
0.1819	0.22807	0.2486	0.20291	0.30252	0.31165	0.25818	0.35817	0.39685	0.35016	0.40058	0.4339	0.39626	-0.063625	0.0093504	0.011131	0.0098121	0.22737	0.18682	0.14984	0.24671	0
0.17992	0.22563	0.24731	0.20206	0.3007	0.31164	0.2587	0.35759	0.39784	0.351	0.40138	0.43584	0.39793	-0.06215	0.011686	0.013667	0.0088688	0.22854	0.18362	0.15061	0.24594	0
0.17746	0.22283	0.24537	0.20051	0.29836	0.3108	0.25833	0.35627	0.39787	0.35069	0.40126	0.4369	0.39814	-0.060497	0.013798	0.01589	0.0083535	0.22829	0.18045	0.15069	0.24449	0
