Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	1.564348
1	FC3	1.202732
1	FCZ	1.562871
1	FC4	0.745882
1	C3	0.993033
1	CZ	0.817366
1	C4	0.712458
1	CP3	0.677672
1	CPZ	0.099520
1	CP4	0.550085
1	P3	0.383745
1	PZ	0.514459
1	P4	0.221952
1	Oz	0.130744
1	FP1	-1.147295
1	FP2	-0.520629
1	A2	-0.258533
1	P8/T6	1.122763
1	TP7	0.033656
1	TP8	0.316693
1	P7/T5	0.053699
1	VEOG	7.965404
1	HEOG	-3.567821
1	Nose	-1.484060
1	FZ	1.427901
1	FC3	0.717510
1	FCZ	2.046938
1	FC4	1.683936
1	C3	0.742481
1	CZ	1.971270
1	C4	1.930237
1	CP3	0.775706
1	CPZ	1.488917
1	CP4	1.412836
1	P3	0.912219
1	PZ	1.327330
1	P4	1.341157
1	Oz	0.830600
1	FP1	1.278386
1	FP2	0.015684
1	A2	-1.647202
1	P8/T6	-0.318358
1	TP7	-2.346242
1	TP8	0.528270
1	P7/T5	-2.394120
1	VEOG	5.123864
1	HEOG	-1.873485
1	Nose	0.506876
1	FZ	-1.626645
1	FC3	-0.708625
1	FCZ	-1.291441
1	FC4	-1.752484
1	C3	-0.198542
1	CZ	-0.798204
1	C4	-1.253622
1	CP3	-0.410108
1	CPZ	-0.898668
1	CP4	-1.172787
1	P3	-0.018008
1	PZ	-0.132871
1	P4	-1.151171
1	Oz	0.176346
1	FP1	-1.209352
1	FP2	-2.333008
1	A2	-0.352233
1	P8/T6	-1.054010
1	TP7	-2.073197
1	TP8	-2.073747
1	P7/T5	-2.044091
1	VEOG	9.877762
1	HEOG	-3.551410
1	Nose	-2.285772
1	FZ	-0.669824
1	FC3	-0.089919
1	FCZ	-0.586020
1	FC4	-0.421366
1	C3	-0.167065
1	CZ	-0.273868
1	C4	-0.660177
1	CP3	-0.352033
1	CPZ	-0.369358
1	CP4	-0.679404
1	P3	-0.347957
1	PZ	-0.640508
1	P4	-0.778800
1	Oz	0.150182
1	FP1	-0.147329
1	FP2	-1.313423
1	A2	-0.300364
1	P8/T6	-1.201661
1	TP7	-2.336231
1	TP8	-0.476262
1	P7/T5	-2.323221
1	VEOG	4.026724
1	HEOG	-2.517632
1	Nose	0.346937
