Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	3.158069
1	FC3	3.500942
1	FCZ	4.182509
1	FC4	2.895868
1	C3	4.533311
1	CZ	4.745308
1	C4	3.122824
1	CP3	4.732801
1	CPZ	5.066994
1	CP4	3.982869
1	P3	5.712115
1	PZ	5.624415
1	P4	4.865252
1	Oz	-1.983893
1	FP1	1.592342
1	FP2	2.078497
1	A2	3.925861
1	P8/T6	2.266956
1	TP7	3.831782
1	TP8	1.127249
1	P7/T5	5.498442
1	VEOG	5.828332
1	HEOG	-9.067398
1	Nose	1.554045
1	FZ	2.995945
1	FC3	3.692434
1	FCZ	4.056053
1	FC4	1.704969
1	C3	4.591333
1	CZ	4.840327
1	C4	2.235687
1	CP3	5.662279
1	CPZ	5.031466
1	CP4	3.115808
1	P3	5.796189
1	PZ	5.442707
1	P4	3.984078
1	Oz	-1.939119
1	FP1	0.940173
1	FP2	1.196602
1	A2	3.838147
1	P8/T6	1.410067
1	TP7	3.982267
1	TP8	0.437430
1	P7/T5	6.050808
1	VEOG	-5.908618
1	HEOG	-10.989203
1	Nose	-0.532311
1	FZ	-1.825155
1	FC3	-1.102698
1	FCZ	-1.270449
1	FC4	-2.536534
1	C3	-0.227789
1	CZ	-0.102070
1	C4	-1.714214
1	CP3	0.353745
1	CPZ	-0.408302
1	CP4	-1.378402
1	P3	2.126690
1	PZ	0.747269
1	P4	0.243112
1	Oz	-1.966553
1	FP1	-0.750281
1	FP2	-1.090719
1	A2	3.880992
1	P8/T6	0.009014
1	TP7	1.801244
1	TP8	-1.040289
1	P7/T5	2.698190
1	VEOG	2.217540
1	HEOG	-5.939818
1	Nose	-0.250679
1	FZ	-0.644406
1	FC3	-0.004178
1	FCZ	-0.829985
1	FC4	-1.927969
1	C3	0.311031
1	CZ	-0.437400
1	C4	-1.679894
1	CP3	0.788686
1	CPZ	-0.185732
1	CP4	-1.015156
1	P3	1.724505
1	PZ	0.924711
1	P4	0.169477
1	Oz	-2.183892
1	FP1	1.863460
1	FP2	1.628250
1	A2	4.352702
1	P8/T6	-1.390824
1	TP7	1.754314
1	TP8	-2.852145
1	P7/T5	2.761623
1	VEOG	-5.657106
1	HEOG	-11.129371
1	Nose	6.329512
