Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	-1.560352
1	FC3	-0.361757
1	FCZ	-1.137959
1	FC4	-1.824708
1	C3	-0.309834
1	CZ	-1.207487
1	C4	-1.762645
1	CP3	-0.441629
1	CPZ	-1.142035
1	CP4	-1.021959
1	P3	0.008357
1	PZ	-0.482878
1	P4	-0.151082
1	Oz	-0.426063
1	FP1	-1.709932
1	FP2	-2.266440
1	A2	0.859004
1	P8/T6	0.980278
1	TP7	0.454139
1	TP8	-1.002902
1	P7/T5	1.887052
1	VEOG	-0.403566
1	HEOG	-5.711577
1	Nose	-0.954367
1	FZ	-4.246453
1	FC3	-3.711661
1	FCZ	-4.600801
1	FC4	-4.617866
1	C3	-4.117103
1	CZ	-5.144151
1	C4	-4.750725
1	CP3	-4.082595
1	CPZ	-5.054889
1	CP4	-3.832529
1	P3	-3.450740
1	PZ	-4.409604
1	P4	-2.917160
1	Oz	-0.300554
1	FP1	-1.638304
1	FP2	-2.514999
1	A2	0.597170
1	P8/T6	-0.853951
1	TP7	-1.782295
1	TP8	-2.389890
1	P7/T5	-1.295719
1	VEOG	1.483256
1	HEOG	-8.994830
1	Nose	-0.908225
1	FZ	-3.670728
1	FC3	-3.302951
1	FCZ	-3.783060
1	FC4	-3.306299
1	C3	-2.770392
1	CZ	-3.598137
1	C4	-2.953046
1	CP3	-1.802316
1	CPZ	-2.968790
1	CP4	-2.061504
1	P3	-0.570287
1	PZ	-1.681842
1	P4	-0.575166
1	Oz	0.527198
1	FP1	-1.582700
1	FP2	-2.358137
1	A2	-1.036582
1	P8/T6	0.959821
1	TP7	-0.331552
1	TP8	-1.114874
1	P7/T5	2.139598
1	VEOG	-11.873032
1	HEOG	-2.347925
1	Nose	-1.718351
1	FZ	-6.395034
1	FC3	-6.291715
1	FCZ	-6.553331
1	FC4	-5.840482
1	C3	-4.554224
1	CZ	-6.302964
1	C4	-5.656314
1	CP3	-3.992712
1	CPZ	-5.929423
1	CP4	-5.037262
1	P3	-2.623393
1	PZ	-4.567469
1	P4	-3.213554
1	Oz	-0.001807
1	FP1	-4.848481
1	FP2	-5.684370
1	A2	0.001834
1	P8/T6	-0.908347
1	TP7	-2.140436
1	TP8	-3.104165
1	P7/T5	-0.439417
1	VEOG	-7.006398
1	HEOG	-5.555558
1	Nose	-6.237007
