Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	0.799536
1	FC3	-0.263688
1	FCZ	0.495935
1	FC4	-0.000216
1	C3	-0.739527
1	CZ	-1.147596
1	C4	-0.713155
1	CP3	-0.945556
1	CPZ	-1.607358
1	CP4	-0.738012
1	P3	-1.129788
1	PZ	-2.554213
1	P4	-0.665451
1	Oz	-0.315783
1	FP1	0.816602
1	FP2	-1.045324
1	A2	0.617684
1	P8/T6	-1.583120
1	TP7	-1.980708
1	TP8	-1.276519
1	P7/T5	-0.709043
1	VEOG	4.402907
1	HEOG	-0.671881
1	Nose	0.449838
1	FZ	0.162372
1	FC3	-0.515473
1	FCZ	-0.057474
1	FC4	0.205162
1	C3	-0.770275
1	CZ	-0.798521
1	C4	-0.460217
1	CP3	-0.411699
1	CPZ	-0.889576
1	CP4	-0.568146
1	P3	0.185844
1	PZ	-1.234900
1	P4	-0.474845
1	Oz	-0.907490
1	FP1	0.236524
1	FP2	-1.400192
1	A2	1.823823
1	P8/T6	-3.292299
1	TP7	-1.222630
1	TP8	-3.047015
1	P7/T5	0.042706
1	VEOG	4.898692
1	HEOG	-2.008348
1	Nose	0.274597
1	FZ	-0.489162
1	FC3	-1.042635
1	FCZ	-0.580503
1	FC4	-0.265312
1	C3	-1.615126
1	CZ	-2.117749
1	C4	-0.994293
1	CP3	-1.550707
1	CPZ	-2.389805
1	CP4	-1.348897
1	P3	-1.536329
1	PZ	-2.751045
1	P4	-1.356181
1	Oz	-0.308312
1	FP1	-0.290454
1	FP2	-3.218167
1	A2	0.627173
1	P8/T6	-1.887398
1	TP7	-1.556615
1	TP8	-1.864388
1	P7/T5	0.270977
1	VEOG	4.872760
1	HEOG	-0.183628
1	Nose	0.230998
1	FZ	-2.389737
1	FC3	-1.725628
1	FCZ	-2.325178
1	FC4	-2.397577
1	C3	-1.156820
1	CZ	-2.800403
1	C4	-2.613236
1	CP3	-1.200638
1	CPZ	-2.839429
1	CP4	-2.547228
1	P3	-0.138378
1	PZ	-2.476841
1	P4	-2.043274
1	Oz	-0.848169
1	FP1	-1.938210
1	FP2	-3.370514
1	A2	1.660360
1	P8/T6	-2.035818
1	TP7	-0.678103
1	TP8	-3.025146
1	P7/T5	1.033235
1	VEOG	4.958356
1	HEOG	-0.700471
1	Nose	-2.567909
