Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	7.145710
1	FC3	7.347251
1	FCZ	8.131504
1	FC4	6.288825
1	C3	7.142595
1	CZ	8.343740
1	C4	6.152388
1	CP3	7.030507
1	CPZ	7.806143
1	CP4	6.086246
1	P3	7.314076
1	PZ	7.134756
1	P4	5.866483
1	Oz	-2.560324
1	FP1	3.150149
1	FP2	3.421622
1	A2	5.075584
1	P8/T6	2.505707
1	TP7	6.119317
1	TP8	2.039236
1	P7/T5	7.065187
1	VEOG	9.896153
1	HEOG	-8.555093
1	Nose	3.439793
1	FZ	1.614355
1	FC3	2.815284
1	FCZ	2.809735
1	FC4	0.326980
1	C3	4.432299
1	CZ	4.021487
1	C4	1.079676
1	CP3	5.058376
1	CPZ	4.490724
1	CP4	1.765096
1	P3	6.286179
1	PZ	5.053561
1	P4	2.950112
1	Oz	-2.473950
1	FP1	0.604110
1	FP2	0.105523
1	A2	4.905067
1	P8/T6	-1.214183
1	TP7	3.989844
1	TP8	-1.862273
1	P7/T5	6.001482
1	VEOG	1.057434
1	HEOG	-9.965369
1	Nose	1.168644
1	FZ	2.115769
1	FC3	3.559600
1	FCZ	2.748883
1	FC4	2.027168
1	C3	3.449137
1	CZ	3.016938
1	C4	2.306879
1	CP3	4.851795
1	CPZ	3.477753
1	CP4	3.107340
1	P3	4.830733
1	PZ	4.532311
1	P4	3.515075
1	Oz	-2.085251
1	FP1	0.255097
1	FP2	0.181004
1	A2	4.106615
1	P8/T6	1.400457
1	TP7	4.057537
1	TP8	0.903671
1	P7/T5	5.242670
1	VEOG	8.022521
1	HEOG	-5.603428
1	Nose	1.848665
1	FZ	1.056609
1	FC3	2.862814
1	FCZ	1.459553
1	FC4	-0.511282
1	C3	3.563163
1	CZ	2.677805
1	C4	0.206649
1	CP3	3.715852
1	CPZ	2.450450
1	CP4	0.968371
1	P3	5.283603
1	PZ	3.575615
1	P4	1.663450
1	Oz	-2.838983
1	FP1	-0.562956
1	FP2	-0.410546
1	A2	5.624473
1	P8/T6	-0.470334
1	TP7	5.205113
1	TP8	-1.173528
1	P7/T5	6.795948
1	VEOG	12.568727
1	HEOG	-9.680962
1	Nose	1.505397
