Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	0.481215
1	FC3	-0.127323
1	FCZ	1.490108
1	FC4	1.760326
1	C3	1.237963
1	CZ	2.977277
1	C4	2.784416
1	CP3	1.872454
1	CPZ	3.661922
1	CP4	3.366939
1	P3	1.999089
1	PZ	3.603326
1	P4	4.399159
1	Oz	0.245641
1	FP1	-0.318996
1	FP2	-0.656941
1	A2	-0.484467
1	P8/T6	1.808417
1	TP7	-0.687959
1	TP8	0.605599
1	P7/T5	-0.628800
1	VEOG	6.600865
1	HEOG	-4.635045
1	Nose	-2.770471
1	FZ	-3.356678
1	FC3	-1.212233
1	FCZ	-2.078598
1	FC4	-2.765727
1	C3	-0.215647
1	CZ	0.162791
1	C4	-1.556629
1	CP3	0.156584
1	CPZ	0.811782
1	CP4	-0.786377
1	P3	0.772427
1	PZ	0.640607
1	P4	0.118062
1	Oz	-0.232349
1	FP1	2.066952
1	FP2	-4.350448
1	A2	0.449148
1	P8/T6	-2.462477
1	TP7	-0.871101
1	TP8	-2.785116
1	P7/T5	-0.310609
1	VEOG	12.555226
1	HEOG	-5.123899
1	Nose	0.417985
1	FZ	-5.347815
1	FC3	-4.706366
1	FCZ	-4.928584
1	FC4	-3.288364
1	C3	-3.528302
1	CZ	-2.411379
1	C4	-2.197691
1	CP3	-2.282770
1	CPZ	-0.662251
1	CP4	-1.449370
1	P3	-1.190005
1	PZ	0.253531
1	P4	0.323641
1	Oz	0.459019
1	FP1	-2.899565
1	FP2	-3.071814
1	A2	-0.914242
1	P8/T6	-0.547125
1	TP7	-3.720528
1	TP8	-0.884690
1	P7/T5	-3.361336
1	VEOG	6.273669
1	HEOG	-2.659682
1	Nose	-0.607000
1	FZ	-3.477626
1	FC3	-3.367670
1	FCZ	-2.878859
1	FC4	-1.893684
1	C3	-1.990853
1	CZ	-0.879482
1	C4	-0.365583
1	CP3	-1.781354
1	CPZ	-0.799578
1	CP4	0.208689
1	P3	-1.711702
1	PZ	-1.050080
1	P4	0.772224
1	Oz	0.627092
1	FP1	-1.545096
1	FP2	-3.941996
1	A2	-1.229311
1	P8/T6	-0.172001
1	TP7	-3.405653
1	TP8	-1.621439
1	P7/T5	-2.643572
1	VEOG	4.444241
1	HEOG	-3.359415
1	Nose	2.562373
