Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	7.535864
1	FC3	6.521152
1	FCZ	6.697358
1	FC4	6.642274
1	C3	5.011155
1	CZ	5.223598
1	C4	3.917167
1	CP3	3.723985
1	CPZ	3.634688
1	CP4	2.354578
1	P3	2.054759
1	PZ	1.823522
1	P4	0.143498
1	Oz	-1.518408
1	FP1	6.920755
1	FP2	9.243041
1	A2	1.129448
1	P8/T6	-3.703062
1	TP7	2.643391
1	TP8	-0.090387
1	P7/T5	1.693315
1	VEOG	20.772960
1	HEOG	6.506356
1	Nose	7.380270
1	FZ	8.832443
1	FC3	8.438966
1	FCZ	8.453303
1	FC4	7.844479
1	C3	6.898320
1	CZ	7.046616
1	C4	5.833650
1	CP3	6.062755
1	CPZ	6.136614
1	CP4	4.240385
1	P3	3.921588
1	PZ	4.043961
1	P4	1.919351
1	Oz	-1.160010
1	FP1	8.056592
1	FP2	7.950825
1	A2	1.516413
1	P8/T6	-2.636308
1	TP7	5.065282
1	TP8	1.143018
1	P7/T5	3.678290
1	VEOG	6.791443
1	HEOG	0.931049
1	Nose	6.319280
1	FZ	5.945782
1	FC3	5.892603
1	FCZ	5.676632
1	FC4	5.774678
1	C3	5.561964
1	CZ	5.455944
1	C4	3.882992
1	CP3	3.786462
1	CPZ	4.882716
1	CP4	2.366195
1	P3	2.422686
1	PZ	3.261302
1	P4	0.667961
1	Oz	-1.504836
1	FP1	6.010360
1	FP2	5.486323
1	A2	1.437563
1	P8/T6	-3.135459
1	TP7	3.429486
1	TP8	0.194857
1	P7/T5	1.596481
1	VEOG	5.937752
1	HEOG	1.842551
1	Nose	7.971341
1	FZ	5.425245
1	FC3	6.894371
1	FCZ	5.253821
1	FC4	4.870911
1	C3	5.914972
1	CZ	4.572089
1	C4	2.502346
1	CP3	4.794747
1	CPZ	3.495338
1	CP4	1.466540
1	P3	2.843048
1	PZ	2.074255
1	P4	-0.322376
1	Oz	-1.161719
1	FP1	4.233754
1	FP2	5.572125
1	A2	3.228600
1	P8/T6	-3.357924
1	TP7	4.958686
1	TP8	-0.836867
1	P7/T5	3.376910
1	VEOG	6.688332
1	HEOG	-4.256372
1	Nose	2.788181
