Sweep Number	Channel	Mean(120.00->180.00ms)
1	FZ	8.994494
1	FC3	8.545156
1	FCZ	8.873774
1	FC4	8.444658
1	C3	6.761823
1	CZ	7.441945
1	C4	6.748022
1	CP3	4.625414
1	CPZ	6.200849
1	CP4	5.598602
1	P3	3.515521
1	PZ	4.655245
1	P4	4.277710
1	OZ	7.976233
1	FP1	8.483748
1	FP2	7.273400
1	A2	-0.083814
1	P8/T6	1.063684
1	TP7	2.532856
1	TP8	2.539975
1	P7/T5	0.637319
1	VEOG	8.949988
1	HEOG	-0.201215
1	Nose	3.508926
1	FZ	3.871796
1	FC3	3.472004
1	FCZ	4.246327
1	FC4	5.303026
1	C3	3.484589
1	CZ	4.653832
1	C4	5.350254
1	CP3	2.569484
1	CPZ	4.519095
1	CP4	4.795155
1	P3	1.300011
1	PZ	3.385622
1	P4	3.490994
1	OZ	9.095973
1	FP1	-0.476746
1	FP2	1.118903
1	A2	1.533129
1	P8/T6	1.096168
1	TP7	0.799719
1	TP8	2.289905
1	P7/T5	-0.807252
1	VEOG	17.625480
1	HEOG	0.495421
1	Nose	0.641390
1	FZ	4.533568
1	FC3	4.425592
1	FCZ	4.849906
1	FC4	5.086589
1	C3	4.550173
1	CZ	5.206094
1	C4	5.304771
1	CP3	3.881917
1	CPZ	5.134695
1	CP4	4.787948
1	P3	2.814871
1	PZ	4.174486
1	P4	4.089235
1	OZ	3.317700
1	FP1	2.500716
1	FP2	4.437453
1	A2	-0.289960
1	P8/T6	1.483057
1	TP7	2.164881
1	TP8	3.016306
1	P7/T5	0.599324
1	VEOG	1.440502
1	HEOG	1.110265
1	Nose	3.533225
1	FZ	6.286952
1	FC3	6.257431
1	FCZ	6.998540
1	FC4	6.485812
1	C3	5.923369
1	CZ	6.626656
1	C4	6.456990
1	CP3	3.973429
1	CPZ	6.028303
1	CP4	5.533344
1	P3	2.751818
1	PZ	4.271626
1	P4	4.026501
1	OZ	2.267632
1	FP1	2.910058
1	FP2	4.207826
1	A2	1.248753
1	P8/T6	0.656789
1	TP7	2.107528
1	TP8	2.077400
1	P7/T5	0.470334
1	VEOG	7.204535
1	HEOG	0.148865
1	Nose	2.794724
