Sweep Number	Channel	Mean(120.00->180.00ms)
1	FZ	-0.466821
1	FC3	-0.173445
1	FCZ	-0.349356
1	FC4	-0.550507
1	C3	0.177904
1	CZ	0.123537
1	C4	-0.735242
1	CP3	-0.527355
1	CPZ	-1.211077
1	CP4	-0.660380
1	P3	-0.823293
1	PZ	-1.032888
1	P4	-0.841605
1	Oz	-0.133025
1	FP1	-0.796916
1	FP2	-1.509576
1	A2	0.289960
1	P8/T6	-0.529728
1	TP7	0.986586
1	TP8	-0.452019
1	P7/T5	0.407235
1	VEOG	10.110746
1	HEOG	1.318009
1	Nose	0.506197
1	FZ	-2.026359
1	FC3	-1.066423
1	FCZ	-2.361960
1	FC4	-2.174119
1	C3	-1.283247
1	CZ	-2.204111
1	C4	-2.519993
1	CP3	-1.719924
1	CPZ	-2.678118
1	CP4	-2.879717
1	P3	-2.298491
1	PZ	-2.938051
1	P4	-3.723812
1	Oz	-0.095572
1	FP1	-0.738984
1	FP2	-1.587206
1	A2	0.161151
1	P8/T6	-3.102320
1	TP7	0.805939
1	TP8	-1.668378
1	P7/T5	-0.676890
1	VEOG	-4.288437
1	HEOG	0.476758
1	Nose	0.238471
1	FZ	-0.775662
1	FC3	-1.346379
1	FCZ	-0.207223
1	FC4	0.057119
1	C3	-0.107502
1	CZ	0.235782
1	C4	-0.069359
1	CP3	-0.839233
1	CPZ	0.025998
1	CP4	0.142418
1	P3	-0.339868
1	PZ	0.196406
1	P4	0.010247
1	Oz	1.032224
1	FP1	-0.613793
1	FP2	0.404673
1	A2	-2.055339
1	P8/T6	0.485892
1	TP7	-0.953472
1	TP8	0.678598
1	P7/T5	-0.398600
1	VEOG	12.058394
1	HEOG	4.067981
1	Nose	0.802229
1	FZ	-0.991029
1	FC3	0.270206
1	FCZ	0.063378
1	FC4	-0.149228
1	C3	0.348718
1	CZ	0.415948
1	C4	0.197564
1	CP3	0.827493
1	CPZ	0.836115
1	CP4	0.257824
1	P3	0.213890
1	PZ	-0.002476
1	P4	0.035312
1	Oz	-0.581593
1	FP1	-1.988570
1	FP2	-1.466320
1	A2	1.124022
1	P8/T6	-0.889496
1	TP7	1.230967
1	TP8	-0.321844
1	P7/T5	-0.648640
1	VEOG	-55.108743
1	HEOG	-1.727445
1	Nose	-2.748558
