Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	6.106099
1	FC3	6.164119
1	FCZ	6.930246
1	FC4	5.519490
1	C3	7.102979
1	CZ	7.235862
1	C4	4.651459
1	CP3	6.347195
1	CPZ	6.905624
1	CP4	4.882308
1	P3	5.737482
1	PZ	6.319869
1	P4	5.074682
1	Oz	-0.575176
1	FP1	4.101190
1	FP2	4.013898
1	A2	1.100539
1	P8/T6	0.175058
1	TP7	2.541705
1	TP8	0.019830
1	P7/T5	1.393108
1	VEOG	4.881644
1	HEOG	0.425974
1	Nose	3.775222
1	FZ	5.670604
1	FC3	5.768239
1	FCZ	6.449532
1	FC4	5.963969
1	C3	7.498206
1	CZ	7.447073
1	C4	5.874588
1	CP3	7.305916
1	CPZ	7.937359
1	CP4	5.885961
1	P3	6.780731
1	PZ	7.509992
1	P4	6.253023
1	Oz	-0.447362
1	FP1	3.275166
1	FP2	4.587580
1	A2	0.881057
1	P8/T6	0.694592
1	TP7	3.047426
1	TP8	0.399805
1	P7/T5	2.135001
1	VEOG	7.072857
1	HEOG	0.111944
1	Nose	4.575565
1	FZ	3.289520
1	FC3	3.560403
1	FCZ	3.774634
1	FC4	3.038683
1	C3	4.932363
1	CZ	4.097798
1	C4	2.924345
1	CP3	4.481447
1	CPZ	4.752282
1	CP4	3.240335
1	P3	4.366520
1	PZ	4.921013
1	P4	4.346374
1	Oz	-0.324392
1	FP1	1.706523
1	FP2	2.617396
1	A2	0.620089
1	P8/T6	0.847636
1	TP7	1.724605
1	TP8	-0.022651
1	P7/T5	1.484824
1	VEOG	3.617204
1	HEOG	0.083874
1	Nose	3.305636
1	FZ	2.654813
1	FC3	3.028236
1	FCZ	3.518344
1	FC4	2.060564
1	C3	3.789119
1	CZ	4.019366
1	C4	1.999889
1	CP3	3.637129
1	CPZ	3.989798
1	CP4	2.039531
1	P3	3.336600
1	PZ	3.372650
1	P4	2.223327
1	Oz	-0.762236
1	FP1	2.017844
1	FP2	1.426767
1	A2	1.513698
1	P8/T6	-1.369310
1	TP7	0.909842
1	TP8	-1.597691
1	P7/T5	0.463199
1	VEOG	6.368054
1	HEOG	-1.039493
1	Nose	3.051554
