Sweep Number	Channel	Mean(160.00->220.00ms)
1	FZ	0.869902
1	FC3	0.404254
1	FCZ	0.603514
1	FC4	-0.164465
1	C3	-0.333916
1	CZ	0.619565
1	C4	0.256700
1	CP3	-0.760240
1	CPZ	0.459629
1	CP4	0.543323
1	P3	-1.141908
1	PZ	0.292012
1	P4	1.409671
1	Oz	0.165496
1	FP1	3.571901
1	FP2	7.696412
1	A2	-0.339935
1	P8/T6	0.697469
1	TP7	-3.029724
1	TP8	0.360343
1	P7/T5	-2.473617
1	VEOG	4.702459
1	HEOG	0.120611
1	Nose	2.326006
1	FZ	-2.176758
1	FC3	-1.970288
1	FCZ	-1.490900
1	FC4	-2.834031
1	C3	-2.185013
1	CZ	-0.760915
1	C4	-2.285752
1	CP3	-2.416146
1	CPZ	-0.603107
1	CP4	-1.399079
1	P3	-2.207332
1	PZ	-0.452228
1	P4	-0.165248
1	Oz	0.333604
1	FP1	-1.944555
1	FP2	-7.585406
1	A2	-0.668177
1	P8/T6	0.411209
1	TP7	-3.628372
1	TP8	-0.588432
1	P7/T5	-3.414258
1	VEOG	6.337766
1	HEOG	0.995870
1	Nose	0.097987
1	FZ	-2.090218
1	FC3	-2.505707
1	FCZ	-2.880754
1	FC4	-3.864471
1	C3	-3.187218
1	CZ	-3.152434
1	C4	-3.756121
1	CP3	-3.084682
1	CPZ	-3.339074
1	CP4	-2.958681
1	P3	-2.524709
1	PZ	-2.082015
1	P4	-0.807720
1	Oz	-0.568695
1	FP1	1.692952
1	FP2	4.375072
1	A2	1.127579
1	P8/T6	-0.970531
1	TP7	-3.076532
1	TP8	-2.550252
1	P7/T5	-2.413919
1	VEOG	-8.245773
1	HEOG	-0.922767
1	Nose	-0.787057
1	FZ	-0.682446
1	FC3	-1.117514
1	FCZ	-0.940354
1	FC4	-1.919389
1	C3	-1.904044
1	CZ	-0.257114
1	C4	-1.171858
1	CP3	-2.185711
1	CPZ	-0.638791
1	CP4	-0.688478
1	P3	-2.044851
1	PZ	-0.449408
1	P4	0.171286
1	Oz	0.066250
1	FP1	2.178303
1	FP2	6.007874
1	A2	-0.128213
1	P8/T6	0.311723
1	TP7	-3.805759
1	TP8	-0.347811
1	P7/T5	-3.173001
1	VEOG	-0.388873
1	HEOG	-0.480204
1	Nose	-0.266057
