Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	3.382408
1	FC3	2.984582
1	FCZ	3.962815
1	FC4	3.407660
1	C3	2.594745
1	CZ	3.728131
1	C4	2.679733
1	CP3	1.512218
1	CPZ	2.880288
1	CP4	1.972620
1	P3	1.042895
1	PZ	2.102522
1	P4	0.828671
1	Oz	0.511484
1	FP1	2.816247
1	FP2	4.248891
1	A2	-1.031844
1	P8/T6	-1.038590
1	TP7	-0.599712
1	TP8	0.772530
1	P7/T5	-1.389905
1	VEOG	4.792373
1	HEOG	0.019305
1	Nose	2.765698
1	FZ	3.913579
1	FC3	3.209632
1	FCZ	4.908919
1	FC4	4.480727
1	C3	3.258289
1	CZ	4.582031
1	C4	3.959806
1	CP3	2.632120
1	CPZ	4.042766
1	CP4	3.092369
1	P3	2.103266
1	PZ	3.106815
1	P4	2.243046
1	Oz	0.306848
1	FP1	1.981187
1	FP2	2.503300
1	A2	-0.630159
1	P8/T6	-0.463229
1	TP7	0.358119
1	TP8	0.798693
1	P7/T5	-0.202012
1	VEOG	7.835872
1	HEOG	-0.651759
1	Nose	1.130993
1	FZ	3.541945
1	FC3	2.993855
1	FCZ	3.655677
1	FC4	2.885714
1	C3	2.137545
1	CZ	2.885146
1	C4	2.339808
1	CP3	1.518831
1	CPZ	2.100901
1	CP4	1.603912
1	P3	0.531143
1	PZ	1.232710
1	P4	0.377404
1	Oz	0.038347
1	FP1	3.218219
1	FP2	2.047092
1	A2	-0.072109
1	P8/T6	-1.753327
1	TP7	-0.138060
1	TP8	0.165838
1	P7/T5	-1.521059
1	VEOG	8.604031
1	HEOG	-1.348277
1	Nose	2.727607
1	FZ	3.160778
1	FC3	2.506880
1	FCZ	3.599726
1	FC4	2.678831
1	C3	2.718566
1	CZ	3.319018
1	C4	1.829711
1	CP3	2.497786
1	CPZ	2.685314
1	CP4	1.097183
1	P3	1.581695
1	PZ	1.965471
1	P4	0.549198
1	Oz	0.120790
1	FP1	1.460112
1	FP2	1.860211
1	A2	-0.254545
1	P8/T6	-1.570269
1	TP7	0.646996
1	TP8	-0.455084
1	P7/T5	-0.649048
1	VEOG	8.612647
1	HEOG	-1.052085
1	Nose	1.994619
