Sweep Number	Channel	Mean(170.00->230.00ms)
1	FZ	2.326511
1	FC3	1.966695
1	FCZ	3.135890
1	FC4	2.087719
1	C3	2.743101
1	CZ	3.627369
1	C4	2.200626
1	CP3	4.329802
1	CPZ	4.914055
1	CP4	2.542235
1	P3	6.598622
1	PZ	6.023311
1	P4	4.248493
1	Oz	0.031414
1	FP1	1.074448
1	FP2	0.664966
1	A2	-0.062415
1	P8/T6	1.516949
1	TP7	0.073467
1	TP8	-0.062736
1	P7/T5	3.023075
1	VEOG	9.308520
1	HEOG	-1.592709
1	Nose	0.187933
1	FZ	0.761776
1	FC3	0.551555
1	FCZ	1.388496
1	FC4	0.862484
1	C3	1.509336
1	CZ	2.499998
1	C4	1.702589
1	CP3	3.206330
1	CPZ	3.350834
1	CP4	2.459504
1	P3	5.102814
1	PZ	4.574510
1	P4	3.844239
1	Oz	0.477171
1	FP1	1.518049
1	FP2	0.922698
1	A2	-0.951819
1	P8/T6	1.785595
1	TP7	0.309920
1	TP8	0.990754
1	P7/T5	2.452533
1	VEOG	6.460905
1	HEOG	-0.527112
1	Nose	-0.715045
1	FZ	-0.034100
1	FC3	0.068053
1	FCZ	0.988016
1	FC4	0.992929
1	C3	0.652126
1	CZ	1.390779
1	C4	1.843120
1	CP3	1.689031
1	CPZ	2.172425
1	CP4	2.079854
1	P3	4.630573
1	PZ	3.055733
1	P4	4.230316
1	Oz	0.344783
1	FP1	-0.752558
1	FP2	-0.643822
1	A2	-0.681066
1	P8/T6	2.906951
1	TP7	0.623037
1	TP8	1.595330
1	P7/T5	3.263724
1	VEOG	9.824976
1	HEOG	0.267690
1	Nose	-2.936776
1	FZ	-1.559333
1	FC3	-2.163510
1	FCZ	-1.045144
1	FC4	-1.393983
1	C3	-1.275003
1	CZ	-0.673476
1	C4	-1.119335
1	CP3	0.462164
1	CPZ	1.425881
1	CP4	0.330547
1	P3	3.213240
1	PZ	3.084068
1	P4	1.696403
1	Oz	0.786699
1	FP1	-0.959080
1	FP2	-0.648661
1	A2	-1.538085
1	P8/T6	0.449629
1	TP7	-1.044889
1	TP8	-0.541604
1	P7/T5	1.921320
1	VEOG	4.807070
1	HEOG	-0.704762
1	Nose	-1.038978
