Sweep Number	Channel	Mean(160.00->220.00ms)
1	FZ	1.423429
1	FC3	1.958670
1	FCZ	1.051564
1	FC4	1.231793
1	C3	2.475108
1	CZ	1.386226
1	C4	0.695463
1	CP3	2.244548
1	CPZ	2.203848
1	CP4	0.810456
1	P3	2.547222
1	PZ	2.155752
1	P4	0.979106
1	Oz	-0.281694
1	FP1	3.505290
1	FP2	2.879763
1	A2	0.541088
1	P8/T6	-0.456476
1	TP7	1.285907
1	TP8	-0.643584
1	P7/T5	0.712890
1	VEOG	3.807047
1	HEOG	-6.955835
1	Nose	4.099059
1	FZ	1.111256
1	FC3	1.934748
1	FCZ	0.784458
1	FC4	1.010600
1	C3	1.476897
1	CZ	0.005183
1	C4	0.944753
1	CP3	1.543831
1	CPZ	0.854143
1	CP4	-0.161832
1	P3	1.259074
1	PZ	0.510259
1	P4	0.371528
1	Oz	-0.396100
1	FP1	3.003003
1	FP2	2.473291
1	A2	0.760205
1	P8/T6	-0.491830
1	TP7	2.920903
1	TP8	-0.342348
1	P7/T5	1.770741
1	VEOG	-1.406700
1	HEOG	-9.479594
1	Nose	4.047837
1	FZ	0.782138
1	FC3	0.556164
1	FCZ	-0.144321
1	FC4	0.418378
1	C3	0.667328
1	CZ	-0.145146
1	C4	0.791562
1	CP3	0.434063
1	CPZ	0.362246
1	CP4	-0.541512
1	P3	1.355775
1	PZ	1.226175
1	P4	-0.945720
1	Oz	-1.788393
1	FP1	3.448149
1	FP2	2.679493
1	A2	3.532691
1	P8/T6	-2.453588
1	TP7	1.140807
1	TP8	-0.635616
1	P7/T5	0.285890
1	VEOG	3.557455
1	HEOG	-4.298939
1	Nose	6.283863
1	FZ	4.590125
1	FC3	3.982850
1	FCZ	3.677356
1	FC4	3.173747
1	C3	3.296124
1	CZ	3.035961
1	C4	2.969854
1	CP3	3.310638
1	CPZ	2.323370
1	CP4	1.925834
1	P3	3.075790
1	PZ	2.090861
1	P4	2.134060
1	Oz	-0.497762
1	FP1	5.322803
1	FP2	3.026056
1	A2	0.990846
1	P8/T6	-0.496936
1	TP7	2.763210
1	TP8	0.532982
1	P7/T5	2.310299
1	VEOG	-1.365749
1	HEOG	-4.076129
1	Nose	2.640902
