Sweep Number	Channel	Mean(130.00->200.00ms)
1	FZ	2.424833
1	FC3	2.650205
1	FCZ	2.469395
1	FC4	1.953050
1	C3	2.826365
1	CZ	2.357418
1	C4	1.793753
1	CP3	2.728533
1	CPZ	2.867538
1	CP4	1.936738
1	P3	2.497685
1	PZ	2.401823
1	P4	1.542259
1	Oz	-0.609607
1	FP1	2.428221
1	FP2	1.385760
1	A2	1.225635
1	P8/T6	-2.502176
1	TP7	1.669129
1	TP8	-0.684980
1	P7/T5	0.747903
1	VEOG	-0.848296
1	HEOG	-0.807004
1	Nose	1.518658
1	FZ	-0.454474
1	FC3	-0.848255
1	FCZ	-1.011519
1	FC4	-0.512321
1	C3	-1.205804
1	CZ	-1.501984
1	C4	-1.490888
1	CP3	-1.841151
1	CPZ	-2.449722
1	CP4	-2.156340
1	P3	-2.140998
1	PZ	-2.649025
1	P4	-2.658047
1	Oz	-0.315913
1	FP1	0.940501
1	FP2	1.437142
1	A2	0.642874
1	P8/T6	-4.271478
1	TP7	-0.355281
1	TP8	-1.441532
1	P7/T5	-1.976191
1	VEOG	0.095189
1	HEOG	1.170778
1	Nose	-0.030877
1	FZ	0.698073
1	FC3	0.993941
1	FCZ	0.663249
1	FC4	-0.173029
1	C3	0.979030
1	CZ	1.057680
1	C4	-0.014775
1	CP3	0.686026
1	CPZ	1.217161
1	CP4	-0.059783
1	P3	0.420526
1	PZ	0.670387
1	P4	-0.870739
1	Oz	-0.581190
1	FP1	1.726611
1	FP2	0.791498
1	A2	1.145876
1	P8/T6	-3.580244
1	TP7	0.241996
1	TP8	-2.045893
1	P7/T5	-0.555640
1	VEOG	1.547126
1	HEOG	-1.018537
1	Nose	1.090958
1	FZ	1.844564
1	FC3	1.476814
1	FCZ	1.812791
1	FC4	1.380362
1	C3	1.150672
1	CZ	1.501637
1	C4	0.878429
1	CP3	0.532050
1	CPZ	0.551483
1	CP4	0.168036
1	P3	-0.065011
1	PZ	0.103876
1	P4	-0.410350
1	Oz	0.101701
1	FP1	1.594449
1	FP2	1.938747
1	A2	-0.182315
1	P8/T6	-3.017694
1	TP7	-0.041182
1	TP8	-0.785381
1	P7/T5	-1.687876
1	VEOG	1.122161
1	HEOG	-0.421886
1	Nose	1.807260
